Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2024,48851000.0,2779000.0,0,-20014000.0,31616000.0
2023,-33807000.0,-1259000.0,0,114494000.0,79428000.0
2022,-24740000.0,-11041000.0,0,-35203000.0,-70984000.0
2021,166617000.0,16745000.0,0,12273700.0,195635700.0
2020,-15970000.0,-735000.0,0,33981000.0,17276000.0
2019,15924800.0,-1886800.0,0,-45072700.0,-31034700.0
2018,47713500.0,-555400.0,0,18139900.0,65298000.0
2017,61711500.0,-1380800.0,0,29978000.0,90308700.0
2016,18736700.0,-4625400.0,0,-28867900.0,-14756600.0
2015,-10245700.0,-5786700.0,0,0.0,-16032400.0
