year,region,material_type,property,value,unit
2019,World,charcoal,def,0.91,t/t
2019,World,bf_inject_coal,def,0.806,t/t
2019,World,steam_coal,def,0.671,t/t
2019,World,coal_tar,def,0.62,t/t
2019,World,dolomite,def,0.13,t/t
2019,World,eaf_carb_electrode,def,1.0,t/t
2019,World,eaf_coal,def,0.89,t/t
2019,World,heavy_oil,def,0.793,t/t
2019,World,light_oil,def,0.709,t/t
2019,World,kerosene,def,0.858,t/t
2019,World,lpg,def,0.814,t/t
2019,World,limestone,def,0.121,t/t
2019,World,natural_gas,def,0.73,t/t
2019,World,charcoal,min,0.819,t/t
2019,World,bf_inject_coal,min,0.725,t/t
2019,World,steam_coal,min,0.604,t/t
2019,World,coal_tar,min,0.558,t/t
2019,World,dolomite,min,0.117,t/t
2019,World,eaf_carb_electrode,min,0.900,t/t
2019,World,eaf_coal,min,0.801,t/t
2019,World,heavy_oil,min,0.714,t/t
2019,World,light_oil,min,0.638,t/t
2019,World,kerosene,min,0.772,t/t
2019,World,lpg,min,0.733,t/t
2019,World,limestone,min,0.109,t/t
2019,World,natural_gas,min,0.657,t/t
2019,World,charcoal,max,1.001,t/t
2019,World,bf_inject_coal,max,0.887,t/t
2019,World,steam_coal,max,0.738,t/t
2019,World,coal_tar,max,0.682,t/t
2019,World,dolomite,max,0.143,t/t
2019,World,eaf_carb_electrode,max,1.100,t/t
2019,World,eaf_coal,max,0.979,t/t
2019,World,heavy_oil,max,0.872,t/t
2019,World,light_oil,max,0.780,t/t
2019,World,kerosene,max,0.944,t/t
2019,World,lpg,max,0.895,t/t
2019,World,limestone,max,0.133,t/t
2019,World,natural_gas,max,0.803,t/t
2019,World,charcoal,abs_min,0.0,t/t
2019,World,bf_inject_coal,abs_min,0.0,t/t
2019,World,steam_coal,abs_min,0.0,t/t
2019,World,coal_tar,abs_min,0.0,t/t
2019,World,dolomite,abs_min,0.0,t/t
2019,World,eaf_carb_electrode,abs_min,0.0,t/t
2019,World,eaf_coal,abs_min,0.0,t/t
2019,World,heavy_oil,abs_min,0.0,t/t
2019,World,light_oil,abs_min,0.0,t/t
2019,World,kerosene,abs_min,0.0,t/t
2019,World,lpg,abs_min,0.0,t/t
2019,World,limestone,abs_min,0.0,t/t
2019,World,natural_gas,abs_min,0.0,t/t
2019,World,charcoal,abs_max,1.0,t/t
2019,World,bf_inject_coal,abs_max,1.0,t/t
2019,World,steam_coal,abs_max,1.0,t/t
2019,World,coal_tar,abs_max,1.0,t/t
2019,World,dolomite,abs_max,1.0,t/t
2019,World,eaf_carb_electrode,abs_max,1.0,t/t
2019,World,eaf_coal,abs_max,1.0,t/t
2019,World,heavy_oil,abs_max,1.0,t/t
2019,World,light_oil,abs_max,1.0,t/t
2019,World,kerosene,abs_max,1.0,t/t
2019,World,lpg,abs_max,1.0,t/t
2019,World,limestone,abs_max,1.0,t/t
2019,World,natural_gas,abs_max,1.0,t/t
2019,World,steel_scrap,def,0.01,t/t
2019,World,steel_scrap,min,0.099,t/t
2019,World,steel_scrap,max,0.011,t/t
2019,World,steel_scrap,abs_min,0.0,t/t
2019,World,steel_scrap,abs_max,1.0,t/t
2019,World,iron_scrap,def,0.04,t/t
2019,World,iron_scrap,min,0.036,t/t
2019,World,iron_scrap,max,0.044,t/t
2019,World,iron_scrap,abs_min,0.0,t/t
2019,World,iron_scrap,abs_max,1.0,t/t
