year,region,agent_type,property,value,unit
2019,World,coal,def,3.1,t/t
2019,World,coke,def,3.3,t/t
2019,World,prebaked_electrodes,def,3.54,t/t
2019,World,electrode_paste,def,3.4,t/t
2019,World,petroleum_coke,def,3.5,t/t
2019,World,coal,min,2.790,t/t
2019,World,coke,min,2.970,t/t
2019,World,prebaked_electrodes,min,3.186,t/t
2019,World,electrode_paste,min,3.060,t/t
2019,World,petroleum_coke,min,3.150,t/t
2019,World,coal,max,3.410,t/t
2019,World,coke,max,3.630,t/t
2019,World,prebaked_electrodes,max,3.894,t/t
2019,World,electrode_paste,max,3.740,t/t
2019,World,petroleum_coke,max,3.850,t/t
2019,World,coal,abs_min,0.0,t/t
2019,World,coke,abs_min,0.0,t/t
2019,World,prebaked_electrodes,abs_min,0.0,t/t
2019,World,electrode_paste,abs_min,0.0,t/t
2019,World,petroleum_coke,abs_min,0.0,t/t
2019,World,coal,abs_max,inf,t/t
2019,World,coke,abs_max,inf,t/t
2019,World,prebaked_electrodes,abs_max,inf,t/t
2019,World,electrode_paste,abs_max,inf,t/t
2019,World,petroleum_coke,abs_max,inf,t/t
