year,region,activity,feedstocktype,product,property,value,unit
2016,World,sc,naphtha,propylene,def,0.409836066,t/t
2016,World,sc,naphtha,propylene,min,0.409836066,t/t
2016,World,sc,naphtha,propylene,max,0.409836066,t/t
2016,World,sc,naphtha,propylene,abs_min,0.0,t/t
2016,World,sc,naphtha,propylene,abs_max,inf,t/t
2016,World,sc,naphtha,c4,def,0.057377049,t/t
2016,World,sc,naphtha,c4,min,0.057377049,t/t
2016,World,sc,naphtha,c4,max,0.057377049,t/t
2016,World,sc,naphtha,c4,abs_min,0.0,t/t
2016,World,sc,naphtha,c4,abs_max,inf,t/t
2016,World,sc,naphtha,hydrogen,def,0.06557377,t/t
2016,World,sc,naphtha,hydrogen,min,0.06557377,t/t
2016,World,sc,naphtha,hydrogen,max,0.06557377,t/t
2016,World,sc,naphtha,hydrogen,abs_min,0.0,t/t
2016,World,sc,naphtha,hydrogen,abs_max,inf,t/t
2016,World,sc,naphtha,c5,def,1.073770492,t/t
2016,World,sc,naphtha,c5,min,1.073770492,t/t
2016,World,sc,naphtha,c5,max,1.073770492,t/t
2016,World,sc,naphtha,c5,abs_min,0.0,t/t
2016,World,sc,naphtha,c5,abs_max,inf,t/t
2024,World,sc,naphtha,propylene,def,0.409836066,t/t
2024,World,sc,naphtha,propylene,min,0.409836066,t/t
2024,World,sc,naphtha,propylene,max,0.409836066,t/t
2024,World,sc,naphtha,propylene,abs_min,0.0,t/t
2024,World,sc,naphtha,propylene,abs_max,inf,t/t
2024,World,sc,naphtha,c4,def,0.057377049,t/t
2024,World,sc,naphtha,c4,min,0.057377049,t/t
2024,World,sc,naphtha,c4,max,0.057377049,t/t
2024,World,sc,naphtha,c4,abs_min,0.0,t/t
2024,World,sc,naphtha,c4,abs_max,inf,t/t
2024,World,sc,naphtha,hydrogen,def,0.06557377,t/t
2024,World,sc,naphtha,hydrogen,min,0.06557377,t/t
2024,World,sc,naphtha,hydrogen,max,0.06557377,t/t
2024,World,sc,naphtha,hydrogen,abs_min,0.0,t/t
2024,World,sc,naphtha,hydrogen,abs_max,inf,t/t
2024,World,sc,naphtha,c5,def,1.073770492,t/t
2024,World,sc,naphtha,c5,min,1.073770492,t/t
2024,World,sc,naphtha,c5,max,1.073770492,t/t
2024,World,sc,naphtha,c5,abs_min,0.0,t/t
2024,World,sc,naphtha,c5,abs_max,inf,t/t
