year,region,feedstocktype,property,value,unit
2016,World,methane,def,75.0,wt.%
2016,World,methane,min,75.0,wt.%
2016,World,methane,max,75.0,wt.%
2016,World,methane,abs_min,0.0,wt.%
2016,World,methane,abs_max,100,wt.%
2016,World,light_fuel_oil,def,83.4,wt.%
2016,World,light_fuel_oil,min,83.4,wt.%
2016,World,light_fuel_oil,max,83.4,wt.%
2016,World,light_fuel_oil,abs_min,0.0,wt.%
2016,World,light_fuel_oil,abs_max,100,wt.%
2016,World,heavy_fuel_oil,def,82.9,wt.%
2016,World,heavy_fuel_oil,min,82.9,wt.%
2016,World,heavy_fuel_oil,max,82.9,wt.%
2016,World,heavy_fuel_oil,abs_min,0.0,wt.%
2016,World,heavy_fuel_oil,abs_max,100,wt.%
2016,World,anthracite,def,92.4,wt.%
2016,World,anthracite,min,92.4,wt.%
2016,World,anthracite,max,92.4,wt.%
2016,World,anthracite,abs_min,0.0,wt.%
2016,World,anthracite,abs_max,100,wt.%
2016,World,lignite,def,72.6,wt.%
2016,World,lignite,min,72.6,wt.%
2016,World,lignite,max,72.6,wt.%
2016,World,lignite,abs_min,0.0,wt.%
2016,World,lignite,abs_max,100,wt.%
2016,World,sub_bituminous_coal,def,75.4,wt.%
2016,World,sub_bituminous_coal,min,75.4,wt.%
2016,World,sub_bituminous_coal,max,75.4,wt.%
2016,World,sub_bituminous_coal,abs_min,0.0,wt.%
2016,World,sub_bituminous_coal,abs_max,100,wt.%
2016,World,other_bituminous_coal,def,75.4,wt.%
2016,World,other_bituminous_coal,min,75.4,wt.%
2016,World,other_bituminous_coal,max,75.4,wt.%
2016,World,other_bituminous_coal,abs_min,0.0,wt.%
2016,World,other_bituminous_coal,abs_max,100,wt.%
