year,region,feedstocktype,property,value,unit
2016,World,natural_gas,def,0.717,kg/m3
2016,World,natural_gas,min,0.717,kg/m3
2016,World,natural_gas,max,0.717,kg/m3
2016,World,natural_gas,abs_min,0.0,kg/m3
2016,World,natural_gas,abs_max,inf,kg/m3
2016,World,lng,def,450,kg/m3
2016,World,lng,min,450,kg/m3
2016,World,lng,max,450,kg/m3
2016,World,lng,abs_min,0.0,kg/m3
2016,World,lng,abs_max,inf,kg/m3
2016,World,h2o,def,1000,kg/m3
2016,World,h2o,min,1000,kg/m3
2016,World,h2o,max,1000,kg/m3
2016,World,h2o,abs_min,0.0,kg/m3
2016,World,h2o,abs_max,inf,kg/m3
2016,World,coke_oven_gas,def,0.50,kg/m3
2016,World,coke_oven_gas,min,0.50,kg/m3
2016,World,coke_oven_gas,max,0.50,kg/m3
2016,World,coke_oven_gas,abs_min,0.0,kg/m3
2016,World,coke_oven_gas,abs_max,inf,kg/m3
