year,region,feedstocktype,product,property,value,unit
2006,World,natural_gas,hydrogen,def,4.8,vol%
2006,World,natural_gas,hydrogen,min,4.8,vol%
2006,World,natural_gas,hydrogen,max,4.8,vol%
2006,World,natural_gas,hydrogen,abs_min,0.0,vol%
2006,World,natural_gas,hydrogen,abs_max,4.8,vol%
2006,World,natural_gas,nitrogen,def,1,vol%
2006,World,natural_gas,nitrogen,min,1,vol%
2006,World,natural_gas,nitrogen,max,1,vol%
2006,World,natural_gas,nitrogen,abs_min,0.0,vol%
2006,World,natural_gas,nitrogen,abs_max,1,vol%
2006,World,natural_gas,carbon_monoxide,def,0,vol%
2006,World,natural_gas,carbon_monoxide,min,0,vol%
2006,World,natural_gas,carbon_monoxide,max,0,vol%
2006,World,natural_gas,carbon_monoxide,abs_min,0.0,vol%
2006,World,natural_gas,carbon_monoxide,abs_max,0,vol%
2006,World,natural_gas,carbon_dioxide,def,0.5,vol%
2006,World,natural_gas,carbon_dioxide,min,0.5,vol%
2006,World,natural_gas,carbon_dioxide,max,0.5,vol%
2006,World,natural_gas,carbon_dioxide,abs_min,0.0,vol%
2006,World,natural_gas,carbon_dioxide,abs_max,0.5,vol%
2006,World,natural_gas,methane,def,90.4,vol%
2006,World,natural_gas,methane,min,90.4,vol%
2006,World,natural_gas,methane,max,90.4,vol%
2006,World,natural_gas,methane,abs_min,0.0,vol%
2006,World,natural_gas,methane,abs_max,90.4,vol%
2006,World,natural_gas,ethane,def,3.3,vol%
2006,World,natural_gas,ethane,min,3.3,vol%
2006,World,natural_gas,ethane,max,3.3,vol%
2006,World,natural_gas,ethane,abs_min,0.0,vol%
2006,World,natural_gas,ethane,abs_max,3.3,vol%
2006,US,natural_gas,hydrogen,def,0,vol%
2006,US,natural_gas,hydrogen,min,0,vol%
2006,US,natural_gas,hydrogen,max,0,vol%
2006,US,natural_gas,hydrogen,abs_min,0.0,vol%
2006,US,natural_gas,hydrogen,abs_max,0,vol%
2006,US,natural_gas,nitrogen,def,1,vol%
2006,US,natural_gas,nitrogen,min,1,vol%
2006,US,natural_gas,nitrogen,max,1,vol%
2006,US,natural_gas,nitrogen,abs_min,0.0,vol%
2006,US,natural_gas,nitrogen,abs_max,1,vol%
2006,US,natural_gas,carbon_monoxide,def,0,vol%
2006,US,natural_gas,carbon_monoxide,min,0,vol%
2006,US,natural_gas,carbon_monoxide,max,0,vol%
2006,US,natural_gas,carbon_monoxide,abs_min,0.0,vol%
2006,US,natural_gas,carbon_monoxide,abs_max,0,vol%
