year,region,activity,property,value,unit
2006,World,csr_a_natural_gas,def,0.0023,t/t
2006,World,csr_a_natural_gas,min,0.00161,t/t
2006,World,csr_a_natural_gas,max,0.00299,t/t
2006,World,csr_a_natural_gas,abs_max,inf,t/t
2006,World,csr_a_natural_gas,abs_min,0.0,t/t
2006,World,csr_b_natural_gas,def,0.0023,t/t
2006,World,csr_b_natural_gas,abs_min,0,t/t
2006,World,csr_b_natural_gas,abs_max,inf,t/t
2006,World,csr_b_natural_gas,min,0.00161,t/t
2006,World,csr_b_natural_gas,max,0.00299,t/t
2006,World,csr_w_nh3_natural_gas,def,0.0023,t/t
2006,World,csr_w_nh3_natural_gas,abs_min,0,t/t
2006,World,csr_w_nh3_natural_gas,abs_max,inf,t/t
2006,World,csr_w_nh3_natural_gas,min,0.00161,t/t
2006,World,csr_w_nh3_natural_gas,max,0.00299,t/t
2006,World,csr_c1_natural_gas,def,0.0023,t/t
2006,World,csr_c1_natural_gas,abs_min,0,t/t
2006,World,csr_c1_natural_gas,abs_max,inf,t/t
2006,World,csr_c1_natural_gas,min,0.00161,t/t
2006,World,csr_c1_natural_gas,max,0.00299,t/t
2006,World,csr_c1_natural_gas_co2,def,0.0023,t/t
2006,World,csr_c1_natural_gas_co2,abs_min,0,t/t
2006,World,csr_c1_natural_gas_co2,abs_max,inf,t/t
2006,World,csr_c1_natural_gas_co2,min,0.00161,t/t
2006,World,csr_c1_natural_gas_co2,max,0.00299,t/t
2006,World,csr_c2_natural_gas,def,0.0023,t/t
2006,World,csr_c2_natural_gas,abs_min,0,t/t
2006,World,csr_c2_natural_gas,abs_max,inf,t/t
2006,World,csr_c2_natural_gas,min,0.00161,t/t
2006,World,csr_c2_natural_gas,max,0.00299,t/t
2006,World,csr_c3_natural_gas,def,0.0023,t/t
2006,World,csr_c3_natural_gas,abs_min,0,t/t
2006,World,csr_c3_natural_gas,abs_max,inf,t/t
2006,World,csr_c3_natural_gas,min,0.00161,t/t
2006,World,csr_c3_natural_gas,max,0.00299,t/t
2006,World,csr_c4_natural_gas,def,0.0023,t/t
2006,World,csr_c4_natural_gas,abs_min,0,t/t
2006,World,csr_c4_natural_gas,abs_max,inf,t/t
2006,World,csr_c4_natural_gas,min,0.00161,t/t
2006,World,csr_c4_natural_gas,max,0.00299,t/t
2006,World,pox_anthracite,def,0.0023,t/t
2006,World,pox_anthracite,abs_min,0,t/t
2006,World,pox_anthracite,abs_max,inf,t/t
2006,World,pox_anthracite,min,0.00161,t/t
