SIGLA_UF,f1_score,crop_class
MG,98.1638418079096,Citrus
SP,93.07909604519774,Citrus
BA,90.03285870755751,Coffee
ES,92.54901960784314,Coffee
GO,93.95973154362416,Coffee
MG,91.30801687763713,Coffee
SP,85.85209003215434,Coffee
BA,42.96296296296296,Cotton
BA,96.28942486085343,Forest Plantation
ES,97.47081712062257,Forest Plantation
GO,91.18852459016394,Forest Plantation
MA,97.03349282296651,Forest Plantation
MG,95.22882181110029,Forest Plantation
MS,93.88185654008439,Forest Plantation
MT,92.61477045908184,Forest Plantation
PA,89.02439024390245,Forest Plantation
PI,98.15303430079155,Forest Plantation
PR,96.39024390243902,Forest Plantation
RS,97.79482262703739,Forest Plantation
SC,95.58390578999018,Forest Plantation
SP,97.41035856573706,Forest Plantation
TO,96.4774951076321,Forest Plantation
AL,66.78260869565219,Mosaic of Uses
BA,94.51913133402276,Mosaic of Uses
CE,63.1578947368421,Mosaic of Uses
ES,72.7810650887574,Mosaic of Uses
GO,63.33711691259932,Mosaic of Uses
MA,76.81818181818181,Mosaic of Uses
MG,56.35220125786164,Mosaic of Uses
MS,51.09114249037228,Mosaic of Uses
MT,76.3975155279503,Mosaic of Uses
PB,73.62924281984334,Mosaic of Uses
PE,86.65158371040724,Mosaic of Uses
PI,80.17524644030668,Mosaic of Uses
PR,56.99745547073791,Mosaic of Uses
RJ,96.8229954614221,Mosaic of Uses
RN,80.39538714991762,Mosaic of Uses
RS,44.89337822671156,Mosaic of Uses
SC,74.16267942583733,Mosaic of Uses
SE,69.10994764397905,Mosaic of Uses
SP,43.3048433048433,Mosaic of Uses
TO,67.27509778357236,Mosaic of Uses
BA,94.64740866610025,Other Perennial Crops
CE,98.81061299176578,Other Perennial Crops
MG,90.633608815427,Other Perennial Crops
PE,99.43630214205186,Other Perennial Crops
SP,44.61538461538462,Other Perennial Crops
BA,78.29787234042553,Other Temporary Crops
CE,90.42448173741361,Other Temporary Crops
ES,84.0531561461794,Other Temporary Crops
GO,65.9400544959128,Other Temporary Crops
MA,66.21621621621621,Other Temporary Crops
MG,81.86046511627907,Other Temporary Crops
MS,78.9289871944121,Other Temporary Crops
MT,72.27722772277228,Other Temporary Crops
PA,64.15094339622641,Other Temporary Crops
PB,88.07785888077859,Other Temporary Crops
PI,91.52542372881356,Other Temporary Crops
PR,78.7716955941255,Other Temporary Crops
RJ,98.19563152896487,Other Temporary Crops
RN,83.51893095768375,Other Temporary Crops
RO,85.49618320610686,Other Temporary Crops
RS,84.8404255319149,Other Temporary Crops
SC,80.0,Other Temporary Crops
SE,98.0295566502463,Other Temporary Crops
SP,75.77639751552795,Other Temporary Crops
TO,85.9375,Other Temporary Crops
PA,99.11864406779661,Palm Oil
AC,99.89969909729187,Pasture
AL,96.62027833001989,Pasture
AM,99.90089197224975,Pasture
BA,86.99453551912568,Pasture
CE,95.12953367875647,Pasture
ES,95.89905362776025,Pasture
GO,94.30051813471503,Pasture
MA,97.10144927536231,Pasture
MG,95.0207468879668,Pasture
MS,89.45538818076477,Pasture
MT,87.24832214765101,Pasture
PA,95.61752988047809,Pasture
PB,91.30913091309131,Pasture
PE,95.68788501026694,Pasture
PI,92.13709677419355,Pasture
PR,79.39110070257611,Pasture
RJ,95.06172839506173,Pasture
RN,71.16564417177914,Pasture
RO,98.06201550387597,Pasture
RR,99.49443882709808,Pasture
RS,99.2,Pasture
SC,97.77777777777777,Pasture
SE,89.86784140969164,Pasture
SP,87.98133022170362,Pasture
TO,94.05940594059405,Pasture
RS,83.57894736842105,Rice
SC,98.60769860769861,Rice
TO,98.72659176029963,Rice
BA,93.54207436399217,Soybean
GO,87.83068783068782,Soybean
MA,95.1923076923077,Soybean
MG,90.24896265560166,Soybean
MS,83.31562167906482,Soybean
MT,83.09572301425662,Soybean
PA,98.02073515551368,Soybean
PI,98.34146341463415,Soybean
PR,92.63746505125815,Soybean
RO,95.84905660377359,Soybean
RR,98.08541973490426,Soybean
RS,73.0195177956372,Soybean
SC,92.09486166007905,Soybean
SP,92.93756397134084,Soybean
TO,92.49492900608519,Soybean
AL,90.09384775808134,Sugar Cane
BA,99.68520461699894,Sugar Cane
GO,89.32261768082664,Sugar Cane
MA,79.38931297709924,Sugar Cane
MG,92.47104247104248,Sugar Cane
MS,91.11338100102145,Sugar Cane
MT,97.13740458015268,Sugar Cane
PB,84.82905982905983,Sugar Cane
PE,93.37121212121212,Sugar Cane
PI,99.65635738831615,Sugar Cane
PR,93.44569288389512,Sugar Cane
RN,87.87878787878788,Sugar Cane
SE,87.22466960352423,Sugar Cane
SP,90.87301587301587,Sugar Cane
TO,65.93406593406593,Sugar Cane
