code,description,nace_rev2_code,nace_rev2_description
freshwater_aquatic_tier1,discharge to aquatic environmnets (tier 1),,
freshwater_aquatic_other_tier2,"discharge to aquatic environments other than reservoirs, lakes and estuaries (tier2)",,
freshwater_aquatic_lakes_tier2,"discharge to reservoirs, lakes and estuaries (tier2)",,
soils,"discharge to non-aqautic environmnet, EMISSIONS CONSIDERED in VOLUME 4",,
