code,parent_code,description,comment,level,cpc2_1_code,cpc2_1_description,mapping_type
agforfi,,"product of agriculture, forestry and fishery",,0,"0","Agriculture, forestry and fishery products","one-to-one"
crop,agforfi,generic crop,,1,"01","Products of agriculture, horticulture and market gardening","many-to-one"
grain,crop,generic grains,,2,"011","Cereals","one-to-one"
wheat,grain,wheat,,3,"0111","Wheat","one-to-one"
wheat_winter,wheat,winter wheat,,4,"0111","Wheat","many-to-one"
wheat_spring,wheat,spring wheat,,4,"0111","Wheat","many-to-one"
barley,grain,barley,,3,"0115","Barley","one-to-one"
oat,grain,oats,,3,"0117","Oats","one-to-one"
maize,grain,maize,,3,"0112","Maize (corn)","one-to_one"
rye,grain,rye,,3,"0116","Rye","one-to_one"
rice,grain,rice,,3,"0113","Rice","one-to_one"
millet,grain,millet,,3,"0118","Millet","one-to_one"
sorghum,grain,sorghum,,3,"0114","Sorghum","one-to_one"
vegetable,crop,vegatables,,2,"012","Vegetables","one-to_one"
bean,vegetable,beans and pulses,,3,"01241","Beans, green","one-to_one"
forage_crop,crop,forage crops,,2,"0191","Forage products","one-to_one"
alfalfa,forage_crop,alfalfa,,3,"01912","Alfalfa for forage and silage","one-to_one"
hay_non-legume,forage_crop,non-legume hay,,3,"01919","Forage products, n.e.c.","many-to_one"
forage_n-fixing,forage_crop,n-fixing forages,,3,"01919","Forage products, n.e.c.","many-to_one"
forage_non-n-fixing,forage_crop,non-n-fixing forages,,3,"01919","Forage products, n.e.c.","many-to_one"
grass_perennial,forage_crop,perennial grasses,,3,"01919","Forage products, n.e.c.","many-to_one"
grass-clover,forage_crop,grass-clover mixtures (grass dominating 2 over 1),,3,"01919","Forage products, n.e.c.","many-to_one"
nut,crop,nuts,,2,"0137","Nuts (excluding wild edible nuts and groundnuts), in shell","one-to_one"
oilseed,crop,oilseeds,,2,"014","Oilseeds and oleaginous fruits","one-to_one"
soybean,oilseed,soybeans,,3,"0141","Soya beans","one-to_one"
peanut,oilseed,peanuts,,3,"0142","Groundnuts, excluding shelled","many-to_one"
starch,crop,crops with high starch content,,2,"015","Edible roots and tubers with high starch or inulin content","one-to_one"
potato,starch,potatoes and tubers,,3,"0151","Potatoes","one-to_one"
animal,agforfi,animal,,1,"02","Live animals and animal products (excluding meat)","one-to_one"
cattle,animal,cattle (not specified),,2,"02111","Cattle","one-to_one"
cattle-dairy,cattle,mature dairy cow,,3,"02111","Cattle","many-to_one"
cattle-other,cattle,other cattle,,3,"02111","Cattle","many-to_one"
cattle-other_mature-fem,cattle-other,mature other cattle female,,4,"02111","Cattle","many-to_one"
cattle-other_mature-fem-grazing,cattle-other_mature-fem,mature other cattle female grazing,,5,"02111","Cattle","many-to_one"
cattle-other_mature-fem-farming,cattle-other_mature-fem,other mature non-dairy cattle females farming,,5,"02111","Cattle","many-to_one"
cattle-other_mature-mal,cattle-other,other mature non-dairy cattle males,,4,"02111","Cattle","many-to_one"
cattle-other_mature-mal-grazing,cattle-other_mature-mal,other mature non-dairy cattle males grazing,,5,"02111","Cattle","many-to_one"
cattle-other_mature-mal-farming,cattle-other_mature-mal,other mature non-dairy cattle males farming,,5,"02111","Cattle","many-to_one"
cattle-other_calve-milk,cattle-other,other non-dairy cattle calve on milk,,4,"02111","Cattle","many-to_one"
cattle-other_calve-forage,cattle-other,other non-dairy cattle calve on forage,,4,"02111","Cattle","many-to_one"
cattle-other_growing,cattle-other,growing cattle,,4,"02111","Cattle","many-to_one"
cattle-other_feedlot,cattle-other,feedlock cattle,,4,"02111","Cattle","many-to_one"
cattle-other_draftbullock,cattle-other,draft bullocks (castrated),,4,"02111","Cattle","many-to_one"
cattle-other_bullgrazing,cattle-other,grazing bulls,,4,"02111","Cattle","many-to_one"
cattle-other_replacement,cattle-other,cattle for replacement,,4,"02111","Cattle","many-to_one"
cattle-dairy_lp,cattle-dairy,mature dairy cow in low productivity systems,,4,"02111","Cattle","many-to_one"
cattle-dairy_hp,cattle-dairy,mature dairy cow in high productivity systems,,4,"02111","Cattle","many-to_one"
cattle-other_lp,cattle-other,other cattle in low productivity systems,,4,"02111","Cattle","many-to_one"
cattle-other_hp,cattle-other,other cattle in high productivity systems,,4,"02111","Cattle","many-to_one"
cattle-other_hp_mature-fem,cattle-other_hp,other mature non-dairy cattle females how in high productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_hp_mature-fem-grazing,cattle-other_hp_mature-fem,other mature non-dairy cattle females grazing in  high productivity systems,,6,"02111","Cattle","many-to_one"
cattle-other_hp_mature-fem-farming,cattle-other_hp_mature-fem,other mature non-dairy cattle females farming in high productivity systems,,6,"02111","Cattle","many-to_one"
cattle-other_hp_mature-mal,cattle-other_hp,other mature non-dairy cattle males in high productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_hp_mature-mal-grazing,cattle-other_hp_mature-mal,other mature non-dairy cattle males grazing in high productivity systems,,6,"02111","Cattle","many-to_one"
cattle-other_hp_mature-mal-farming,cattle-other_hp_mature-mal,other mature non-dairy cattle males farming in high productivity systems,,6,"02111","Cattle","many-to_one"
cattle-other_hp_calve-milk,cattle-other_hp,other non-dairy cattle calve on milk in high productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_hp_calve-forage,cattle-other_hp,other non-dairy cattle calve on forage in high productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_hp_growing,cattle-other_hp,growing cattle in high productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_hp_feedlot,cattle-other_hp,feedlock cattle in high productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_hp_draftbullock,cattle-other_hp,draft bullocks (castrated) in high productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_hp_bullgrazing,cattle-other_hp,grazing bulls in high productivity systems,,5,"02111","Cattle","many-to_one"
