code,description
FL,forest land
CL,cropland
GL,grasland
WL,wetland
SL,settlements
OL,other land
CL-ANNUAL,cropland - annual crops
CL-RICE,cropland - rice cultivation
CL-PLAN,cropland - plantation of crops (e.g. rubber - coconut - oilpalm - coffee - cacao)
CL-PLAN-OILPALM,cropland - plantation of oilpalm
CL-PLAN-SAGOPALM,cropland - plantation of sagopalm
CL-VINE,cropland - vineyards
CL-ORCH,cropland - fruit orchards (e.g. mango - apple - citrus)
CL-OLIV,cropland - olive cultivation
CL-AGRO,cropland - agroforestry
CL-ASIDE,cropland - set aside with grass crops
SL-PARK,settlements parks
WL-PEAT,managed peatland
dummy,dummy place holder category
