cat4,cat3,cat2,cat1,cat0
coll_treat_aerob_centralised_primary,sewer,,,
coll_treat_aerob_centralised_primary-and-digest,sewer,,,
coll_treat_aerob_centralised_wo-primary,sewer,,,
coll_treat_aerob_centralised_primary_secondary,sewer,,,
coll_treat_aerob_centralised_primary-and-digest_secondary,sewer,,,
coll_treat_aerob_centralised_primary_secondary-tertiary,sewer,,,
coll_treat_aerob_centralised_primary-and-digest_secondary-tertiary,sewer,,,
coll_treat_aerob_shallow,sewer,,,
coll_treat_anaerob_a-lagoons,other_ww,,,
coll_treat_anaerob_f-lagoons,other_ww,,,
coll_treat_anaerob_c-wetlands,other_ww,,,
coll_treat_anaerob_a-reactors,other_ww,,,
uncoll_septic-tanks,septic-tank,,,
uncoll_septic-system,septic-tank,,,
uncoll_latrines_small,latrine,,,
uncoll_latrines_communal,latrine,,,
uncoll_latrines_wet,latrine,,,
uncoll_untreated,no_treat,,,
