code,description
grain,high grain diet > 90 percent
grain-steamflaked,steamflaked corn > 90 percent
forage-high,high quality forage (e.g. vegetative legumes and grasses)
forage-mod,moderate quality forage (e.g. mid season legume and grasses)
forage-low,low quality forage (e.g. straws and mature grasses)
undefined,undefined diet type
