code,description
Commercial,Type of structure
Streets and highways,Type of structure
Utilities,Type of structure
Water and waste management,Type of structure
Other public works,Type of structure
Non-construction,Type of structure
Wall,Type of structure
Beam,Type of structure
Pillar,Type of structure
"Slabs (Floor), Ready-mix",Type of structure
"Slabs (Floor), Pre-cast concrete",Type of structure
Staircases,Type of structure
Walls,Type of structure
Slabs,Type of structure
Foundation,Type of structure
Structures,Type of structure
