code,description
dry,dry conditions in a region (depends on climate zone: e.g. MAP/PET<1 in boreal and temperate region; MAP<1000mm in tropical region)
wet,wet conditions in a region (depends on climate zone: e.g. MAP/PET>=1 in boreal and temperate region; MAP>2000mm in tropical region)
moist,moist conditions in a region (depends on climate zone: e.g. MAP<=2000mm >1000mm in tropical region)
undefined,undefined moisture conditions
dummy,dummy placeholder for emoty data table
