cat4,cat3,cat2,cat1,cat0
cattle-other_lp_draftbullock,cattle-other_lp,cattle-other,cattle,
cattle-other_lp_bullgrazing,cattle-other_lp,cattle-other,cattle,
cattle-other_lp_replacement,cattle-other_lp,cattle-other,cattle,
cattle-other_hp,cattle-other,cattle,,
cattle-other_lp,cattle-other,cattle,,
cattle-other,cattle,,,
cattle-other_calve-milk,cattle-other,cattle,,
cattle-other_calve-forage,cattle-other,cattle,,
cattle-other_growing,cattle-other,cattle,,
cattle-other_feedlot,cattle-other,cattle,,
cattle-other_draftbullock,cattle-other,cattle,,
cattle-other_bullgrazing,cattle-other,cattle,,
cattle-other_replacement,cattle-other,cattle,,
cattle-dairy_lp,cattle-dairy,cattle,,
cattle-dairy_hp,cattle-dairy,cattle,,
cattle-dairy,cattle,,,
buffalo_hp,buffalo,,,
buffalo_lp,buffalo,,,
buffalo-dairy,buffalo,,,
buffalo-dairy_lp,buffalo-dairy,buffalo,,
buffalo-dairy_hp,buffalo-dairy,buffalo,,
buffalo-nondairy,buffallo,,,
buffalo-nondairy_mature-male,buffalo-nondairy,buffallo,,
buffalo-nondairy_male-working,buffalo-nondairy,buffallo,,
buffalo-nondairy_male-breeding,buffalo-nondairy,buffallo,,
buffalo-nondairy_growing,buffalo-nondairy,buffallo,,
buffalo-nondairy_calve,buffalo-nondairy,buffallo,,
goat_hp,goat,,,
goat_lp,goat,,,
sheep-mature,sheep,,,
sheep-mature_hp,sheep-mature,sheep,,
sheep-mature_lp,sheep-mature,sheep,,
sheep-mature_hp_dairy,sheep-mature_hp,sheep-mature,sheep,
sheep-mature_lp_dairy,sheep-mature_lp,sheep-mature,sheep,
sheep-mature_hp_wool,sheep-mature_hp,sheep-mature,sheep,
sheep-mature_lp_wool,sheep-mature_lp,sheep-mature,sheep,
sheep-growing,sheep,,,
sheep-growing_hp,sheep-growing,sheep,,
sheep-growing_lp,sheep-growing,sheep,,
sheep-growing_hp_meat,sheep-growing_hp,sheep-growing,sheep,
sheep-growing_lp_meat,sheep-growing_lp,sheep-growing,sheep,
sheep-dairy,sheep,,,
swine-mature,swine,,,
swine-mature_breeding,swine-mature,swine,,
swine-mature_lp,swine-mature,swine,,
swine-mature_hp,swine-mature,swine,,
swine-mature_lp_breeding,swine-mature_lp,swine-mature,swine,
swine-mature_hp_breeding,swine-mature_hp,swine-mature,swine,
swine-growing,swine,,,
swine-growing_hp,swine-growing,swine,,
swine-growing_lp,swine-growing,swine,,
swine-growing_hp_4to7kg,swine-growing_hp,swine-growing,swine,
swine-growing_hp_7to20kg,swine-growing_hp,swine-growing,swine,
swine-growing_hp_20to40kg,swine-growing_hp,swine-growing,swine,
swine-growing_hp_40to80kg,swine-growing_hp,swine-growing,swine,
swine-growing_hp_80to120kg,swine-growing_hp,swine-growing,swine,
swine-growing_hp_market,swine-growing_hp,swine-growing,swine,
swine-growing_hp_piglet,swine-growing_hp,swine-growing,swine,
swine-growing_lp_piglet,swine-growing_lp,swine-growing,swine,
swine-growing_hp_meat,swine-growing_hp,swine-growing,swine,
poultry_lp,poultry,,,
poultry_hp,poultry,,,
poultry-chicken,poultry,,,
poultry-chicken_hen,poultry-chicken,poultry,,
poultry-chicken_pullet,poultry-chicken,poultry,,
poultry-chicken_broiler,poultry-chicken,poultry,,
poultry-chicken_lp,poultry-chicken,poultry,,
poultry-chicken_hp,poultry-chicken,poultry,,
poultry-chicken_lp_hen,poultry-chicken_lp,poultry-chicken,poultry,
poultry-chicken_hp_hen,poultry-chicken_hp,poultry-chicken,poultry,
poultry-chicken_lp_pullet,poultry-chicken_lp,poultry-chicken,poultry,
poultry-chicken_hp_pullet,poultry-chicken_hp,poultry-chicken,poultry,
poultry-chicken_lp_broiler,poultry-chicken_lp,poultry-chicken,poultry,
poultry-chicken_hp_broiler,poultry-chicken_hp,poultry-chicken,poultry,
poultry-chicken_layer,poultry-chicken,poultry,,
poultry-chicken_hp_layer,poultry-chicken_hp,poultry-chicken,poultry,
poultry-chicken_lp_layer,poultry-chicken_lp,poultry-chicken,poultry,
poultry-turkey,poultry,,,
poultry-turkey_hp,poultry-turkey,poultry,,
poultry-turkey_lp,poultry-turkey,poultry,,
poultry-duck,poultry,,,
poultry-duck_hp,poultry-duck,poultry,,
poultry-duck_lp,poultry-duck,poultry,,
poultry-duck_breeding,poultry-duck,poultry,,
poultry-duck_meat,poultry-duck,poultry,,
mule-ass_hp,mule-ass,,,
mule-ass_lp,mule-ass,,,
horse_hp,horse,,,
horse_lp,horse,,,
