code,description
0,place holder for emtpy tables
1900,year in which activity occurs
1901,year in which activity occurs
1902,year in which activity occurs
1903,year in which activity occurs
1904,year in which activity occurs
1905,year in which activity occurs
1906,year in which activity occurs
1907,year in which activity occurs
1908,year in which activity occurs
1909,year in which activity occurs
1910,year in which activity occurs
1911,year in which activity occurs
1912,year in which activity occurs
1913,year in which activity occurs
1914,year in which activity occurs
1915,year in which activity occurs
1916,year in which activity occurs
1917,year in which activity occurs
1918,year in which activity occurs
1919,year in which activity occurs
1920,year in which activity occurs
1921,year in which activity occurs
1922,year in which activity occurs
1923,year in which activity occurs
1924,year in which activity occurs
1925,year in which activity occurs
1926,year in which activity occurs
1927,year in which activity occurs
1928,year in which activity occurs
1929,year in which activity occurs
1930,year in which activity occurs
1931,year in which activity occurs
1932,year in which activity occurs
1933,year in which activity occurs
1934,year in which activity occurs
1935,year in which activity occurs
1936,year in which activity occurs
1937,year in which activity occurs
1938,year in which activity occurs
1939,year in which activity occurs
1940,year in which activity occurs
1941,year in which activity occurs
1942,year in which activity occurs
1943,year in which activity occurs
1944,year in which activity occurs
1945,year in which activity occurs
1946,year in which activity occurs
1947,year in which activity occurs
1948,year in which activity occurs
1949,year in which activity occurs
1950,year in which activity occurs
1951,year in which activity occurs
1952,year in which activity occurs
1953,year in which activity occurs
1954,year in which activity occurs
1955,year in which activity occurs
1956,year in which activity occurs
1957,year in which activity occurs
1958,year in which activity occurs
1959,year in which activity occurs
1960,year in which activity occurs
1961,year in which activity occurs
1962,year in which activity occurs
1963,year in which activity occurs
1964,year in which activity occurs
1965,year in which activity occurs
1966,year in which activity occurs
1967,year in which activity occurs
1968,year in which activity occurs
1969,year in which activity occurs
1970,year in which activity occurs
1971,year in which activity occurs
1972,year in which activity occurs
1973,year in which activity occurs
1974,year in which activity occurs
1975,year in which activity occurs
1976,year in which activity occurs
1977,year in which activity occurs
1978,year in which activity occurs
1979,year in which activity occurs
1980,year in which activity occurs
1981,year in which activity occurs
1982,year in which activity occurs
1983,year in which activity occurs
1984,year in which activity occurs
1985,year in which activity occurs
1986,year in which activity occurs
1987,year in which activity occurs
1988,year in which activity occurs
1989,year in which activity occurs
1990,year in which activity occurs
1991,year in which activity occurs
1992,year in which activity occurs
1993,year in which activity occurs
1994,year in which activity occurs
1995,year in which activity occurs
1996,year in which activity occurs
1997,year in which activity occurs
1998,year in which activity occurs
1999,year in which activity occurs
2000,year in which activity occurs
2001,year in which activity occurs
2002,year in which activity occurs
2003,year in which activity occurs
2004,year in which activity occurs
2005,year in which activity occurs
2006,year in which activity occurs
2007,year in which activity occurs
2008,year in which activity occurs
2009,year in which activity occurs
2010,year in which activity occurs
2011,year in which activity occurs
2012,year in which activity occurs
2013,year in which activity occurs
2014,year in which activity occurs
2015,year in which activity occurs
2016,year in which activity occurs
2017,year in which activity occurs
2018,year in which activity occurs
2019,year in which activity occurs
2020,year in which activity occurs
