code,description
batch,batch-charging as operation of furnace
sprinkle,sprinkle-charging as operation of furnace (charging intermittently every minute)
sprinkle_high750,sprinkle-charging with more than 750 degree celsius as operation of furnace (temperature in off-gas channel)
