currency_code_alpha,cntr_iso3,start_date_iso4217,end_date_iso4217,start_date_wiki,end_date_wiki
AFA,AFG,1970-01-01,2003-01-01,1925-01-01,2003-01-01
AFN,AFG,2003-01-01,2025-05-12,,
ALK,ALB,1970-01-01,1989-12-01,1946-01-01,1965-01-01
ALL,ALB,1989-12-01,2025-05-12,,
DZD,DZA,1970-01-01,2025-05-12,,
USD,ASM,1970-01-01,2025-05-12,,
ESP,AND,1970-01-01,2002-03-01,1869-01-01,1999-01-01
FRF,AND,2002-03-01,2002-03-01,1960-01-01,1999-01-01
ADP,AND,2002-03-01,2003-07-01,1869-01-01,1999-01-01
EUR,AND,2003-07-01,2025-05-12,,
AOK,AGO,1970-01-01,1991-03-01,1977-01-08,1990-09-24
AON,AGO,1991-03-01,2000-02-01,1990-09-25,1995-06-30
AOR,AGO,2000-02-01,2000-02-01,1995-07-01,1999-11-30
AOA,AGO,2000-02-01,2025-05-12,,
XCD,AIA,1970-01-01,2025-05-12,,
,ATA,1970-01-01,2025-05-12,,
XCD,ATG,1970-01-01,2025-05-12,,
XAD,not found,2013-11-01,2025-05-12,,
ARP,ARG,1970-01-01,1985-07-01,1983-06-06,1985-06-14
ARY,ARG,1989-01-01,1990-12-01,1970-01-01,1983-06-06
ARA,ARG,1990-12-01,1992-01-01,1985-06-15,1991-12-31
ARS,ARG,1992-01-01,2025-05-12,,
RUR,ARM,1970-01-01,1994-08-01,1992-01-01,1997-12-31
AMD,ARM,1994-08-01,2025-05-12,,
AWG,ABW,1970-01-01,2025-05-12,,
AUD,AUS,1970-01-01,2025-05-12,,
ATS,AUT,1970-01-01,2002-03-01,1945-01-01,1999-01-01
EUR,AUT,2002-03-01,2025-05-12,,
RUR,AZE,1970-01-01,1994-08-01,1992-01-01,1997-12-31
AYM,AZE,1994-08-01,2005-10-01,,
AZM,AZE,2005-10-01,2005-12-01,1992-08-15,2006-01-01
AZN,AZE,2005-12-01,2025-05-12,,
BSD,BHS,1970-01-01,2025-05-12,,
BHD,BHR,1970-01-01,2025-05-12,,
BDT,BGD,1970-01-01,2025-05-12,,
BBD,BRB,1970-01-01,2025-05-12,,
RUR,BLR,1970-01-01,1994-06-01,1992-01-01,1997-12-31
BYB,BLR,1994-06-01,2001-01-01,1992-01-01,1999-12-31
BYR,BLR,2001-01-01,2017-01-01,2000-01-01,2016-06-30
BYN,BLR,2017-01-01,2025-05-12,,
