Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2024,33680000000.0,23442000000.0,-19319000000.0,9610000000.0,47413000000.0
2023,36010000000.0,20641000000.0,-17841000000.0,-2707000000.0,36103000000.0
2022,55740000000.0,24040000000.0,-13160000000.0,-26075000000.0,40545000000.0
2021,23040000000.0,20607000000.0,-8900000000.0,-13981000000.0,20766000000.0
2020,-22440000000.0,46009000000.0,-16283000000.0,-2467000000.0,4819000000.0
2019,14340000000.0,18998000000.0,-24361000000.0,4772000000.0,13749000000.0
2018,20840000000.0,18745000000.0,-19574000000.0,-1472000000.0,18539000000.0
2017,19710000000.0,19893000000.0,-15402000000.0,4415000000.0,28616000000.0
2016,7840000000.0,22308000000.0,-16163000000.0,-5131000000.0,8854000000.0
2015,16150000000.0,18048000000.0,-26490000000.0,0.0,7708000000.0
