Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2024,668000000.0,1199000000.0,0,-4256000000.0,6123000000.0
2023,957000000.0,1227000000.0,0,-1191000000.0,3375000000.0
2022,1714000000.0,1327000000.0,0,-393000000.0,3434000000.0
2021,3060000000.0,1261000000.0,0,9124000000.0,-4803000000.0
2020,1085000000.0,1600000000.0,0,12404000000.0,-9719000000.0
2019,1715000000.0,1555000000.0,0,13154000000.0,-9884000000.0
2018,1263000000.0,1649000000.0,0,3703000000.0,-791000000.0
2017,929000000.0,1859000000.0,0,10656000000.0,-7868000000.0
2016,1037000000.0,2382000000.0,0,10502000000.0,-7083000000.0
2015,-1282000000.0,2801000000.0,0,0.0,1519000000.0
