Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2025,72880000000.0,1864000000.0,-3236000000.0,-28365000000.0,99873000000.0
2024,29760000000.0,1508000000.0,-1069000000.0,-17204000000.0,47403000000.0
2023,4368000000.0,1544000000.0,-1833000000.0,7984000000.0,-3905000000.0
2022,9752000000.0,1174000000.0,-976000000.0,-12364000000.0,22314000000.0
2021,4332000000.0,1098000000.0,-1128000000.0,-224000000.0,4526000000.0
2020,2796000000.0,381000000.0,-489000000.0,-2678000000.0,5366000000.0
2019,4141000000.0,262000000.0,-600000000.0,-1126000000.0,4929000000.0
2018,3047000000.0,199000000.0,-591000000.0,-1354000000.0,4009000000.0
2017,1666000000.0,187000000.0,-169000000.0,-3046000000.0,4730000000.0
2016,614000000.0,226000000.0,-79000000.0,0.0,761000000.0
