Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2024,-18756000000.0,11379000000.0,-23944000000.0,3558000000.0,-34879000000.0
2023,1689000000.0,9602000000.0,-25750000000.0,3036000000.0,-17495000000.0
2022,8014000000.0,13035000000.0,-24844000000.0,12844000000.0,-16639000000.0
2021,19868000000.0,11792000000.0,-20329000000.0,-8601000000.0,19932000000.0
2020,20899000000.0,12239000000.0,-14453000000.0,-13566000000.0,32251000000.0
2019,21048000000.0,10826000000.0,-16213000000.0,3232000000.0,12429000000.0
2018,21053000000.0,9085000000.0,-15181000000.0,-82000000.0,15039000000.0
2017,9601000000.0,8129000000.0,-11778000000.0,3127000000.0,2825000000.0
2016,10316000000.0,7790000000.0,-9625000000.0,7468000000.0,1013000000.0
2015,11420000000.0,8711000000.0,-7326000000.0,0.0,12805000000.0
