Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2025Q2,688000000.0,0.0,0,1800000000.0,688000000.0
2025Q1,-756000000.0,0.0,0,-428000000.0,-756000000.0
2024Q4,1671000000.0,0.0,0,-988000000.0,1671000000.0
2024Q3,-562000000.0,0.0,0,3125000000.0,-562000000.0
2024Q2,884000000.0,24000000.0,0,1451000000.0,908000000.0
2024Q1,1191000000.0,12000000.0,0,2437000000.0,1203000000.0
2023Q4,-1246000000.0,-38000000.0,0,-7952000000.0,-1284000000.0
2023Q3,819000000.0,-15000000.0,0,1627000000.0,804000000.0
2023Q2,502000000.0,-10000000.0,0,1921000000.0,492000000.0
2023Q1,-909000000.0,-9000000.0,0,2975000000.0,-918000000.0
2022Q4,821000000.0,-11000000.0,0,-7477000000.0,810000000.0
2022Q3,-1777000000.0,-9000000.0,0,5335000000.0,-1786000000.0
2022Q2,833000000.0,-11000000.0,0,903000000.0,822000000.0
2022Q1,1481000000.0,-11000000.0,0,-663000000.0,1470000000.0
2021Q4,2593000000.0,-11000000.0,0,-389000000.0,2582000000.0
2021Q3,318000000.0,-10000000.0,0,1093000000.0,308000000.0
2021Q2,642000000.0,-8000000.0,0,2461000000.0,634000000.0
2021Q1,225000000.0,-9000000.0,0,2301000000.0,216000000.0
2020Q4,143000000.0,-9000000.0,0,4429000000.0,134000000.0
2020Q3,398000000.0,-10000000.0,0,4859000000.0,388000000.0
2020Q2,-94000000.0,-11000000.0,0,3642000000.0,-105000000.0
2020Q1,52000000.0,-11000000.0,0,1244000000.0,41000000.0
2019Q4,432000000.0,-8000000.0,0,3156000000.0,424000000.0
2019Q3,-161000000.0,-8000000.0,0,1552000000.0,-169000000.0
2019Q2,363000000.0,-7000000.0,0,1333000000.0,356000000.0
2019Q1,252000000.0,-8000000.0,0,3929000000.0,244000000.0
2018Q4,399000000.0,-8000000.0,0,2232000000.0,391000000.0
2018Q3,490000000.0,-1000000.0,0,997000000.0,489000000.0
2018Q2,385000000.0,0.0,0,6380000000.0,385000000.0
2018Q1,367000000.0,0.0,0,-636000000.0,367000000.0
2017Q4,815000000.0,-1000000.0,0,844000000.0,814000000.0
2017Q3,418000000.0,0.0,0,866000000.0,418000000.0
2017Q2,411000000.0,-4000000.0,0,501000000.0,407000000.0
2017Q1,435000000.0,-18000000.0,0,1792000000.0,417000000.0
2016Q4,189000000.0,-18000000.0,0,228000000.0,171000000.0
2016Q3,467000000.0,-18000000.0,0,630000000.0,449000000.0
2016Q2,325000000.0,-19000000.0,0,1399000000.0,306000000.0
2016Q1,211000000.0,-18000000.0,0,1196000000.0,193000000.0
2015Q4,283000000.0,-19000000.0,0,1006000000.0,264000000.0
2015Q3,227000000.0,-18000000.0,0,0.0,209000000.0
2015Q2,0.0,-19000000.0,0,0.0,-19000000.0
2015Q1,0.0,-18000000.0,0,0.0,-18000000.0
