Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2024,3184000000,0,0,6025000000,3184000000
2023,-834000000,-38000000,0,-1429000000,-872000000
2022,1358000000,-42000000,0,-1902000000,1316000000
2021,3778000000,-38000000,0,5466000000,3740000000
2020,499000000,-41000000,0,14174000000,458000000
2019,886000000,-31000000,0,9970000000,855000000
2018,1641000000,-9000000,0,8973000000,1632000000
2017,2079000000,-23000000,0,4003000000,2056000000
2016,1192000000,-73000000,0,3453000000,1119000000
2015,1154000000,-74000000,0,0,1080000000
