year,region,product,carbonate_type,property,value,unit
2006,World,portland,calcite,def,1.0,t/t
2006,World,portland,magnesite,def,1.0,t/t
2006,World,portland,dolomite,def,1.0,t/t
2006,World,portland,siderite,def,1.0,t/t
2006,World,portland,ankerite,def,1.0,t/t
2006,World,portland,rhodochrosite,def,1.0,t/t
2006,World,portland,sodium-carbonate,def,1.0,t/t
2006,World,masonry,calcite,def,1.0,t/t
2006,World,masonry,magnesite,def,1.0,t/t
2006,World,masonry,dolomite,def,1.0,t/t
2006,World,masonry,siderite,def,1.0,t/t
2006,World,masonry,ankerite,def,1.0,t/t
2006,World,masonry,rhodochrosite,def,1.0,t/t
2006,World,masonry,sodium-carbonate,def,1.0,t/t
2006,World,slagmod-portland,calcite,def,1.0,t/t
2006,World,slagmod-portland,magnesite,def,1.0,t/t
2006,World,slagmod-portland,dolomite,def,1.0,t/t
2006,World,slagmod-portland,siderite,def,1.0,t/t
2006,World,slagmod-portland,ankerite,def,1.0,t/t
2006,World,slagmod-portland,rhodochrosite,def,1.0,t/t
2006,World,slagmod-portland,sodium-carbonate,def,1.0,t/t
2006,World,portland-bf-slag,calcite,def,1.0,t/t
2006,World,portland-bf-slag,magnesite,def,1.0,t/t
2006,World,portland-bf-slag,dolomite,def,1.0,t/t
2006,World,portland-bf-slag,siderite,def,1.0,t/t
2006,World,portland-bf-slag,ankerite,def,1.0,t/t
2006,World,portland-bf-slag,rhodochrosite,def,1.0,t/t
2006,World,portland-bf-slag,sodium-carbonate,def,1.0,t/t
2006,World,portland-pozzolan,calcite,def,1.0,t/t
2006,World,portland-pozzolan,magnesite,def,1.0,t/t
2006,World,portland-pozzolan,dolomite,def,1.0,t/t
2006,World,portland-pozzolan,siderite,def,1.0,t/t
2006,World,portland-pozzolan,ankerite,def,1.0,t/t
2006,World,portland-pozzolan,rhodochrosite,def,1.0,t/t
2006,World,portland-pozzolan,sodium-carbonate,def,1.0,t/t
2006,World,pozzolan-mod,calcite,def,1.0,t/t
2006,World,pozzolan-mod,magnesite,def,1.0,t/t
2006,World,pozzolan-mod,dolomite,def,1.0,t/t
2006,World,pozzolan-mod,siderite,def,1.0,t/t
2006,World,pozzolan-mod,ankerite,def,1.0,t/t
2006,World,pozzolan-mod,rhodochrosite,def,1.0,t/t
2006,World,pozzolan-mod,sodium-carbonate,def,1.0,t/t
2006,World,slag-cement,calcite,def,1.0,t/t
2006,World,slag-cement,magnesite,def,1.0,t/t
2006,World,slag-cement,dolomite,def,1.0,t/t
2006,World,slag-cement,siderite,def,1.0,t/t
2006,World,slag-cement,ankerite,def,1.0,t/t
2006,World,slag-cement,rhodochrosite,def,1.0,t/t
2006,World,slag-cement,sodium-carbonate,def,1.0,t/t
2006,World,portland,calcite,min,0.990,t/t
2006,World,portland,magnesite,min,0.990,t/t
2006,World,portland,dolomite,min,0.990,t/t
2006,World,portland,siderite,min,0.990,t/t
2006,World,portland,ankerite,min,0.990,t/t
2006,World,portland,rhodochrosite,min,0.990,t/t
2006,World,portland,sodium-carbonate,min,0.990,t/t
2006,World,masonry,calcite,min,0.990,t/t
2006,World,masonry,magnesite,min,0.990,t/t
2006,World,masonry,dolomite,min,0.990,t/t
2006,World,masonry,siderite,min,0.990,t/t
2006,World,masonry,ankerite,min,0.990,t/t
2006,World,masonry,rhodochrosite,min,0.990,t/t
2006,World,masonry,sodium-carbonate,min,0.990,t/t
2006,World,slagmod-portland,calcite,min,0.990,t/t
2006,World,slagmod-portland,magnesite,min,0.990,t/t
2006,World,slagmod-portland,dolomite,min,0.990,t/t
2006,World,slagmod-portland,siderite,min,0.990,t/t
2006,World,slagmod-portland,ankerite,min,0.990,t/t
2006,World,slagmod-portland,rhodochrosite,min,0.990,t/t
2006,World,slagmod-portland,sodium-carbonate,min,0.990,t/t
2006,World,portland-bf-slag,calcite,min,0.990,t/t
2006,World,portland-bf-slag,magnesite,min,0.990,t/t
2006,World,portland-bf-slag,dolomite,min,0.990,t/t
2006,World,portland-bf-slag,siderite,min,0.990,t/t
2006,World,portland-bf-slag,ankerite,min,0.990,t/t
2006,World,portland-bf-slag,rhodochrosite,min,0.990,t/t
2006,World,portland-bf-slag,sodium-carbonate,min,0.990,t/t
2006,World,portland-pozzolan,calcite,min,0.990,t/t
2006,World,portland-pozzolan,magnesite,min,0.990,t/t
2006,World,portland-pozzolan,dolomite,min,0.990,t/t
