year,region,secondarytype,property,value,unit
2006,World,acetonitrile,abs_max,1,t/t
2006,World,acetonitrile,abs_min,0,t/t
2006,World,acetonitrile,def,0.5852,t/t
2006,World,acrylonitrile,abs_max,1,t/t
2006,World,acrylonitrile,abs_min,0,t/t
2006,World,acrylonitrile,def,0.6664,t/t
2006,World,butadiene,abs_max,1,t/t
2006,World,butadiene,abs_min,0,t/t
2006,World,butadiene,def,0.888,t/t
2006,World,carbon_black,abs_max,1,t/t
2006,World,carbon_black,abs_min,0,t/t
2006,World,carbon_black,def,0.97,t/t
2006,World,ethane,abs_max,1,t/t
2006,World,ethane,abs_min,0,t/t
2006,World,ethane,def,0.856,t/t
2006,World,ethylene,abs_max,1,t/t
2006,World,ethylene,abs_min,0,t/t
2006,World,ethylene,def,0.856,t/t
2006,World,ethylene_dichloride,abs_max,1,t/t
2006,World,ethylene_dichloride,abs_min,0,t/t
2006,World,ethylene_dichloride,def,0.245,t/t
2006,World,ethylene_glycol,abs_max,1,t/t
2006,World,ethylene_glycol,abs_min,0,t/t
2006,World,ethylene_glycol,def,0.387,t/t
2006,World,ethylene_oxide,abs_max,1,t/t
2006,World,ethylene_oxide,abs_min,0,t/t
2006,World,ethylene_oxide,def,0.545,t/t
2006,World,hydrogen_cyanide,abs_max,1,t/t
2006,World,hydrogen_cyanide,abs_min,0,t/t
2006,World,hydrogen_cyanide,def,0.4444,t/t
2006,World,methane,abs_max,1,t/t
2006,World,methane,abs_min,0,t/t
2006,World,methane,def,0.749,t/t
2006,World,methanol,abs_max,1,t/t
2006,World,methanol,abs_min,0,t/t
2006,World,methanol,def,0.375,t/t
2006,World,propane,abs_max,1,t/t
2006,World,propane,abs_min,0,t/t
2006,World,propane,def,0.817,t/t
2006,World,propylene,abs_max,1,t/t
2006,World,propylene,abs_min,0,t/t
2006,World,propylene,def,0.8563,t/t
2006,World,vinyl_chloride_monomer,abs_max,1,t/t
2006,World,vinyl_chloride_monomer,abs_min,0,t/t
2006,World,vinyl_chloride_monomer,def,0.384,t/t
