"",cancer_cell_module_1,cancer_cell_module_2,cancer_cell_module_3,cancer_cell_module_4,cancer_cell_module_5,cancer_cell_module_6,cancer_cell_module_7,cancer_cell_module_8,cancer_cell_module_9,cancer_cell_module_10,cancer_cell_module_11,cancer_cell_module_12,cancer_cell_module_13,cancer_cell_module_14,cancer_cell_module_15,cancer_cell_module_16,cancer_cell_module_17,cancer_cell_module_18,cancer_cell_module_19,cancer_cell_module_20,cancer_cell_module_21,cancer_cell_module_22,cancer_cell_module_23,cancer_cell_module_24,cancer_cell_module_25,cancer_cell_module_26,cancer_cell_module_27,cancer_cell_module_28,cancer_cell_module_29,cancer_cell_module_30,cancer_cell_module_31,cancer_cell_module_32,cancer_cell_module_33
cancer_state_4_0.1,-0.11156998825356,-0.223020531545209,3.58827462681554,-0.459880652167052,-0.463654191878384,-0.0631565962961495,-0.883474993425768,-0.489813827146777,-0.35773198015969,-0.193147688637369,-0.0909336079130705,-0.248148114469511,-0.321664053276729,0.721206570866945,-0.298077195378807,-0.43314711490725,0.164851403337671,-0.556288329974807,-0.584922178525805,-0.304088024887699,1.51174999813289,-0.618681679843014,-0.139668873864286,1.47600928919912,-0.374848534372353,-0.104856594977028,-0.045234833638708,0.15643981922188,0.198065870177743,0.271987954119623,-0.0460569829002309,-0.667058291563388,-0.113889366744232
cancer_state_5_0.8,-0.116182361071414,-0.215996296423809,-0.263157338191965,-0.509967043178679,-0.507096545879976,-0.155013226098797,-0.214673760674897,-0.232763362188938,-0.157060516846548,-0.338520829989122,-0.614232507153993,-0.243287509634451,0.147088532972812,-0.26403740119661,-0.532995820049461,-0.0912176564158153,-0.602632790212943,0.415235195692639,0.331004872804754,2.19906907967999,-0.246672404636582,-0.587805938990537,-0.537840320932133,-0.391961986460744,-0.460641242647563,-0.813369758861616,-0.36823333611625,-0.256033513075156,-0.426407115739341,-0.171336435730303,-0.484620991293034,2.82421042424882,-0.250578712769656
cancer_state_7_0.1,-0.00372073125822387,0.889304148004587,-0.281629063604736,1.47301288547958,4.4092852124095,-0.0149220984799745,-0.355703190356525,0.52464659112511,-0.6239384545326,3.17056056715375,-0.136837873683192,-0.133357456345875,0.0233773020993277,-0.129829215404391,-0.741926829492753,0.154243992894454,0.0698787902051434,0.000747314804568923,-0.553036846581998,-0.207593663475908,-0.0491224691113535,0.196654446048092,-0.437250510920042,-0.275244312682752,0.056479015844816,0.521881852565437,-0.839432079700069,-0.198912262688762,0.266682339983414,-0.143016330995897,-0.487809126799555,-0.312866490906483,-0.260281189729173
cancer_state_3_0.2,-0.151464345841933,-0.350738232344564,-0.214938928534598,-0.770312630244135,-0.504698236894801,-0.138440373775045,-0.650397847818167,-0.3737987764484,-0.587244917161659,-0.226584110888396,-0.0137326994955929,-0.258916626181637,-0.754801076480429,-0.601711211699468,0.610336613867913,-0.711101322482599,-0.957008119032569,-0.728623082240702,-0.845658561675574,-0.333310713639425,-0.298420728701391,-0.882934192994638,-0.458737761054673,-0.597930948761478,-0.956433477874612,0.341158143345001,-0.0199103510073798,-0.278273524819754,-0.504961983432545,-0.32265232028403,-0.895250137032963,-0.551060773663708,-0.00590348033852717
cancer_state_1_0.5,-0.101841693107697,-0.139275167004086,-0.250525966831486,-0.319575647575584,-0.522767822745161,-0.0674685165846985,1.72980554376069,-0.145321771613234,2.78562766966855,-0.180748090607747,-0.161092054188502,0.207859535098939,0.0625257577983794,-0.0348765772851992,0.609063693146689,-0.00633953146748015,0.155395092197728,0.245083671653005,1.65636460744826,0.114718060083355,-0.0985932910284958,0.464211463024045,-0.14436712676306,0.0907969323091489,0.294272375487126,-0.493265525089186,0.925212283832805,-0.127910668185899,-0.0318535524938619,-0.0543907665917591,1.19934849574802,0.142442634366849,-0.184038510748448
cancer_state_4_0.4,-0.00589904713322852,0.142252663698367,-0.150705763750409,0.0907309288043037,-0.0529002201190964,-0.0539911555129696,0.724313744765915,0.115319047214729,0.743421986193177,-0.0169392619025697,-0.307890132326874,-0.26755718036916,1.46745247560615,0.475992319250327,-0.46930318896721,0.647009880420499,1.2780546461855,2.20904176305546,1.29123531310652,0.587583590345723,0.122579734170134,1.22516241430774,0.534258351791148,0.325875657303917,1.21362360268173,-0.231890174447763,0.488018541885888,0.219350126080351,0.482421313170278,0.19032946839447,1.72558990377659,0.282314618437786,-0.283093883927345
cancer_state_1_0.3,-0.116418354114874,-0.0327132955287669,-0.129791213630363,2.23413519059327,1.35098711977884,-0.119308935127134,-1.00083039194695,0.270122842748092,-0.490563478180038,-0.187639710536199,-0.864658846233059,-0.149916757226007,-0.536331929145962,0.23874779711373,-1.07652993300187,0.181032678488898,0.943469751306038,0.154367482295384,-0.44581804599981,-0.286269135765047,0.109174652202505,-0.637036392038731,-0.308542094484147,0.339171302829591,0.448457858856152,-0.377470877124431,-0.753496292962335,-0.0157946548329109,-0.141489091452325,0.173823522106294,-0.279831954560032,0.0309115716996743,-0.377662163535375
cancer_state_10_0.3,0.0875872417596768,-0.277695016713483,-0.16581281024677,-0.690172119647533,-0.41916981843467,0.511089859013269,0.22171688601669,-0.221419586613556,-0.552101994335667,-0.0360756412975611,1.80351544610893,0.136271191438705,0.188326100052691,-0.512305936299235,0.757766196515975,-0.619006867438042,-0.779413962262398,-0.619373637551734,-0.640569414938544,-0.23175975906499,-0.254380558082156,0.219717101670065,-0.44732252155327,-0.575758169105845,-0.767535140234907,0.307674585797197,-0.169124810730446,-0.258754481893428,-0.0662014304189446,-0.317726351114459,-0.601347109620612,-0.733042559772123,5.54890306687053
cancer_state_8_0.4,-0.108919013859066,-0.230438859728557,3.87955821909363,-0.527878288723894,-0.371833047485697,-0.0353988109896516,-0.695228906078285,-0.478685654876193,-0.433337970692327,-0.121152171770325,0.19555071987337,-0.11538202980923,-0.158519144259819,-0.146871655691424,0.0266649680550018,-0.454665472819403,-0.273820177467451,-0.514756521269108,-0.610320856396943,-0.273214958960687,-0.0247181928352877,-0.397288715246227,-0.0104213313393489,0.0944161351999181,-0.405288610007764,0.206655365596723,0.252678736340095,-0.0232455065551247,0.237085672901349,-0.0583198831441548,-0.256327718672805,-0.703678077668374,-0.0362396031856331
cancer_state_5_0.4,-0.128555887713912,-0.167249890273181,-0.276544778412977,1.73247565839782,-0.0154640255045437,-0.14662180157298,-1.13282646384974,-0.0912582101716463,-0.158571738548299,-0.335986400382163,-0.990593147879674,0.0554236576211758,-0.779090196040865,1.50668246031222,-1.15082049449157,-0.222153507556065,1.07260341643499,-0.272420698748892,-0.225257483809889,-0.242953627661844,0.445150219661897,-1.02721254693668,-0.247984730348342,1.33669504194538,0.350738879640993,-0.995094991491016,-0.871378608793677,0.290308525249465,-0.270686693074646,0.414847135219911,0.213398744719863,0.469495665325454,-0.313733306763753
