year,region,activity,product,property,value,unit
2016,World,eps_prod,eps,def,70,MJ/kg
2016,World,eps_prod,eps,min,70,MJ/kg
2016,World,eps_prod,eps,max,70,MJ/kg
2016,World,eps_prod,eps,abs_min,0,MJ/kg
2016,World,eps_prod,eps,abs_max,inf,MJ/kg
2016,World,gpps_prod,gpps,def,70,MJ/kg
2016,World,gpps_prod,gpps,min,70,MJ/kg
2016,World,gpps_prod,gpps,max,70,MJ/kg
2016,World,gpps_prod,gpps,abs_min,0,MJ/kg
2016,World,gpps_prod,gpps,abs_max,inf,MJ/kg
2016,World,hdpe_prod,hdpe,def,73,MJ/kg
2016,World,hdpe_prod,hdpe,min,73,MJ/kg
2016,World,hdpe_prod,hdpe,max,73,MJ/kg
2016,World,hdpe_prod,hdpe,abs_min,0,MJ/kg
2016,World,hdpe_prod,hdpe,abs_max,inf,MJ/kg
2016,World,hips_prod,hips,def,70,MJ/kg
2016,World,hips_prod,hips,min,70,MJ/kg
2016,World,hips_prod,hips,max,70,MJ/kg
2016,World,hips_prod,hips,abs_min,0,MJ/kg
2016,World,hips_prod,hips,abs_max,inf,MJ/kg
2016,World,ldpe_prod,ldpe,def,73,MJ/kg
2016,World,ldpe_prod,ldpe,min,73,MJ/kg
2016,World,ldpe_prod,ldpe,max,73,MJ/kg
2016,World,ldpe_prod,ldpe,abs_min,0,MJ/kg
2016,World,ldpe_prod,ldpe,abs_max,inf,MJ/kg
2016,World,pc_prod,pc,min,107,MJ/kg
2016,World,pc_prod,pc,max,107,MJ/kg
2016,World,pc_prod,pc,abs_min,0,MJ/kg
2016,World,pc_prod,pc,abs_max,inf,MJ/kg
2016,World,pvc_prod,pvc,def,53,MJ/kg
2016,World,pvc_prod,pvc,min,53,MJ/kg
2016,World,pvc_prod,pvc,max,53,MJ/kg
2016,World,pvc_prod,pvc,abs_min,0,MJ/kg
2016,World,pvc_prod,pvc,abs_max,inf,MJ/kg
2016,World,pc_prod,pc,def,107,MJ/kg
2016,World,pa66_prod,pa66,def,,MJ/kg
2016,EUR,eps_prod,eps,def,70,MJ/kg
2016,EUR,eps_prod,eps,min,70,MJ/kg
2016,EUR,eps_prod,eps,max,70,MJ/kg
2016,EUR,eps_prod,eps,abs_min,0,MJ/kg
2016,EUR,eps_prod,eps,abs_max,inf,MJ/kg
2016,EUR,gpps_prod,gpps,def,70,MJ/kg
2016,EUR,gpps_prod,gpps,min,70,MJ/kg
2016,EUR,gpps_prod,gpps,max,70,MJ/kg
2016,EUR,gpps_prod,gpps,abs_min,0,MJ/kg
2016,EUR,gpps_prod,gpps,abs_max,inf,MJ/kg
2016,EUR,hdpe_prod,hdpe,def,73,MJ/kg
2016,EUR,hdpe_prod,hdpe,min,73,MJ/kg
2016,EUR,hdpe_prod,hdpe,max,73,MJ/kg
2016,EUR,hdpe_prod,hdpe,abs_min,0,MJ/kg
2016,EUR,hdpe_prod,hdpe,abs_max,inf,MJ/kg
2016,EUR,hips_prod,hips,def,70,MJ/kg
2016,EUR,hips_prod,hips,min,70,MJ/kg
2016,EUR,hips_prod,hips,max,70,MJ/kg
2016,EUR,hips_prod,hips,abs_min,0,MJ/kg
2016,EUR,hips_prod,hips,abs_max,inf,MJ/kg
2016,EUR,ldpe_prod,ldpe,def,73,MJ/kg
2016,EUR,ldpe_prod,ldpe,min,73,MJ/kg
2016,EUR,ldpe_prod,ldpe,max,73,MJ/kg
2016,EUR,ldpe_prod,ldpe,abs_min,0,MJ/kg
2016,EUR,ldpe_prod,ldpe,abs_max,inf,MJ/kg
2016,EUR,pc_prod,pc,min,107,MJ/kg
2016,EUR,pc_prod,pc,max,107,MJ/kg
2016,EUR,pc_prod,pc,abs_min,0,MJ/kg
2016,EUR,pc_prod,pc,abs_max,inf,MJ/kg
2016,EUR,pvc_prod,pvc,def,53,MJ/kg
2016,EUR,pvc_prod,pvc,min,53,MJ/kg
2016,EUR,pvc_prod,pvc,max,53,MJ/kg
2016,EUR,pvc_prod,pvc,abs_min,0,MJ/kg
2016,EUR,pvc_prod,pvc,abs_max,inf,MJ/kg
2016,EUR,pc_prod,pc,def,107,MJ/kg
2016,EUR,pa66_prod,pa66,def,,MJ/kg
