Gene,C,Z,Pval,FDR,Module
ENSG00000171105,0.15074560824810204,5210.371434587326,0.0,0.0,3.0
ENSG00000160472,0.6318987087372351,3866.1907951508856,0.0,0.0,1.0
ENSG00000003436,0.3343037155848478,3721.4456148396816,0.0,0.0,-1.0
ENSG00000179902,0.5858165129789731,2823.2040873105893,0.0,0.0,1.0
ENSG00000164972,0.4711801609818567,2801.9024668123557,0.0,0.0,1.0
ENSG00000243910,0.5047858640215375,2742.867183996464,0.0,0.0,1.0
ENSG00000188817,0.5850098646626574,2507.4492521605216,0.0,0.0,1.0
ENSG00000183644,0.3956017799327116,2460.1186550555044,0.0,0.0,1.0
ENSG00000124237,0.5608347312016055,2315.3576751987734,0.0,0.0,1.0
ENSG00000171209,0.277954077099884,2134.5439562610277,0.0,0.0,31.0
ENSG00000112297,0.5903158947948407,1872.6975212329185,0.0,0.0,14.0
ENSG00000139352,0.594894416185267,1853.5461851781229,0.0,0.0,4.0
ENSG00000168209,0.4235010289804902,1778.5019686611327,0.0,0.0,6.0
ENSG00000115461,0.3247336214336141,1771.0959508797127,0.0,0.0,3.0
ENSG00000170367,0.2765850111674559,1742.931003667781,0.0,0.0,34.0
ENSG00000186973,0.5140698336475097,1600.792394000514,0.0,0.0,1.0
ENSG00000272398,0.7049727526287259,1585.7442202608156,0.0,0.0,14.0
ENSG00000110484,0.562660804509327,1554.6087934553273,0.0,0.0,21.0
ENSG00000159713,0.47257383529163205,1490.0251704940158,0.0,0.0,1.0
ENSG00000123610,0.34489256103022886,1454.9236796835296,0.0,0.0,6.0
ENSG00000167858,0.3228158270307377,1404.5673597540122,0.0,0.0,1.0
ENSG00000162004,0.479916261791425,1397.4323522651505,0.0,0.0,1.0
ENSG00000170345,0.5523043168071619,1393.1086040453806,0.0,0.0,3.0
ENSG00000121769,0.2399588563649861,1375.2788399672077,0.0,0.0,17.0
ENSG00000163435,0.4680276075919071,1330.538084666414,0.0,0.0,3.0
ENSG00000126861,0.24545563325943773,1329.113353191247,0.0,0.0,1.0
ENSG00000159212,0.33091636613337355,1318.979340008664,0.0,0.0,37.0
ENSG00000251562,0.4173347711972969,1286.305452129443,0.0,0.0,10.0
ENSG00000166803,0.5858716751724334,1204.2711899416,0.0,0.0,5.0
ENSG00000120694,0.40506843537089904,1202.546116143244,0.0,0.0,3.0
ENSG00000104763,0.4190095397228851,1199.0864769850045,0.0,0.0,4.0
ENSG00000153002,0.32659832648383424,1164.228157599527,0.0,0.0,4.0
ENSG00000164919,0.5726546633528325,1156.4761158353338,0.0,0.0,4.0
ENSG00000159388,0.5293926095485124,1116.9624272273554,0.0,0.0,3.0
ENSG00000142875,0.4455483459174302,1114.9383504646435,0.0,0.0,4.0
ENSG00000143248,0.6500650800681679,1078.2773939432066,0.0,0.0,15.0
ENSG00000148513,0.3598319492664085,1071.5061037634255,0.0,0.0,10.0
ENSG00000106211,0.38351211450462697,1069.7300141989012,0.0,0.0,3.0
ENSG00000147485,0.38964106122799574,1062.6829654549495,0.0,0.0,28.0
ENSG00000148671,0.3911649582600893,1062.3009678357528,0.0,0.0,17.0
ENSG00000175356,0.5186246415649989,1036.233664421777,0.0,0.0,15.0
ENSG00000091831,0.5069130543272202,1035.241698902985,0.0,0.0,10.0
ENSG00000171223,0.5398407924260777,1027.5330900743006,0.0,0.0,3.0
ENSG00000128016,0.5703037643173339,1011.6707537945442,0.0,0.0,3.0
ENSG00000114315,0.2717953900902848,1009.9556367246116,0.0,0.0,3.0
ENSG00000003989,0.422409241432199,983.660198518113,0.0,0.0,4.0
ENSG00000160789,0.44112945392200736,982.8520318717308,0.0,0.0,3.0
ENSG00000099860,0.3580234182241289,975.1344601004122,0.0,0.0,3.0
ENSG00000120251,0.3612237723935371,963.7131688659734,0.0,0.0,4.0
ENSG00000187492,0.31845133463005404,959.1500546427836,0.0,0.0,1.0
ENSG00000177606,0.5228446428763047,955.574668913132,0.0,0.0,3.0
ENSG00000123358,0.4496899486924745,955.3154717460471,0.0,0.0,3.0
ENSG00000196405,0.44261119024563145,940.2940414049723,0.0,0.0,4.0
ENSG00000160888,0.47533665385723384,933.9148847259427,0.0,0.0,3.0
ENSG00000172236,0.19646153831622484,933.5809868592665,0.0,0.0,17.0
ENSG00000109424,0.20701794669857979,929.3576548860078,0.0,0.0,10.0
ENSG00000162772,0.4735131846785489,928.0621389118553,0.0,0.0,3.0
ENSG00000203650,0.37542933005795986,917.5626842058623,0.0,0.0,14.0
ENSG00000143384,0.36935940057425626,900.8897123588091,0.0,0.0,3.0
ENSG00000166927,0.3566403221341527,900.2907031038549,0.0,0.0,10.0
ENSG00000186847,0.35587651036512946,899.5627919553685,0.0,0.0,6.0
ENSG00000105011,0.49713446128943206,880.0059817951261,0.0,0.0,5.0
ENSG00000170419,0.24283554309608635,860.5827645634675,0.0,0.0,17.0
ENSG00000160213,0.4335473971019795,858.3039564835689,0.0,0.0,6.0
ENSG00000120738,0.43706904144223346,853.1042203076922,0.0,0.0,3.0
ENSG00000178381,0.27089045863504146,849.952918908335,0.0,0.0,3.0
ENSG00000075886,0.2097854624451348,846.6888738989718,0.0,0.0,17.0
ENSG00000125968,0.25214805961907427,845.5059303032438,0.0,0.0,6.0
ENSG00000169242,0.3286156242283791,830.2798445369883,0.0,0.0,3.0
ENSG00000100362,0.2404475369919192,824.5332421562099,0.0,0.0,17.0
ENSG00000188001,0.3058327774598835,801.3846346082063,0.0,0.0,4.0
ENSG00000189334,0.4470633941056967,799.2867724300977,0.0,0.0,21.0
ENSG00000108821,0.2586654430230339,792.7977962127444,0.0,0.0,37.0
ENSG00000124479,0.222635089832107,790.4454572399192,0.0,0.0,17.0
ENSG00000206075,0.3757406397180137,784.1188069927861,0.0,0.0,6.0
ENSG00000113739,0.36014435926032123,782.3211618403305,0.0,0.0,10.0
ENSG00000205542,0.418384444874243,781.7548122364221,0.0,0.0,37.0
ENSG00000120129,0.4069616436681484,778.653189096203,0.0,0.0,3.0
ENSG00000164929,0.41024307952147987,777.527793757752,0.0,0.0,8.0
ENSG00000176601,0.2993839505138562,765.6942518060996,0.0,0.0,1.0
ENSG00000171428,0.36279174615781334,751.6311114733696,0.0,0.0,4.0
ENSG00000130522,0.36361123001991197,747.367173314792,0.0,0.0,3.0
ENSG00000124171,0.30502657415871076,745.6875637662865,0.0,0.0,3.0
ENSG00000164104,0.612105421863688,740.9968737478473,0.0,0.0,2.0
ENSG00000229807,0.32906844280014386,732.9449833113589,0.0,0.0,27.0
ENSG00000205358,0.36598336980727014,726.3002878137282,0.0,0.0,32.0
ENSG00000109436,0.3428948207236227,722.1296913153793,0.0,0.0,10.0
ENSG00000182718,0.5082846852118603,720.7235380263426,0.0,0.0,6.0
ENSG00000124935,0.4084815413598515,719.3679465280392,0.0,0.0,21.0
ENSG00000186377,0.32782395415867044,719.304371410168,0.0,0.0,15.0
ENSG00000189143,0.4476291068466168,716.840272450757,0.0,0.0,3.0
ENSG00000104140,0.3051140748735227,712.5704042722208,0.0,0.0,6.0
ENSG00000204388,0.3569411534455268,711.9721880064013,0.0,0.0,3.0
ENSG00000142973,0.27285008168168395,710.0818715476717,0.0,0.0,10.0
ENSG00000135549,0.37296139380385457,708.343446913603,0.0,0.0,4.0
ENSG00000240671,0.15982610432775415,707.9398433602448,0.0,0.0,31.0
ENSG00000128536,0.3264295759999025,704.3105556533471,0.0,0.0,4.0
ENSG00000166920,0.23482785331867043,703.6245701600257,0.0,0.0,15.0
ENSG00000245532,0.3878986981023623,702.5233003527384,0.0,0.0,28.0
ENSG00000132329,0.3827499730212912,691.2694139099506,0.0,0.0,8.0
ENSG00000139194,0.23981254117884185,689.4764092860994,0.0,0.0,25.0
ENSG00000132002,0.4246686652320972,687.1895414050437,0.0,0.0,3.0
ENSG00000103490,0.3090108045242061,686.8232067785254,0.0,0.0,21.0
ENSG00000133083,0.3478629219594268,685.2209810869302,0.0,0.0,4.0
ENSG00000105697,0.1044870255427719,681.5418146651454,0.0,0.0,3.0
ENSG00000183844,0.3809012104281639,681.2585398213874,0.0,0.0,4.0
ENSG00000197253,0.1784504389802932,680.1070256476452,0.0,0.0,17.0
ENSG00000103534,0.29901444716838754,679.0498261307287,0.0,0.0,14.0
ENSG00000138696,0.2552225308159988,676.2648347671153,0.0,0.0,21.0
ENSG00000176890,0.5733320400069055,676.0661872502665,0.0,0.0,5.0
ENSG00000205420,0.38243335311027854,672.4333382609447,0.0,0.0,6.0
ENSG00000197057,0.2318020898509527,668.7488864783263,0.0,0.0,1.0
ENSG00000170091,0.37246466438965586,667.3080946021507,0.0,0.0,8.0
ENSG00000166006,0.33702304382897136,667.1775184632346,0.0,0.0,4.0
ENSG00000204389,0.3653998994113862,666.9080980663621,0.0,0.0,3.0
ENSG00000134202,0.45019923239992027,666.5179194044326,0.0,0.0,8.0
ENSG00000104368,0.2553398170584773,665.9807617615321,0.0,0.0,4.0
ENSG00000117632,0.626664508841596,665.2010675278842,0.0,0.0,5.0
ENSG00000150687,0.5116618447771698,663.6614070809969,0.0,0.0,15.0
ENSG00000196230,0.553902647631995,661.9757140573283,0.0,0.0,5.0
ENSG00000161249,0.287087789774882,656.5804416440855,0.0,0.0,6.0
ENSG00000075223,0.2721415460802819,656.4557067715554,0.0,0.0,10.0
ENSG00000163331,0.36994798912022375,652.0373253355259,0.0,0.0,15.0
ENSG00000211934,0.10791014772012428,650.9976262235106,0.0,0.0,31.0
ENSG00000164692,0.21805791817566192,650.6551785338346,0.0,0.0,37.0
ENSG00000082175,0.28287166278584547,650.4817561584878,0.0,0.0,10.0
ENSG00000228723,0.21710798044707388,648.1395941371547,0.0,0.0,1.0
ENSG00000188833,0.33830530868227515,647.8066559949161,0.0,0.0,4.0
ENSG00000185650,0.32093776442372507,646.5634254566502,0.0,0.0,3.0
ENSG00000164611,0.6297357837164145,646.0043380958606,0.0,0.0,2.0
ENSG00000100906,0.34992179191374645,645.2023314685438,0.0,0.0,3.0
ENSG00000185499,0.336757231552764,644.1199133619191,0.0,0.0,10.0
ENSG00000081479,0.2962146552670031,641.9378243268267,0.0,0.0,4.0
ENSG00000243449,0.3136827345750486,635.2258361399608,0.0,0.0,17.0
ENSG00000130513,0.17438360743973344,635.0777293896457,0.0,0.0,3.0
ENSG00000134107,0.29905860764992115,629.1275058690983,0.0,0.0,3.0
ENSG00000173193,0.35948490882600276,627.4519239910185,0.0,0.0,13.0
ENSG00000184292,0.4024791271815538,622.8903673709614,0.0,0.0,6.0
ENSG00000169064,0.2350403910292071,620.5795872600155,0.0,0.0,1.0
ENSG00000167996,0.4004676164742397,618.3399150546805,0.0,0.0,34.0
ENSG00000034510,0.4518607168847402,614.2947197391132,0.0,0.0,20.0
ENSG00000143369,0.30113980348436137,614.2636858780329,0.0,0.0,4.0
ENSG00000166710,0.5972147902690401,613.2031674118617,0.0,0.0,13.0
ENSG00000159763,0.30035625385660863,612.9932946135287,0.0,0.0,21.0
ENSG00000206560,0.20594906927127934,609.5789604600717,0.0,0.0,10.0
ENSG00000008988,0.5208041370334477,608.9453468001354,0.0,0.0,32.0
ENSG00000158164,0.4029902327988524,608.686148029993,0.0,0.0,14.0
ENSG00000204103,0.24032151994335763,607.1882484219395,0.0,0.0,6.0
ENSG00000159461,0.23839163959018425,601.8689769644045,0.0,0.0,10.0
ENSG00000250722,0.36944843638767205,601.6326412840859,0.0,0.0,14.0
ENSG00000196924,0.40322307493612347,597.9088256599871,0.0,0.0,20.0
ENSG00000149212,0.2852692274625224,596.7247585119721,0.0,0.0,4.0
ENSG00000122952,0.4964998556290581,594.3230326576911,0.0,0.0,5.0
ENSG00000071967,0.31726079899804993,593.5767840447236,0.0,0.0,15.0
ENSG00000140287,0.2144754572290293,593.1986458557219,0.0,0.0,4.0
ENSG00000116717,0.29852653058089457,592.4458120733611,0.0,0.0,6.0
ENSG00000109205,0.18372846847277913,591.3720233134494,0.0,0.0,31.0
ENSG00000171848,0.5300512428639907,590.8955720610061,0.0,0.0,5.0
ENSG00000173467,0.3844049976385058,590.5225282767447,0.0,0.0,15.0
ENSG00000124939,0.24024953847339206,589.4833605668543,0.0,0.0,21.0
ENSG00000125740,0.48053680652656394,588.3871195964058,0.0,0.0,3.0
ENSG00000152253,0.4161165632593859,585.9109546493887,0.0,0.0,5.0
ENSG00000162989,0.261465820808489,583.4839627406305,0.0,0.0,4.0
ENSG00000150667,0.3121976714062911,583.2615122487819,0.0,0.0,4.0
ENSG00000123416,0.6467487521547166,580.8628539201852,0.0,0.0,5.0
ENSG00000215217,0.3124062387161462,579.6300420923393,0.0,0.0,1.0
ENSG00000188931,0.2645960504742361,578.7531712252975,0.0,0.0,1.0
ENSG00000145824,0.21496793419907528,576.5658849853165,0.0,0.0,4.0
ENSG00000197747,0.5163571109891687,575.6686345015914,0.0,0.0,20.0
ENSG00000233041,0.4915880325078997,574.4668373813524,0.0,0.0,4.0
ENSG00000105519,0.306419297954324,567.5881513387912,0.0,0.0,1.0
ENSG00000197977,0.27153748791364185,567.4447393326697,0.0,0.0,24.0
ENSG00000197061,0.5210934770521846,566.8761768038961,0.0,0.0,5.0
ENSG00000125999,0.4009473016360327,562.9416129564079,0.0,0.0,8.0
ENSG00000152661,0.299265069028164,562.1099760811271,0.0,0.0,10.0
ENSG00000187608,0.3160894957047111,560.4332435595003,0.0,0.0,13.0
ENSG00000141736,0.3865433750181741,557.0871956325797,0.0,0.0,18.0
ENSG00000156011,0.261469848419822,555.8931190837258,0.0,0.0,4.0
ENSG00000171345,0.4585421297592025,555.6262517735934,0.0,0.0,19.0
ENSG00000120875,0.2879493992670982,553.2498689060046,0.0,0.0,21.0
ENSG00000074800,0.46119308855482827,550.974859880192,0.0,0.0,22.0
ENSG00000175063,0.5427606990464805,550.8939428592502,0.0,0.0,2.0
ENSG00000126709,0.42357404996864345,549.2230940922148,0.0,0.0,13.0
ENSG00000134352,0.31859060673586126,548.4782825586667,0.0,0.0,10.0
ENSG00000012660,0.31044647323464963,548.0717966168417,0.0,0.0,15.0
ENSG00000170540,0.3686567128030349,545.9646534730284,0.0,0.0,2.0
ENSG00000111716,0.6165511544193142,545.535707441378,0.0,0.0,26.0
ENSG00000185479,0.38795039380646734,544.7179664726359,0.0,0.0,6.0
ENSG00000087074,0.36363428133144354,544.3045901741738,0.0,0.0,3.0
ENSG00000137959,0.34589030202738946,544.0026436567728,0.0,0.0,13.0
ENSG00000144802,0.25545515533854946,537.8916031786417,0.0,0.0,4.0
ENSG00000165092,0.3330024814055335,533.2663000386495,0.0,0.0,29.0
ENSG00000178935,0.26314398475657536,532.5023405104769,0.0,0.0,10.0
ENSG00000102265,0.4016447297967226,530.4531783093493,0.0,0.0,15.0
ENSG00000152049,0.22017174936990297,529.9981420833606,0.0,0.0,34.0
ENSG00000170312,0.5257541404669385,529.7091780849013,0.0,0.0,5.0
ENSG00000100526,0.5228306721223215,529.7083388643913,0.0,0.0,2.0
ENSG00000147889,0.4173482409384878,529.2821478487703,0.0,0.0,6.0
ENSG00000138434,0.2383250385489633,525.1696691398681,0.0,0.0,21.0
ENSG00000185022,0.3100150921803052,521.4609473850046,0.0,0.0,3.0
ENSG00000135679,0.22964334642210843,519.0957233617387,0.0,0.0,34.0
ENSG00000170369,0.09300882806145944,514.525730096524,0.0,0.0,34.0
ENSG00000157456,0.5368008088379922,513.8040629403388,0.0,0.0,2.0
ENSG00000141232,0.287481108732866,513.0374681277001,0.0,0.0,3.0
ENSG00000117399,0.5329659392150784,512.7982234971714,0.0,0.0,2.0
ENSG00000114115,0.24686475777738243,510.98681450701423,0.0,0.0,-1.0
ENSG00000115844,0.24070237897002014,510.7376638465004,0.0,0.0,15.0
ENSG00000163659,0.26085649436158903,510.44920169154875,0.0,0.0,3.0
ENSG00000133317,0.35727502428684993,509.9600685477827,0.0,0.0,14.0
ENSG00000122877,0.22908649304516612,509.2414253660019,0.0,0.0,3.0
ENSG00000157303,0.27579679306848637,508.928913531381,0.0,0.0,17.0
ENSG00000139318,0.3575251748262294,508.1380953297976,0.0,0.0,18.0
ENSG00000116176,0.2585047726161746,507.46018000414426,0.0,0.0,8.0
ENSG00000174156,0.3136839711319534,505.78033237966207,0.0,0.0,8.0
ENSG00000153234,0.26141253694781746,504.91898697502114,0.0,0.0,3.0
ENSG00000163191,0.44746357820027904,504.53444520319385,0.0,0.0,20.0
ENSG00000165731,0.310896250791018,503.66187135303045,0.0,0.0,4.0
ENSG00000137804,0.5551790019770386,503.3829570654744,0.0,0.0,2.0
ENSG00000205209,0.3371125828639421,502.0272691641958,0.0,0.0,18.0
ENSG00000105219,0.3619301816632311,499.45644413482285,0.0,0.0,4.0
ENSG00000229453,0.39401389034178597,498.33012223619613,0.0,0.0,24.0
ENSG00000100162,0.4131381266900238,495.81375971175,0.0,0.0,5.0
ENSG00000168675,0.222254711773428,495.31875266811295,0.0,0.0,4.0
ENSG00000197261,0.26294743177252144,492.4767767972294,0.0,0.0,8.0
ENSG00000131981,0.4298585195700129,491.6505746702592,0.0,0.0,20.0
ENSG00000128422,0.36093023237093735,488.90296378787605,0.0,0.0,6.0
ENSG00000138449,0.23991727526101853,487.10043513403133,0.0,0.0,15.0
ENSG00000206503,0.487309136795734,486.83851849202154,0.0,0.0,13.0
ENSG00000143194,0.25143012820387395,486.4137752307326,0.0,0.0,14.0
ENSG00000105640,0.53641643093448,484.2823337929576,0.0,0.0,32.0
ENSG00000112996,0.339644748760015,483.60734350987536,0.0,0.0,4.0
ENSG00000130222,0.19386379865058234,482.3612487738003,0.0,0.0,3.0
ENSG00000163040,0.17049668525029593,481.6010956675343,0.0,0.0,17.0
ENSG00000115641,0.22454020374088457,481.47602972597986,0.0,0.0,3.0
ENSG00000141744,0.1549774886602128,481.44124956524564,0.0,0.0,27.0
ENSG00000165949,0.383869563820857,479.376927674672,0.0,0.0,13.0
ENSG00000069849,0.31412813094035347,479.1327687654575,0.0,0.0,6.0
ENSG00000229344,0.39661905989865875,478.93315526684995,0.0,0.0,27.0
ENSG00000013588,0.3047198476863016,478.82290321411745,0.0,0.0,3.0
ENSG00000154640,0.3558345851754844,476.3636186128449,0.0,0.0,6.0
ENSG00000234745,0.4732039476353798,476.06343575165835,0.0,0.0,13.0
ENSG00000064651,0.20969210498453425,475.9059021075115,0.0,0.0,27.0
ENSG00000134184,0.3248483284207362,475.5112920372457,0.0,0.0,4.0
ENSG00000196352,0.27784357636753926,473.83141774743336,0.0,0.0,3.0
ENSG00000089685,0.5889404896882466,473.432890543516,0.0,0.0,2.0
ENSG00000106541,0.3536966717837753,473.0322752036522,0.0,0.0,15.0
ENSG00000184956,0.2616166557541066,472.4694682824668,0.0,0.0,10.0
ENSG00000211899,0.293934040523632,471.6019014081713,0.0,0.0,18.0
ENSG00000180730,0.16590625759387453,470.61424611452844,0.0,0.0,10.0
ENSG00000100003,0.2563747591049807,470.5649104730538,0.0,0.0,10.0
ENSG00000211689,0.31987380892485584,470.4913555222957,0.0,0.0,24.0
ENSG00000130066,0.3475587638220444,469.9997595605711,0.0,0.0,6.0
ENSG00000186710,0.2571288554854559,469.5154050008355,0.0,0.0,1.0
ENSG00000164403,0.2105045612961229,469.5087717180521,0.0,0.0,21.0
ENSG00000109814,0.2300079927017434,469.3768694247296,0.0,0.0,15.0
ENSG00000183569,0.5268726875339464,467.17133686720797,0.0,0.0,24.0
ENSG00000197019,0.25381536628825596,467.0762093527114,0.0,0.0,3.0
ENSG00000101439,0.3879284083044578,467.07376420214007,0.0,0.0,8.0
ENSG00000134057,0.5612893353340768,466.14474808443407,0.0,0.0,2.0
ENSG00000038427,0.3042609832431363,465.25369865735263,0.0,0.0,29.0
ENSG00000096006,0.37946671588632175,460.61433439847775,0.0,0.0,15.0
ENSG00000138180,0.3750960384646383,460.60086864391633,0.0,0.0,2.0
ENSG00000074410,0.2919903720658008,460.31061413646205,0.0,0.0,10.0
ENSG00000176046,0.27776584561948003,459.9120079477258,0.0,0.0,8.0
ENSG00000151892,0.29832350925075307,459.75495990969944,0.0,0.0,10.0
ENSG00000168350,0.26396709883448866,458.56027175683386,0.0,0.0,15.0
ENSG00000131747,0.601737966781244,458.4021605856808,0.0,0.0,2.0
ENSG00000162482,0.36722801207187433,457.93739390170407,0.0,0.0,4.0
ENSG00000108551,0.2237586206788038,457.3389198307959,0.0,0.0,3.0
ENSG00000126890,0.31246591486112174,456.63541068016934,0.0,0.0,14.0
ENSG00000139910,0.2420287044159388,456.42761969765183,0.0,0.0,4.0
ENSG00000132639,0.32415781049749753,456.3840492208351,0.0,0.0,8.0
ENSG00000142102,0.2398886320075758,456.02350372877044,0.0,0.0,28.0
ENSG00000139970,0.2960896611089745,455.71927559298666,0.0,0.0,15.0
ENSG00000129521,0.30786165907860247,455.49231558560393,0.0,0.0,22.0
