Gene,C,Z,Pval,FDR,Module
ENSG00000204305,0.7340929106892716,14155.324414777824,0.0,0.0,3.0
ENSG00000182010,0.607099076832738,5576.551925339356,0.0,0.0,3.0
ENSG00000124237,0.5483659265571263,4730.8437231366715,0.0,0.0,1.0
ENSG00000159713,0.6856878245626603,3869.8937894345477,0.0,0.0,1.0
ENSG00000168484,0.7981008148983606,3204.1258987390047,0.0,0.0,5.0
ENSG00000183644,0.4472688961926809,3150.8357617680635,0.0,0.0,1.0
ENSG00000164972,0.5685466472789859,3094.8569200480997,0.0,0.0,1.0
ENSG00000179902,0.5190539183557051,3048.8872411153225,0.0,0.0,1.0
ENSG00000105519,0.8204524909516114,2828.4865520830167,0.0,0.0,1.0
ENSG00000213853,0.6892340410724481,2809.5551744771824,0.0,0.0,3.0
ENSG00000119147,0.29774572474271793,2731.1869164837344,0.0,0.0,1.0
ENSG00000186973,0.7524664481897161,2636.9643116642605,0.0,0.0,1.0
ENSG00000105974,0.7124994596792028,2476.403601746355,0.0,0.0,3.0
ENSG00000188817,0.76516615665977,2456.1806728017223,0.0,0.0,1.0
ENSG00000154099,0.6946525443095132,2375.3162654165894,0.0,0.0,1.0
ENSG00000179813,0.7119450764679466,2352.451721492274,0.0,0.0,1.0
ENSG00000153789,0.6667809277219617,2291.9955147470537,0.0,0.0,1.0
ENSG00000185681,0.6978598481204391,2273.0873527245235,0.0,0.0,1.0
ENSG00000152611,0.7173996775249724,2244.8235126804543,0.0,0.0,1.0
ENSG00000162004,0.7824470100862551,2129.589793190616,0.0,0.0,1.0
ENSG00000160188,0.8238441324883471,2127.4268761676044,0.0,0.0,1.0
ENSG00000168589,0.6072340916251078,1987.4530976574906,0.0,0.0,1.0
ENSG00000174898,0.6284793403397209,1985.9461362463478,0.0,0.0,1.0
ENSG00000160472,0.6779514689113122,1902.6096669383269,0.0,0.0,1.0
ENSG00000186710,0.652986398088843,1868.4121859840604,0.0,0.0,1.0
ENSG00000167858,0.6047505470850411,1851.6768576356635,0.0,0.0,1.0
ENSG00000215187,0.5699399533086241,1850.1871115684971,0.0,0.0,1.0
ENSG00000166959,0.6441938529763789,1827.6946188770646,0.0,0.0,1.0
ENSG00000166596,0.5235221598209918,1759.5638671152456,0.0,0.0,1.0
ENSG00000136918,0.6766215456508128,1735.2511878670423,0.0,0.0,1.0
ENSG00000004838,0.7247493601050287,1703.1941132034476,0.0,0.0,1.0
ENSG00000158764,0.36596833869682116,1638.9697994745172,0.0,0.0,3.0
ENSG00000149435,0.4723701994922628,1576.1302085759,0.0,0.0,27.0
ENSG00000174844,0.6639012838721372,1563.195165058794,0.0,0.0,1.0
ENSG00000133640,0.6932610182504744,1522.1929627861282,0.0,0.0,1.0
ENSG00000066405,0.5730395431805142,1518.2651673741452,0.0,0.0,3.0
ENSG00000141294,0.6414835402161287,1485.6211722717196,0.0,0.0,1.0
ENSG00000243910,0.623443810849836,1485.147418323282,0.0,0.0,1.0
ENSG00000145491,0.7053630717862506,1479.3030830334817,0.0,0.0,1.0
ENSG00000197057,0.601406702439474,1432.2958612978991,0.0,0.0,1.0
ENSG00000176771,0.462001816108663,1422.6298819884862,0.0,0.0,3.0
ENSG00000133115,0.5172139939828025,1420.4671843903247,0.0,0.0,1.0
ENSG00000120262,0.6788728023328443,1409.7748583598461,0.0,0.0,1.0
ENSG00000170890,0.40367815461288964,1363.09340875265,0.0,0.0,27.0
ENSG00000160401,0.5843511819324688,1357.3799124593468,0.0,0.0,1.0
ENSG00000203985,0.6031912889964827,1290.4487805328124,0.0,0.0,1.0
ENSG00000173947,0.6746999961313427,1289.9595073284474,0.0,0.0,1.0
ENSG00000126861,0.27137885058370853,1286.8069360697907,0.0,0.0,1.0
ENSG00000159588,0.639967927682474,1284.1219574176164,0.0,0.0,1.0
ENSG00000257057,0.413761946553125,1267.5190281448258,0.0,0.0,1.0
ENSG00000117632,0.6713613832535261,1263.1177352680543,0.0,0.0,6.0
ENSG00000154080,0.5054652824208239,1260.6391023894062,0.0,0.0,1.0
ENSG00000133665,0.640708905430711,1257.4211254941374,0.0,0.0,1.0
ENSG00000172361,0.6100224456520255,1240.7277816576282,0.0,0.0,1.0
ENSG00000178965,0.6310035967252866,1240.582637955866,0.0,0.0,1.0
ENSG00000230062,0.5177036357364194,1217.1634619067552,0.0,0.0,1.0
ENSG00000159763,0.3304998580688878,1206.5331647339576,0.0,0.0,11.0
ENSG00000135205,0.6570186176152755,1203.4649364746126,0.0,0.0,1.0
ENSG00000172426,0.5890931068794315,1196.0706890977283,0.0,0.0,1.0
ENSG00000169064,0.5030469434951085,1194.387019064975,0.0,0.0,1.0
ENSG00000182667,0.4375553517948669,1169.0289720173857,0.0,0.0,3.0
ENSG00000197748,0.612145278364262,1161.315228922965,0.0,0.0,1.0
ENSG00000007174,0.6247804138117721,1159.397579906408,0.0,0.0,1.0
ENSG00000077327,0.5961346938207132,1154.2684450036875,0.0,0.0,1.0
ENSG00000188523,0.5249728507439132,1101.7011214235401,0.0,0.0,1.0
ENSG00000187492,0.4754262837285192,1074.5943656884576,0.0,0.0,1.0
ENSG00000188931,0.5549374858755369,1069.6230035168123,0.0,0.0,1.0
ENSG00000034239,0.6279482731801569,1067.341790753505,0.0,0.0,1.0
ENSG00000171962,0.5902651283352097,1066.130049124519,0.0,0.0,1.0
ENSG00000039537,0.6046708504770207,1058.9257494575747,0.0,0.0,1.0
ENSG00000188659,0.6275712978256501,1042.5821556493904,0.0,0.0,1.0
ENSG00000164434,0.4190594272636801,1018.8665225767338,0.0,0.0,6.0
ENSG00000105825,0.5140414333875657,1005.5075457602442,0.0,0.0,20.0
ENSG00000128536,0.5937676835747748,999.98882030887,0.0,0.0,1.0
ENSG00000112530,0.48993052939957615,998.9159986248764,0.0,0.0,1.0
ENSG00000169248,0.39036532579797045,986.2399031763188,0.0,0.0,29.0
ENSG00000155761,0.5475988241529985,931.230692015891,0.0,0.0,1.0
ENSG00000089199,0.19298516278137134,928.556090009584,0.0,0.0,23.0
ENSG00000118849,0.3932970450584312,927.9655933902093,0.0,0.0,29.0
ENSG00000251562,0.4187726746323156,910.4235256150787,0.0,0.0,25.0
ENSG00000118492,0.45376333974616495,900.6655956898435,0.0,0.0,1.0
ENSG00000127920,0.4833311439486575,891.5391632710982,0.0,0.0,20.0
ENSG00000109472,0.44836150794406926,888.7789843397221,0.0,0.0,23.0
ENSG00000176601,0.5150755031313017,876.2973861097355,0.0,0.0,1.0
ENSG00000174501,0.3693813309312004,867.3198459964459,0.0,0.0,13.0
ENSG00000111834,0.5711239326463188,867.2060044239352,0.0,0.0,1.0
ENSG00000186471,0.369310594864645,856.2282991221024,0.0,0.0,1.0
ENSG00000104237,0.4121219877972979,852.6053675558286,0.0,0.0,1.0
ENSG00000019582,0.6312990053887048,837.4631671747487,0.0,0.0,8.0
ENSG00000215182,0.37404761333907793,836.4227997487952,0.0,0.0,11.0
ENSG00000167552,0.48572493329910393,836.0068982489863,0.0,0.0,6.0
ENSG00000156042,0.4939306400909411,833.9285676832731,0.0,0.0,1.0
ENSG00000223865,0.538412363539297,827.2585867895002,0.0,0.0,8.0
ENSG00000157856,0.5235084073440734,827.2268359093271,0.0,0.0,1.0
ENSG00000115758,0.4326581583983187,822.7351307117929,0.0,0.0,15.0
ENSG00000102760,0.31238132374565114,818.8041096135058,0.0,0.0,3.0
ENSG00000235123,0.3820270431593153,817.7399357971045,0.0,0.0,15.0
ENSG00000225383,0.44109761113999,817.0180038857784,0.0,0.0,15.0
ENSG00000120708,0.6548654289236865,800.2486372246507,0.0,0.0,4.0
ENSG00000150625,0.30923874564979975,799.7726598762584,0.0,0.0,3.0
ENSG00000169245,0.3165917301789425,798.1119590887164,0.0,0.0,29.0
ENSG00000178125,0.45187370691520024,798.0405654956772,0.0,0.0,1.0
ENSG00000186329,0.46760356077988013,783.2883151549873,0.0,0.0,1.0
ENSG00000243566,0.3140035489142101,766.5206220450008,0.0,0.0,3.0
ENSG00000245750,0.3380687355841678,762.8732607813298,0.0,0.0,23.0
ENSG00000231738,0.3307511647867501,761.7302327837783,0.0,0.0,1.0
ENSG00000181458,0.4090061554735866,749.1432711537957,0.0,0.0,4.0
ENSG00000107742,0.41203357605295865,739.5759612042473,0.0,0.0,3.0
ENSG00000185269,0.29149140712256577,736.101234970125,0.0,0.0,23.0
ENSG00000119655,0.5509473835495607,733.7174762846869,0.0,0.0,8.0
ENSG00000250510,0.3534833720727959,731.6135118417886,0.0,0.0,1.0
ENSG00000178796,0.3987505100287745,731.4845386155946,0.0,0.0,1.0
ENSG00000196169,0.3272394667711622,730.4704139405634,0.0,0.0,1.0
ENSG00000230873,0.41894814825341353,722.562970462076,0.0,0.0,1.0
ENSG00000158639,0.2636701457224756,720.2414291970543,0.0,0.0,21.0
ENSG00000137285,0.4541264268734659,717.8940654632172,0.0,0.0,6.0
ENSG00000124107,0.5160155958294564,716.4059620841887,0.0,0.0,5.0
ENSG00000206199,0.2870291600822714,697.3814269205337,0.0,0.0,1.0
ENSG00000121966,0.38720540086286004,692.9838764836884,0.0,0.0,6.0
ENSG00000165309,0.5056320877567222,687.8500279953228,0.0,0.0,1.0
ENSG00000147400,0.5155811261601415,682.7772018109962,0.0,0.0,1.0
ENSG00000092850,0.44729043305954985,681.1802408079084,0.0,0.0,1.0
ENSG00000118997,0.47498403028760783,679.1309515132373,0.0,0.0,1.0
ENSG00000231389,0.5382033459891977,675.1054158332572,0.0,0.0,8.0
ENSG00000204287,0.5477738045642487,670.9261969996276,0.0,0.0,8.0
ENSG00000174156,0.30197408501517703,669.9119229755074,0.0,0.0,1.0
ENSG00000123416,0.6539586854305983,665.0557179394249,0.0,0.0,6.0
ENSG00000229807,0.3959359221945644,661.992800874034,0.0,0.0,13.0
ENSG00000197168,0.43104095344445625,661.6964784825165,0.0,0.0,1.0
ENSG00000197653,0.4554230480796944,661.6753719692385,0.0,0.0,1.0
ENSG00000162643,0.47489298069013225,657.3025655742044,0.0,0.0,1.0
ENSG00000124882,0.37068639762594985,651.4020198455356,0.0,0.0,13.0
ENSG00000164687,0.4872566870274812,650.5527952597181,0.0,0.0,5.0
ENSG00000171223,0.45940280612468637,649.4553505487943,0.0,0.0,9.0
ENSG00000166710,0.4856974644659282,647.9657478610432,0.0,0.0,29.0
ENSG00000160888,0.44680826654585243,646.1447768654622,0.0,0.0,9.0
ENSG00000196230,0.5833762697676296,642.261234193358,0.0,0.0,6.0
ENSG00000117228,0.41374811433254094,639.9043186729274,0.0,0.0,6.0
ENSG00000168658,0.35380364399742004,631.4727452274356,0.0,0.0,1.0
ENSG00000203734,0.4783409045355835,631.1080542048604,0.0,0.0,1.0
ENSG00000188396,0.4231646667836722,623.860642571905,0.0,0.0,1.0
ENSG00000189350,0.39672607250202696,620.0762082184136,0.0,0.0,1.0
ENSG00000152076,0.4379678663794006,616.7992183557689,0.0,0.0,1.0
ENSG00000094963,0.295925210540195,615.9788126032003,0.0,0.0,3.0
ENSG00000205542,0.44921277270100074,615.9646902070172,0.0,0.0,25.0
ENSG00000170231,0.44004224660125674,614.4400899590509,0.0,0.0,1.0
ENSG00000197261,0.36770370686898335,610.8129799277332,0.0,0.0,6.0
ENSG00000142973,0.4295052870020509,609.5314910366835,0.0,0.0,3.0
ENSG00000189058,0.33866587956282107,605.3738984809274,0.0,0.0,8.0
ENSG00000125740,0.5575315812006005,603.9200039454417,0.0,0.0,9.0
ENSG00000132554,0.3479835421802429,601.1179072612754,0.0,0.0,1.0
ENSG00000169126,0.48839906140528194,599.6854712836629,0.0,0.0,1.0
ENSG00000114854,0.35136071814889575,599.6178361028393,0.0,0.0,3.0
ENSG00000104760,0.41345383944822967,598.8490507964232,0.0,0.0,23.0
ENSG00000176153,0.4778016721475438,596.7482191465106,0.0,0.0,11.0
ENSG00000116774,0.3805400773190171,593.4955539080304,0.0,0.0,20.0
ENSG00000134020,0.49515162863841056,589.7616135878231,0.0,0.0,5.0
ENSG00000124939,0.3548462820882794,589.0522091315321,0.0,0.0,30.0
ENSG00000137473,0.4095947941553755,587.9675061964464,0.0,0.0,1.0
ENSG00000117472,0.49797058388031396,587.9139353063806,0.0,0.0,1.0
ENSG00000137098,0.3652421508744743,586.6231586938749,0.0,0.0,1.0
ENSG00000137804,0.5177180916943025,584.3917144554127,0.0,0.0,2.0
ENSG00000138821,0.42046028577749744,575.7330848436461,0.0,0.0,3.0
