year,region,income_class,property,value,unit
2006,NG,rural,def,0.52,cap/cap
2006,NG,urban-high,def,0.1,cap/cap
2006,NG,urban-low,def,0.38,cap/cap
2006,EG,rural,def,0.57,cap/cap
2006,EG,urban-high,def,0.09,cap/cap
2006,EG,urban-low,def,0.34,cap/cap
2006,KE,rural,def,0.62,cap/cap
2006,KE,urban-high,def,0.08,cap/cap
2006,KE,urban-low,def,0.3,cap/cap
2006,ZA,rural,def,0.39,cap/cap
2006,ZA,urban-high,def,0.12,cap/cap
2006,ZA,urban-low,def,0.49,cap/cap
2006,CN,rural,def,0.59,cap/cap
2006,CN,urban-high,def,0.12,cap/cap
2006,CN,urban-low,def,0.29,cap/cap
2006,IN,rural,def,0.71,cap/cap
2006,IN,urban-high,def,0.06,cap/cap
2006,IN,urban-low,def,0.23,cap/cap
2006,ID,rural,def,0.54,cap/cap
2006,ID,urban-high,def,0.12,cap/cap
2006,ID,urban-low,def,0.34,cap/cap
2006,PK,rural,def,0.65,cap/cap
2006,PK,urban-high,def,0.07,cap/cap
2006,PK,urban-low,def,0.28,cap/cap
2006,BD,rural,def,0.72,cap/cap
2006,BD,urban-high,def,0.06,cap/cap
2006,BD,urban-low,def,0.22,cap/cap
2006,JP,rural,def,0.2,cap/cap
2006,JP,urban-high,def,0.8,cap/cap
2006,JP,urban-low,def,0.0,cap/cap
2006,RU,rural,def,0.27,cap/cap
2006,RU,urban-high,def,0.73,cap/cap
2006,DE,rural,def,0.06,cap/cap
2006,DE,urban-high,def,0.94,cap/cap
2006,GB,rural,def,0.1,cap/cap
2006,GB,urban-high,def,0.9,cap/cap
2006,FR,rural,def,0.24,cap/cap
2006,FR,urban-high,def,0.76,cap/cap
2006,IT,rural,def,0.32,cap/cap
2006,IT,urban-high,def,0.68,cap/cap
2006,US,rural,def,0.22,cap/cap
2006,US,urban-high,def,0.78,cap/cap
2006,CA,rural,def,0.2,cap/cap
2006,CA,urban-high,def,0.8,cap/cap
2006,BR,rural,def,0.16,cap/cap
2006,BR,urban-high,def,0.25,cap/cap
2006,BR,urban-low,def,0.59,cap/cap
2006,MX,rural,def,0.25,cap/cap
2006,MX,urban-high,def,0.19,cap/cap
2006,MX,urban-low,def,0.56,cap/cap
2006,AU,rural,def,0.08,cap/cap
2006,AU,urban-high,def,0.92,cap/cap
2006,NZ,rural,def,0.08,cap/cap
2006,NZ,urban-high,def,0.92,cap/cap
2006,NG,rural,min,0.442,cap/cap
2006,NG,urban-high,min,0.085,cap/cap
2006,NG,urban-low,min,0.323,cap/cap
2006,EG,rural,min,0.4845,cap/cap
2006,EG,urban-high,min,0.0765,cap/cap
2006,EG,urban-low,min,0.289,cap/cap
2006,KE,rural,min,0.527,cap/cap
2006,KE,urban-high,min,0.068,cap/cap
2006,KE,urban-low,min,0.255,cap/cap
2006,ZA,rural,min,0.3315,cap/cap
2006,ZA,urban-high,min,0.102,cap/cap
2006,ZA,urban-low,min,0.4165,cap/cap
2006,CN,rural,min,0.5015,cap/cap
2006,CN,urban-high,min,0.102,cap/cap
2006,CN,urban-low,min,0.2465,cap/cap
2006,IN,rural,min,0.6035,cap/cap
2006,IN,urban-high,min,0.051,cap/cap
2006,IN,urban-low,min,0.1955,cap/cap
2006,ID,rural,min,0.459,cap/cap
2006,ID,urban-high,min,0.102,cap/cap
2006,ID,urban-low,min,0.289,cap/cap
2006,PK,rural,min,0.5525,cap/cap
2006,PK,urban-high,min,0.0595,cap/cap
2006,PK,urban-low,min,0.238,cap/cap
2006,BD,rural,min,0.612,cap/cap
2006,BD,urban-high,min,0.051,cap/cap
2006,BD,urban-low,min,0.187,cap/cap
2006,JP,rural,min,0.17,cap/cap
2006,JP,urban-high,min,0.68,cap/cap
2006,RU,rural,min,0.2295,cap/cap
2006,RU,urban-high,min,0.6205,cap/cap
2006,RU,urban-low,min,0.0,cap/cap
2006,DE,rural,min,0.051,cap/cap
2006,DE,urban-high,min,0.799,cap/cap
2006,GB,rural,min,0.085,cap/cap
2006,GB,urban-high,min,0.765,cap/cap
2006,GB,urban-low,min,0.0,cap/cap
2006,FR,rural,min,0.204,cap/cap
2006,FR,urban-high,min,0.646,cap/cap
2006,IT,rural,min,0.272,cap/cap
2006,IT,urban-high,min,0.578,cap/cap
2006,US,rural,min,0.187,cap/cap
2006,US,urban-high,min,0.663,cap/cap
2006,US,urban-low,min,0.0,cap/cap
2006,CA,rural,min,0.17,cap/cap
2006,CA,urban-high,min,0.68,cap/cap
2006,BR,rural,min,0.136,cap/cap
2006,BR,urban-high,min,0.2125,cap/cap
