year,region,property,value,unit
2006,Southern Africa,def,1.01,kg/kg
2006,Southern Africa,min,1.01,kg/kg
2006,Southern Africa,max,1.01,kg/kg
2006,Southern Africa,abs_min,1.0,kg/kg
2006,Southern Africa,abs_max,inf,kg/kg
2006,Central Asia,def,1.06,kg/kg
2006,Eastern Asia,def,1.08,kg/kg
2006,South-Eastern Asia,def,1.02,kg/kg
2006,Southern Asia,def,1.02,kg/kg
2006,Western Asia,def,1.06,kg/kg
2006,Northern Africa,def,1.06,kg/kg
2006,Eastern Africa,def,1.01,kg/kg
2006,Middle Africa,def,1.01,kg/kg
2006,Western Africa,def,1.01,kg/kg
2006,Eastern Europe,def,1.09,kg/kg
2006,Northern Europe,def,1.09,kg/kg
2006,Southern Europe,def,1.09,kg/kg
2006,Western Europe,def,1.09,kg/kg
2006,Caribbean,def,1.04,kg/kg
2006,Central America,def,1.04,kg/kg
2006,South America,def,1.04,kg/kg
2006,Northern America,def,1.13,kg/kg
2006,Australia and New Zealand,def,1.08,kg/kg
2006,Melanesia,def,1.08,kg/kg
2006,Polynesia,def,1.08,kg/kg
2006,Central Asia,min,1.06,kg/kg
2006,Eastern Asia,min,1.08,kg/kg
2006,South-Eastern Asia,min,1.02,kg/kg
2006,Southern Asia,min,1.02,kg/kg
2006,Western Asia,min,1.06,kg/kg
2006,Northern Africa,min,1.06,kg/kg
2006,Eastern Africa,min,1.01,kg/kg
2006,Middle Africa,min,1.01,kg/kg
2006,Western Africa,min,1.01,kg/kg
2006,Eastern Europe,min,1.09,kg/kg
2006,Northern Europe,min,1.09,kg/kg
2006,Southern Europe,min,1.09,kg/kg
2006,Western Europe,min,1.09,kg/kg
2006,Caribbean,min,1.04,kg/kg
2006,Central America,min,1.04,kg/kg
2006,South America,min,1.04,kg/kg
2006,Northern America,min,1.13,kg/kg
2006,Australia and New Zealand,min,1.08,kg/kg
2006,Melanesia,min,1.08,kg/kg
2006,Polynesia,min,1.08,kg/kg
2006,Central Asia,max,1.06,kg/kg
2006,Eastern Asia,max,1.08,kg/kg
2006,South-Eastern Asia,max,1.02,kg/kg
2006,Southern Asia,max,1.02,kg/kg
2006,Western Asia,max,1.06,kg/kg
2006,Northern Africa,max,1.06,kg/kg
2006,Eastern Africa,max,1.01,kg/kg
2006,Middle Africa,max,1.01,kg/kg
2006,Western Africa,max,1.01,kg/kg
2006,Eastern Europe,max,1.09,kg/kg
2006,Northern Europe,max,1.09,kg/kg
2006,Southern Europe,max,1.09,kg/kg
2006,Western Europe,max,1.09,kg/kg
2006,Caribbean,max,1.04,kg/kg
2006,Central America,max,1.04,kg/kg
2006,South America,max,1.04,kg/kg
2006,Northern America,max,1.13,kg/kg
2006,Australia and New Zealand,max,1.08,kg/kg
2006,Melanesia,max,1.08,kg/kg
2006,Polynesia,max,1.08,kg/kg
2006,Central Asia,abs_min,1.0,kg/kg
2006,Eastern Asia,abs_min,1.0,kg/kg
2006,South-Eastern Asia,abs_min,1.0,kg/kg
2006,Southern Asia,abs_min,1.0,kg/kg
2006,Western Asia,abs_min,1.0,kg/kg
2006,Northern Africa,abs_min,1.0,kg/kg
2006,Eastern Africa,abs_min,1.0,kg/kg
2006,Middle Africa,abs_min,1.0,kg/kg
2006,Western Africa,abs_min,1.0,kg/kg
2006,Eastern Europe,abs_min,1.0,kg/kg
2006,Northern Europe,abs_min,1.0,kg/kg
2006,Southern Europe,abs_min,1.0,kg/kg
2006,Western Europe,abs_min,1.0,kg/kg
2006,Caribbean,abs_min,1.0,kg/kg
2006,Central America,abs_min,1.0,kg/kg
2006,South America,abs_min,1.0,kg/kg
2006,Northern America,abs_min,1.0,kg/kg
2006,Australia and New Zealand,abs_min,1.0,kg/kg
2006,Melanesia,abs_min,1.0,kg/kg
2006,Polynesia,abs_min,1.0,kg/kg
2006,Central Asia,abs_max,inf,kg/kg
2006,Eastern Asia,abs_max,inf,kg/kg
2006,South-Eastern Asia,abs_max,inf,kg/kg
2006,Southern Asia,abs_max,inf,kg/kg
2006,Western Asia,abs_max,inf,kg/kg
2006,Northern Africa,abs_max,inf,kg/kg
2006,Eastern Africa,abs_max,inf,kg/kg
2006,Middle Africa,abs_max,inf,kg/kg
2006,Western Africa,abs_max,inf,kg/kg
2006,Eastern Europe,abs_max,inf,kg/kg
2006,Northern Europe,abs_max,inf,kg/kg
2006,Southern Europe,abs_max,inf,kg/kg
2006,Western Europe,abs_max,inf,kg/kg
2006,Caribbean,abs_max,inf,kg/kg
2006,Central America,abs_max,inf,kg/kg
2006,South America,abs_max,inf,kg/kg
2006,Northern America,abs_max,inf,kg/kg
2006,Australia and New Zealand,abs_max,inf,kg/kg
2006,Melanesia,abs_max,inf,kg/kg
2006,Polynesia,abs_max,inf,kg/kg
