year,region,income_class,activity,property,value,unit
2006,NG,rural,septic-tank,def,0.02,m3/m3
2006,NG,rural,latrine,def,0.28,m3/m3
2006,NG,rural,ww_other,def,0.04,m3/m3
2006,NG,rural,sewer,def,0.1,m3/m3
2006,NG,rural,no_treat,def,0.56,m3/m3
2006,NG,urban-high,septic-tank,def,0.32,m3/m3
2006,NG,urban-high,latrine,def,0.31,m3/m3
2006,NG,urban-high,ww_other,def,0.0,m3/m3
2006,NG,urban-high,sewer,def,0.37,m3/m3
2006,NG,urban-high,no_treat,def,0.0,m3/m3
2006,NG,urban-low,septic-tank,def,0.17,m3/m3
2006,NG,urban-low,latrine,def,0.24,m3/m3
2006,NG,urban-low,ww_other,def,0.05,m3/m3
2006,NG,urban-low,sewer,def,0.34,m3/m3
2006,NG,urban-low,no_treat,def,0.2,m3/m3
2006,EG,rural,septic-tank,def,0.02,m3/m3
2006,EG,rural,latrine,def,0.28,m3/m3
2006,EG,rural,ww_other,def,0.04,m3/m3
2006,EG,rural,sewer,def,0.1,m3/m3
2006,EG,rural,no_treat,def,0.56,m3/m3
2006,EG,urban-high,septic-tank,def,0.15,m3/m3
2006,EG,urban-high,latrine,def,0.05,m3/m3
2006,EG,urban-high,ww_other,def,0.1,m3/m3
2006,EG,urban-high,sewer,def,0.7,m3/m3
2006,EG,urban-high,no_treat,def,0.0,m3/m3
2006,EG,urban-low,septic-tank,def,0.17,m3/m3
2006,EG,urban-low,latrine,def,0.24,m3/m3
2006,EG,urban-low,ww_other,def,0.05,m3/m3
2006,EG,urban-low,sewer,def,0.34,m3/m3
2006,EG,urban-low,no_treat,def,0.2,m3/m3
2006,KE,rural,septic-tank,def,0.02,m3/m3
2006,KE,rural,latrine,def,0.28,m3/m3
2006,KE,rural,ww_other,def,0.04,m3/m3
2006,KE,rural,sewer,def,0.1,m3/m3
2006,KE,rural,no_treat,def,0.56,m3/m3
2006,KE,urban-high,septic-tank,def,0.32,m3/m3
2006,KE,urban-high,latrine,def,0.31,m3/m3
2006,KE,urban-high,ww_other,def,0.0,m3/m3
2006,KE,urban-high,sewer,def,0.37,m3/m3
2006,KE,urban-high,no_treat,def,0.0,m3/m3
2006,KE,urban-low,septic-tank,def,0.17,m3/m3
2006,KE,urban-low,latrine,def,0.24,m3/m3
2006,KE,urban-low,ww_other,def,0.05,m3/m3
2006,KE,urban-low,sewer,def,0.34,m3/m3
2006,KE,urban-low,no_treat,def,0.2,m3/m3
2006,ZA,rural,septic-tank,def,0.1,m3/m3
2006,ZA,rural,latrine,def,0.28,m3/m3
2006,ZA,rural,ww_other,def,0.04,m3/m3
2006,ZA,rural,sewer,def,0.1,m3/m3
2006,ZA,rural,no_treat,def,0.48,m3/m3
2006,ZA,urban-high,septic-tank,def,0.15,m3/m3
2006,ZA,urban-high,latrine,def,0.15,m3/m3
2006,ZA,urban-high,ww_other,def,0.0,m3/m3
2006,ZA,urban-high,sewer,def,0.7,m3/m3
2006,ZA,urban-high,no_treat,def,0.0,m3/m3
2006,ZA,urban-low,septic-tank,def,0.17,m3/m3
2006,ZA,urban-low,latrine,def,0.24,m3/m3
2006,ZA,urban-low,ww_other,def,0.05,m3/m3
2006,ZA,urban-low,sewer,def,0.34,m3/m3
2006,ZA,urban-low,no_treat,def,0.2,m3/m3
2006,CN,rural,septic-tank,def,0.0,m3/m3
2006,CN,rural,latrine,def,0.47,m3/m3
2006,CN,rural,ww_other,def,0.5,m3/m3
2006,CN,rural,sewer,def,0.0,m3/m3
2006,CN,rural,no_treat,def,0.03,m3/m3
2006,CN,urban-high,septic-tank,def,0.18,m3/m3
2006,CN,urban-high,latrine,def,0.08,m3/m3
2006,CN,urban-high,ww_other,def,0.07,m3/m3
2006,CN,urban-high,sewer,def,0.67,m3/m3
2006,CN,urban-high,no_treat,def,0.0,m3/m3
2006,CN,urban-low,septic-tank,def,0.14,m3/m3
2006,CN,urban-low,latrine,def,0.1,m3/m3
2006,CN,urban-low,ww_other,def,0.03,m3/m3
2006,CN,urban-low,sewer,def,0.68,m3/m3
2006,CN,urban-low,no_treat,def,0.05,m3/m3
2006,IN,rural,septic-tank,def,0.0,m3/m3
2006,IN,rural,latrine,def,0.47,m3/m3
2006,IN,rural,ww_other,def,0.1,m3/m3
2006,IN,rural,sewer,def,0.1,m3/m3
2006,IN,rural,no_treat,def,0.33,m3/m3
2006,IN,urban-high,septic-tank,def,0.18,m3/m3
2006,IN,urban-high,latrine,def,0.08,m3/m3
2006,IN,urban-high,ww_other,def,0.07,m3/m3
2006,IN,urban-high,sewer,def,0.67,m3/m3
2006,IN,urban-high,no_treat,def,0.0,m3/m3
2006,IN,urban-low,septic-tank,def,0.14,m3/m3
2006,IN,urban-low,latrine,def,0.1,m3/m3
2006,IN,urban-low,ww_other,def,0.03,m3/m3
2006,IN,urban-low,sewer,def,0.53,m3/m3
2006,IN,urban-low,no_treat,def,0.2,m3/m3
2006,ID,rural,septic-tank,def,0.0,m3/m3
2006,ID,rural,latrine,def,0.47,m3/m3
2006,ID,rural,ww_other,def,0.0,m3/m3
2006,ID,rural,sewer,def,0.1,m3/m3
2006,ID,rural,no_treat,def,0.43,m3/m3
2006,ID,urban-high,septic-tank,def,0.18,m3/m3
2006,ID,urban-high,latrine,def,0.08,m3/m3
2006,ID,urban-high,ww_other,def,0.0,m3/m3
2006,ID,urban-high,sewer,def,0.74,m3/m3
2006,ID,urban-high,no_treat,def,0.0,m3/m3
2006,ID,urban-low,septic-tank,def,0.14,m3/m3
2006,ID,urban-low,latrine,def,0.1,m3/m3
2006,ID,urban-low,ww_other,def,0.03,m3/m3
2006,ID,urban-low,sewer,def,0.53,m3/m3
2006,ID,urban-low,no_treat,def,0.2,m3/m3
2006,PK,rural,septic-tank,def,0.0,m3/m3
2006,PK,rural,latrine,def,0.47,m3/m3
2006,PK,rural,ww_other,def,0.0,m3/m3
2006,PK,rural,sewer,def,0.1,m3/m3
2006,PK,rural,no_treat,def,0.43,m3/m3
2006,PK,urban-high,septic-tank,def,0.18,m3/m3
2006,PK,urban-high,latrine,def,0.08,m3/m3
2006,PK,urban-high,ww_other,def,0.0,m3/m3
2006,PK,urban-high,sewer,def,0.74,m3/m3
