FileHeader: Filename,Date,Time,Row,Type,Identifier 1,Identifier 2,Amount,Sample Dilution,Peak Nr.,Component,Rt,Amt%,Ampl. 28,Ampl. 29,Area 28,Area 29,d 15N/14N,Ampl. 44,Ampl. 45,Ampl. 46,Area 44,Area 45,Area 46,Area All,d 13C/12C,Peak Nr. Flash TCD,Rt Flash TCD,rArea Flash TCD,Amt% Flash TCD
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,1,N2 - 1,57.9,0,4465,3274,83.717,0.614,0.051,,,,,,,84.33,,,,,
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,2,N2 - 2,107.6,0,4463,3272,83.607,0.613,0,,,,,,,84.22,,,,,
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,3,N2 - 3,157.4,0,4459,3268,83.726,0.614,-0.017,,,,,,,84.34,,,,,
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,4,N2 - 4,207.1,0,4455,3266,83.56,0.613,-0.032,,,,,,,84.172,,,,,
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,5,N2 - 5,256.9,0,4454,3265,83.516,0.612,-0.055,,,,,,,84.129,,,,,
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,6,N2 - 6,306.8,0,4450,3261,83.689,0.613,-0.047,,,,,,,84.303,,,,,
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,7,N2 - 7,356.6,0,4447,3260,83.445,0.612,-0.032,,,,,,,84.057,,,,,
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,8,N2 - 8,406.3,0,4444,3258,83.302,0.611,-0.057,,,,,,,83.912,,,,,
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,9,N2 - 9,456,0,4441,3255,83.265,0.61,-0.063,,,,,,,83.875,,,,,
22720_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:15:02,1,Sample,N2 On-Off,,,0,10,N2 - 10,505.8,0,4437,3253,83.257,0.61,-0.057,,,,,,,83.867,,,,,
22721_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:25:00,2,Sample,N2 On-Off,,,0,1,N2 - 1,57.7,0,4428,3245,83.089,0.609,0.019,,,,,,,83.698,,,,,
22721_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:25:00,2,Sample,N2 On-Off,,,0,2,N2 - 2,107.6,0,4424,3242,82.967,0.608,0,,,,,,,83.575,,,,,
22721_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:25:00,2,Sample,N2 On-Off,,,0,3,N2 - 3,157.4,0,4420,3240,82.996,0.608,-0.019,,,,,,,83.605,,,,,
22721_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:25:00,2,Sample,N2 On-Off,,,0,4,N2 - 4,207.1,0,4419,3239,82.89,0.608,-0.04,,,,,,,83.497,,,,,
22721_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:25:00,2,Sample,N2 On-Off,,,0,5,N2 - 5,256.9,0,4415,3236,82.837,0.607,-0.028,,,,,,,83.444,,,,,
22721_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:25:00,2,Sample,N2 On-Off,,,0,6,N2 - 6,306.6,0,4411,3234,82.766,0.607,-0.04,,,,,,,83.373,,,,,
22721_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:25:00,2,Sample,N2 On-Off,,,0,7,N2 - 7,356.3,0,4407,3231,82.717,0.606,-0.03,,,,,,,83.324,,,,,
22721_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:25:00,2,Sample,N2 On-Off,,,0,8,N2 - 8,406.3,0,4407,3231,82.718,0.606,-0.033,,,,,,,83.324,,,,,
22721_d15N-d13C_N2 On-Off-0000.dxf,11/21/2024,11:25:00,2,Sample,N2 On-Off,,,0,9,N2 - 9,456,0,4404,3228,82.587,0.605,-0.023,,,,,,,83.192,,,,,
