year,region,product,property,value,unit
2006,World,silicon_metal,def,1.2,kg/t
2006,World,ferrosilicon_90perc_si,def,1.1,kg/t
2006,World,ferrosilicon_75perc_si,def,1.0,kg/t
2006,World,ferrosilicon_65perc_si,def,1.0,kg/t
2006,World,silicon_metal,min,0.900,kg/t
2006,World,ferrosilicon_90perc_si,min,0.825,kg/t
2006,World,ferrosilicon_75perc_si,min,0.750,kg/t
2006,World,ferrosilicon_65perc_si,min,0.750,kg/t
2006,World,silicon_metal,max,1.500,kg/t
2006,World,ferrosilicon_90perc_si,max,1.375,kg/t
2006,World,ferrosilicon_75perc_si,max,1.250,kg/t
2006,World,ferrosilicon_65perc_si,max,1.250,kg/t
2006,World,silicon_metal,abs_min,0.0,kg/t
2006,World,ferrosilicon_90perc_si,abs_min,0.0,kg/t
2006,World,ferrosilicon_75perc_si,abs_min,0.0,kg/t
2006,World,ferrosilicon_65perc_si,abs_min,0.0,kg/t
2006,World,silicon_metal,abs_max,inf,kg/t
2006,World,ferrosilicon_90perc_si,abs_max,inf,kg/t
2006,World,ferrosilicon_75perc_si,abs_max,inf,kg/t
2006,World,ferrosilicon_65perc_si,abs_max,inf,kg/t
