year,region,activity,property,value,unit
2006,World,prebake_cwpb,def,0.143,(kg/t)/(min/d)
2006,World,prebake_swpb,def,0.272,(kg/t)/(min/d)
2006,World,soderberg_vss,def,0.092,(kg/t)/(min/d)
2006,World,soderberg_hss,def,0.099,(kg/t)/(min/d)
2006,World,prebake_cwpb,min,0.13442,(kg/t)/(min/d)
2006,World,prebake_swpb,min,0.2312,(kg/t)/(min/d)
2006,World,soderberg_vss,min,0.07636,(kg/t)/(min/d)
2006,World,soderberg_hss,min,0.05544,(kg/t)/(min/d)
2006,World,prebake_cwpb,max,0.15158,(kg/t)/(min/d)
2006,World,prebake_swpb,max,0.3128,(kg/t)/(min/d)
2006,World,soderberg_vss,max,0.10764,(kg/t)/(min/d)
2006,World,soderberg_hss,max,0.14256,(kg/t)/(min/d)
2006,World,prebake_cwpb,abs_min,0.0,(kg/t)/(min/d)
2006,World,prebake_swpb,abs_min,0.0,(kg/t)/(min/d)
2006,World,soderberg_vss,abs_min,0.0,(kg/t)/(min/d)
2006,World,soderberg_hss,abs_min,0.0,(kg/t)/(min/d)
2006,World,prebake_cwpb,abs_max,inf,(kg/t)/(min/d)
2006,World,prebake_swpb,abs_max,inf,(kg/t)/(min/d)
2006,World,soderberg_vss,abs_max,inf,(kg/t)/(min/d)
2006,World,soderberg_hss,abs_max,inf,(kg/t)/(min/d)
