SIGLA_UF,crop_class,num_samples
AC,Other Temporary Crops,6
AC,Pasture,79509
AL,Mosaic of Uses,722
AL,Other Temporary Crops,8
AL,Pasture,21209
AL,Sugar Cane,11424
AM,Other Temporary Crops,14
AM,Pasture,44917
BA,Coffee,676
BA,Cotton,114
BA,Forest Plantation,21612
BA,Mosaic of Uses,25023
BA,Other Perennial Crops,1061
BA,Other Temporary Crops,5171
BA,Pasture,202409
BA,Soybean,5550
BA,Sugar Cane,893
CE,Mosaic of Uses,141
CE,Other Perennial Crops,838
CE,Other Temporary Crops,3373
CE,Pasture,12479
DF,Forest Plantation,4
DF,Mosaic of Uses,71
DF,Other Temporary Crops,3
DF,Pasture,657
DF,Soybean,2104
ES,Coffee,177
ES,Forest Plantation,4203
ES,Mosaic of Uses,362
ES,Other Temporary Crops,602
ES,Pasture,39872
ES,Sugar Cane,38
GO,Citrus,20
GO,Coffee,105
GO,Forest Plantation,2153
GO,Mosaic of Uses,13844
GO,Other Perennial Crops,6
GO,Other Temporary Crops,2156
GO,Pasture,313963
GO,Rice,19
GO,Soybean,72458
GO,Sugar Cane,32366
MA,Cotton,4
MA,Forest Plantation,3150
MA,Mosaic of Uses,4692
MA,Other Temporary Crops,177
MA,Pasture,195344
MA,Soybean,6729
MA,Sugar Cane,159
MG,Citrus,1302
MG,Coffee,11313
MG,Forest Plantation,46383
MG,Mosaic of Uses,17749
MG,Other Perennial Crops,612
MG,Other Temporary Crops,19785
MG,Pasture,345241
MG,Soybean,27835
MG,Sugar Cane,42835
MS,Forest Plantation,23371
MS,Mosaic of Uses,19657
MS,Other Perennial Crops,8
MS,Other Temporary Crops,1786
MS,Pasture,228664
MS,Rice,11
MS,Soybean,37751
MS,Sugar Cane,23676
MT,Cotton,2
MT,Forest Plantation,1201
MT,Mosaic of Uses,1803
MT,Other Temporary Crops,3621
MT,Pasture,323862
MT,Soybean,74210
MT,Sugar Cane,2333
PA,Forest Plantation,477
PA,Mosaic of Uses,33
PA,Other Temporary Crops,140
PA,Palm Oil,6517
PA,Pasture,491522
PA,Soybean,4570
PB,Mosaic of Uses,410
PB,Other Temporary Crops,1272
PB,Pasture,14531
PB,Sugar Cane,1083
PE,Mosaic of Uses,1079
PE,Other Perennial Crops,618
PE,Other Temporary Crops,87
PE,Pasture,25530
PE,Sugar Cane,2756
PI,Forest Plantation,358
PI,Mosaic of Uses,2241
PI,Other Perennial Crops,2
PI,Other Temporary Crops,665
PI,Pasture,7095
PI,Soybean,3294
PI,Sugar Cane,263
PR,Coffee,18
PR,Forest Plantation,17817
PR,Mosaic of Uses,15894
PR,Other Perennial Crops,22
PR,Other Temporary Crops,1305
PR,Pasture,69687
PR,Soybean,203563
PR,Sugar Cane,31204
RJ,Mosaic of Uses,607
RJ,Other Temporary Crops,2908
RJ,Pasture,37707
RN,Mosaic of Uses,713
RN,Other Perennial Crops,60
RN,Other Temporary Crops,7577
RN,Pasture,7721
RN,Sugar Cane,307
RO,Forest Plantation,2
RO,Mosaic of Uses,20
RO,Other Temporary Crops,143
RO,Pasture,310102
RO,Soybean,3190
RR,Forest Plantation,10
RR,Other Temporary Crops,16
RR,Pasture,16752
RR,Soybean,630
RS,Forest Plantation,10518
RS,Mosaic of Uses,26948
RS,Other Temporary Crops,8729
RS,Pasture,703
RS,Rice,16988
RS,Soybean,248509
SC,Forest Plantation,7911
SC,Mosaic of Uses,1428
SC,Other Temporary Crops,581
SC,Pasture,5011
SC,Rice,4477
SC,Soybean,11895
SE,Forest Plantation,46
SE,Mosaic of Uses,222
SE,Other Temporary Crops,739
SE,Pasture,31685
SE,Sugar Cane,237
SP,Citrus,12337
SP,Coffee,484
SP,Forest Plantation,24676
SP,Mosaic of Uses,44017
SP,Other Perennial Crops,147
SP,Other Temporary Crops,1830
SP,Pasture,118746
SP,Soybean,46066
SP,Sugar Cane,397927
TO,Forest Plantation,1427
TO,Mosaic of Uses,904
TO,Other Temporary Crops,406
TO,Pasture,152639
TO,Rice,5873
TO,Soybean,8401
TO,Sugar Cane,122
