activity,property,value,unit
solid-storage,def,0.01,kg/kg
solid-storage-covered,def,0.01,kg/kg
solid-storage-bulking,def,0.005,kg/kg
solid-storage-additive,def,0.01,kg/kg
drylot,def,0.02,kg/kg
liquid-slurry-nocover,def,0.0,kg/kg
liquid-slurry-cover,def,0.005,kg/kg
lagoon,def,0.0,kg/kg
pit-long,def,0.002,kg/kg
pit-short,def,0.002,kg/kg
digester,def,0.0006,kg/kg
bedding,def,0.01,kg/kg
bedding-mixing,def,0.07,kg/kg
composting-vessel,def,0.006,kg/kg
composting-pile,def,0.01,kg/kg
composting-intensive,def,0.005,kg/kg
composting-passive,def,0.005,kg/kg
poultry-litter,def,0.001,kg/kg
poultry-nolitter,def,0.001,kg/kg
aerobic-natural,def,0.01,kg/kg
aerobic-forced,def,0.005,kg/kg
solid-storage,min,0.0,kg/kg
solid-storage-covered,min,0.0,kg/kg
solid-storage-bulking,min,0.0,kg/kg
solid-storage-additive,min,0.0,kg/kg
drylot,min,0.0,kg/kg
liquid-slurry-nocover,min,0.0,kg/kg
liquid-slurry-cover,min,0.0,kg/kg
lagoon,min,0.0,kg/kg
pit-long,min,0.0,kg/kg
pit-short,min,0.0,kg/kg
digester,min,0.0,kg/kg
bedding,min,0.0,kg/kg
bedding-mixing,min,0.0,kg/kg
composting-vessel,min,0.0,kg/kg
composting-pile,min,0.0,kg/kg
composting-intensive,min,0.0,kg/kg
composting-passive,min,0.0,kg/kg
poultry-litter,min,0.0,kg/kg
poultry-nolitter,min,0.0,kg/kg
aerobic-natural,min,0.0,kg/kg
aerobic-forced,min,0.0,kg/kg
solid-storage,max,0.02,kg/kg
solid-storage-covered,max,0.02,kg/kg
solid-storage-bulking,max,0.01,kg/kg
solid-storage-additive,max,0.02,kg/kg
drylot,max,0.04,kg/kg
liquid-slurry-nocover,max,0.0,kg/kg
liquid-slurry-cover,max,0.01,kg/kg
lagoon,max,0.0,kg/kg
pit-long,max,0.004,kg/kg
pit-short,max,0.004,kg/kg
digester,max,0.0012,kg/kg
bedding,max,0.02,kg/kg
bedding-mixing,max,0.14,kg/kg
composting-vessel,max,0.012,kg/kg
composting-pile,max,0.02,kg/kg
composting-intensive,max,0.01,kg/kg
composting-passive,max,0.01,kg/kg
poultry-litter,max,0.002,kg/kg
poultry-nolitter,max,0.002,kg/kg
aerobic-natural,max,0.02,kg/kg
aerobic-forced,max,0.01,kg/kg
solid-storage,abs_min,0.0,kg/kg
solid-storage-covered,abs_min,0.0,kg/kg
solid-storage-bulking,abs_min,0.0,kg/kg
solid-storage-additive,abs_min,0.0,kg/kg
drylot,abs_min,0.0,kg/kg
liquid-slurry-nocover,abs_min,0.0,kg/kg
liquid-slurry-cover,abs_min,0.0,kg/kg
lagoon,abs_min,0.0,kg/kg
pit-long,abs_min,0.0,kg/kg
pit-short,abs_min,0.0,kg/kg
digester,abs_min,0.0,kg/kg
bedding,abs_min,0.0,kg/kg
bedding-mixing,abs_min,0.0,kg/kg
composting-vessel,abs_min,0.0,kg/kg
composting-pile,abs_min,0.0,kg/kg
composting-intensive,abs_min,0.0,kg/kg
composting-passive,abs_min,0.0,kg/kg
poultry-litter,abs_min,0.0,kg/kg
poultry-nolitter,abs_min,0.0,kg/kg
aerobic-natural,abs_min,0.0,kg/kg
aerobic-forced,abs_min,0.0,kg/kg
solid-storage,abs_max,inf,kg/kg
solid-storage-covered,abs_max,inf,kg/kg
solid-storage-bulking,abs_max,inf,kg/kg
solid-storage-additive,abs_max,inf,kg/kg
drylot,abs_max,inf,kg/kg
liquid-slurry-nocover,abs_max,inf,kg/kg
liquid-slurry-cover,abs_max,inf,kg/kg
lagoon,abs_max,inf,kg/kg
pit-long,abs_max,inf,kg/kg
pit-short,abs_max,inf,kg/kg
digester,abs_max,inf,kg/kg
bedding,abs_max,inf,kg/kg
bedding-mixing,abs_max,inf,kg/kg
composting-vessel,abs_max,inf,kg/kg
composting-pile,abs_max,inf,kg/kg
composting-intensive,abs_max,inf,kg/kg
composting-passive,abs_max,inf,kg/kg
poultry-litter,abs_max,inf,kg/kg
poultry-nolitter,abs_max,inf,kg/kg
aerobic-natural,abs_max,inf,kg/kg
aerobic-forced,abs_max,inf,kg/kg
