year,region,product,property,value,unit
2019,Northern America,cattle-dairy,def,0.167,kg/kg
2019,Western Europe,cattle-dairy,def,0.161,kg/kg
2019,Eastern Europe,cattle-dairy,def,0.151,kg/kg
2019,AUS,cattle-dairy,def,0.223,kg/kg
2019,Latin America,cattle-dairy,def,0.127,kg/kg
2019,Latin America,cattle-dairy_hp,def,0.170,kg/kg
2019,Latin America,cattle-dairy_lp,def,0.100,kg/kg
2019,ASI,cattle-dairy,def,0.135,kg/kg
2019,ASI,cattle-dairy_hp,def,0.165,kg/kg
2019,ASI,cattle-dairy_lp,def,0.126,kg/kg
2019,AFR,cattle-dairy,def,0.087,kg/kg
2019,AFR,cattle-dairy_hp,def,0.078,kg/kg
2019,AFR,cattle-dairy_lp,def,0.096,kg/kg
2019,Middle East,cattle-dairy,def,0.136,kg/kg
2019,Middle East,cattle-dairy_hp,def,0.158,kg/kg
2019,Middle East,cattle-dairy_lp,def,0.125,kg/kg
2019,Indian Subcontinent,cattle-dairy,def,0.143,kg/kg
2019,Indian Subcontinent,cattle-dairy_hp,def,0.155,kg/kg
2019,Indian Subcontinent,cattle-dairy_lp,def,0.14,kg/kg
2019,Northern America,cattle-other_mature-fem,def,0.12,kg/kg
2019,Northern America,cattle-other_mature-mal,def,0.12,kg/kg
2019,Northern America,cattle-other_calve-milk,def,0.16,kg/kg
2019,Northern America,cattle-other_calve-forage,def,0.13,kg/kg
2019,Northern America,cattle-other_growing,def,0.12,kg/kg
2019,Northern America,cattle-other_replacement,def,0.12,kg/kg
2019,Northern America,cattle-other_feedlot,def,0.14,kg/kg
2019,Western Europe,cattle-other_mature-mal,def,0.147,kg/kg
2019,Western Europe,cattle-other_replacement,def,0.165,kg/kg
2019,Western Europe,cattle-other_calve-milk,def,0.171,kg/kg
2019,Western Europe,cattle-other_calve-forage,def,0.165,kg/kg
2019,Eastern Europe,cattle-other_mature-fem,def,0.151,kg/kg
2019,Eastern Europe,cattle-other_mature-mal,def,0.142,kg/kg
2019,Eastern Europe,cattle-other_replacement,def,0.142,kg/kg
2019,Eastern Europe,cattle-other_calve-forage,def,0.143,kg/kg
2019,AUS,cattle-other_mature-fem,def,0.14,kg/kg
2019,AUS,cattle-other_mature-mal,def,0.14,kg/kg
2019,AUS,cattle-other_calve-forage,def,0.14,kg/kg
2019,Latin America,cattle-other_mature-fem,def,0.095,kg/kg
2019,Latin America,cattle-other_mature-mal,def,0.098,kg/kg
2019,Latin America,cattle-other_growing,def,0.098,kg/kg
2019,Latin America,cattle-other_replacement,def,0.096,kg/kg
2019,Latin America,cattle-other_calve-milk,def,0.095,kg/kg
2019,Latin America,cattle-other_calve-forage,def,0.1,kg/kg
2019,Latin America,cattle-other_feedlot,def,0.14,kg/kg
2019,ASI,cattle-other_mature-fem,def,0.106,kg/kg
2019,ASI,cattle-other_mature-fem-grazing,def,0.1,kg/kg
2019,ASI,cattle-other_mature-mal,def,0.101,kg/kg
2019,ASI,cattle-other_mature-mal-grazing,def,0.1,kg/kg
2019,ASI,cattle-other_growing,def,0.105,kg/kg
2019,ASI,cattle-other_calve-forage,def,0.107,kg/kg
2019,AFR,cattle-other_mature-fem,def,0.113,kg/kg
2019,AFR,cattle-other_mature-fem-grazing,def,0.1,kg/kg
2019,AFR,cattle-other_mature-mal,def,0.112,kg/kg
2019,AFR,cattle-other_draftbullock,def,0.1,kg/kg
2019,AFR,cattle-other_bullgrazing,def,0.1,kg/kg
2019,AFR,cattle-other_growing,def,0.104,kg/kg
2019,AFR,cattle-other_calve-forage,def,0.103,kg/kg
2019,Middle East,cattle-other_mature-fem,def,0.125,kg/kg
2019,Middle East,cattle-other_mature-mal,def,0.129,kg/kg
2019,Middle East,cattle-other_replacement,def,0.127,kg/kg
2019,Middle East,cattle-other_calve-forage,def,0.128,kg/kg
