year,region,diet_type,property,value,unit
2019,World,grain,def,8.0,MJ/kg
2019,World,grain,min,7.5,MJ/kg
2019,World,grain,max,8.5,MJ/kg
2019,World,grain,abs_min,0.0,MJ/kg
2019,World,grain,abs_max,inf,MJ/kg
2019,World,grain-steamflaked,def,8.0,MJ/kg
2019,World,grain-steamflaked,min,7.5,MJ/kg
2019,World,grain-steamflaked,max,8.5,MJ/kg
2019,World,grain-steamflaked,abs_min,0.0,MJ/kg
2019,World,grain-steamflaked,abs_max,inf,MJ/kg
2019,World,forage-high,def,7.0,MJ/kg
2019,World,forage-high,min,6.5,MJ/kg
2019,World,forage-high,max,7.5,MJ/kg
2019,World,forage-high,abs_min,0.0,MJ/kg
2019,World,forage-high,abs_max,inf,MJ/kg
2019,World,forage-mod,def,6.0,MJ/kg
2019,World,forage-mod,min,5.5,MJ/kg
2019,World,forage-mod,max,6.5,MJ/kg
2019,World,forage-mod,abs_min,0.0,MJ/kg
2019,World,forage-mod,abs_max,inf,MJ/kg
2019,World,forage-low,def,4.5,MJ/kg
2019,World,forage-low,min,3.5,MJ/kg
2019,World,forage-low,max,5.5,MJ/kg
2019,World,forage-low,abs_min,0.0,MJ/kg
2019,World,forage-low,abs_max,inf,MJ/kg
