product,property,value,unit
cattle-dairy,def,0.8,MJ/piece/day
cattle-other,def,1.0,MJ/piece/day
cattle-other_mature-fem,def,0.8,MJ/piece/day
cattle-other_mature-fem-grazing,def,0.8,MJ/piece/day
cattle-other_mature-fem-farming,def,0.8,MJ/piece/day
cattle-other_mature-mal,def,1.2,MJ/piece/day
cattle-other_mature-mal-grazing,def,1.2,MJ/piece/day
cattle-other_mature-mal-farming,def,1.2,MJ/piece/day
cattle-other_calve-milk,def,1.0,MJ/piece/day
cattle-other_calve-forage,def,1.0,MJ/piece/day
cattle-other_growing,def,1.0,MJ/piece/day
cattle-other_feedlot,def,1.0,MJ/piece/day
cattle-other_draftbullock,def,1.2,MJ/piece/day
cattle-other_bullgrazing,def,1.2,MJ/piece/day
cattle-other_replacement,def,0.8,MJ/piece/day
cattle-dairy_lp,def,0.8,MJ/piece/day
cattle-dairy_hp,def,0.8,MJ/piece/day
cattle-other_hp_mature-fem,def,0.8,MJ/piece/day
cattle-other_hp_mature-fem-grazing,def,0.8,MJ/piece/day
cattle-other_hp_mature-fem-farming,def,0.8,MJ/piece/day
cattle-other_hp_mature-mal,def,1.2,MJ/piece/day
cattle-other_hp_mature-mal-grazing,def,1.2,MJ/piece/day
cattle-other_hp_mature-mal-farming,def,1.2,MJ/piece/day
cattle-other_hp_calve-milk,def,1.0,MJ/piece/day
cattle-other_hp_calve-forage,def,1.0,MJ/piece/day
cattle-other_hp_growing,def,1.0,MJ/piece/day
cattle-other_hp_feedlot,def,1.0,MJ/piece/day
cattle-other_hp_draftbullock,def,1.2,MJ/piece/day
cattle-other_hp_bullgrazing,def,1.2,MJ/piece/day
cattle-other_hp_replacement,def,0.8,MJ/piece/day
cattle-other_lp_mature-fem,def,0.8,MJ/piece/day
cattle-other_lp_mature-fem-grazing,def,0.8,MJ/piece/day
cattle-other_lp_mature-fem-farming,def,0.8,MJ/piece/day
cattle-other_lp_mature-mal,def,1.2,MJ/piece/day
cattle-other_lp_mature-mal-grazing,def,1.2,MJ/piece/day
cattle-other_lp_mature-mal-farming,def,1.2,MJ/piece/day
cattle-other_lp_calve-milk,def,1.0,MJ/piece/day
cattle-other_lp_calve-forage,def,1.0,MJ/piece/day
cattle-other_lp_growing,def,1.0,MJ/piece/day
cattle-other_lp_feedlot,def,1.0,MJ/piece/day
cattle-other_lp_draftbullock,def,1.2,MJ/piece/day
cattle-other_lp_bullgrazing,def,1.2,MJ/piece/day
cattle-other_lp_replacement,def,0.8,MJ/piece/day
buffalo,def,1.0,MJ/piece/day
buffalo-dairy,def,0.8,MJ/piece/day
buffalo-nondairy,def,1.0,MJ/piece/day
buffalo-nondairy_mature-male,def,1.2,MJ/piece/day
buffalo-nondairy_male-working,def,1.2,MJ/piece/day
buffalo-nondairy_male-breeding,def,1.2,MJ/piece/day
buffalo-nondairy_growing,def,1.0,MJ/piece/day
buffalo-nondairy_calve,def,1.0,MJ/piece/day
cattle-dairy,min,0.8,MJ/piece/day
cattle-other,min,1.0,MJ/piece/day
cattle-other_mature-fem,min,0.8,MJ/piece/day
cattle-other_mature-fem-grazing,min,0.8,MJ/piece/day
cattle-other_mature-fem-farming,min,0.8,MJ/piece/day
cattle-other_mature-mal,min,1.2,MJ/piece/day
cattle-other_mature-mal-grazing,min,1.2,MJ/piece/day
cattle-other_mature-mal-farming,min,1.2,MJ/piece/day
cattle-other_calve-milk,min,1.0,MJ/piece/day
cattle-other_calve-forage,min,1.0,MJ/piece/day
cattle-other_growing,min,1.0,MJ/piece/day
cattle-other_feedlot,min,1.0,MJ/piece/day
cattle-other_draftbullock,min,1.2,MJ/piece/day
cattle-other_bullgrazing,min,1.2,MJ/piece/day
cattle-other_replacement,min,0.8,MJ/piece/day
cattle-dairy_lp,min,0.8,MJ/piece/day
cattle-dairy_hp,min,0.8,MJ/piece/day
cattle-other_hp_mature-fem,min,0.8,MJ/piece/day
cattle-other_hp_mature-fem-grazing,min,0.8,MJ/piece/day
cattle-other_hp_mature-fem-farming,min,0.8,MJ/piece/day
cattle-other_hp_mature-mal,min,1.2,MJ/piece/day
cattle-other_hp_mature-mal-grazing,min,1.2,MJ/piece/day
cattle-other_hp_mature-mal-farming,min,1.2,MJ/piece/day
cattle-other_hp_calve-milk,min,1.0,MJ/piece/day
cattle-other_hp_calve-forage,min,1.0,MJ/piece/day
cattle-other_hp_growing,min,1.0,MJ/piece/day
cattle-other_hp_feedlot,min,1.0,MJ/piece/day
cattle-other_hp_draftbullock,min,1.2,MJ/piece/day
cattle-other_hp_bullgrazing,min,1.2,MJ/piece/day
cattle-other_hp_replacement,min,0.8,MJ/piece/day
cattle-other_lp_mature-fem,min,0.8,MJ/piece/day
cattle-other_lp_mature-fem-grazing,min,0.8,MJ/piece/day
cattle-other_lp_mature-fem-farming,min,0.8,MJ/piece/day
cattle-other_lp_mature-mal,min,1.2,MJ/piece/day
cattle-other_lp_mature-mal-grazing,min,1.2,MJ/piece/day
cattle-other_lp_mature-mal-farming,min,1.2,MJ/piece/day
cattle-other_lp_calve-milk,min,1.0,MJ/piece/day
cattle-other_lp_calve-forage,min,1.0,MJ/piece/day
cattle-other_lp_growing,min,1.0,MJ/piece/day
cattle-other_lp_feedlot,min,1.0,MJ/piece/day
cattle-other_lp_draftbullock,min,1.2,MJ/piece/day
