swds_type,property,value,unit
managed,def,1,kg/kg
managed,min,0.9,kg/kg
managed,max,1,kg/kg
managed_well_s-a,def,0.5,kg/kg
managed_well_s-a,min,0.4,kg/kg
managed_well_s-a,max,0.6,kg/kg
managed_poorly_s-a,def,0.7,kg/kg
managed_poorly_s-a,min,0.49,kg/kg
managed_poorly_s-a,max,0.91,kg/kg
managed_well_a-a,def,0.4,kg/kg
managed_well_a-a,min,0.16,kg/kg
managed_well_a-a,max,0.64,kg/kg
managed_poorly_a-a,def,0.7,kg/kg
managed_poorly_a-a,min,0.49,kg/kg
managed_poorly_a-a,max,0.91,kg/kg
unmanaged_deep,def,0.8,kg/kg
unmanaged_deep,min,0.64,kg/kg
unmanaged_deep,max,0.96,kg/kg
unmanaged_shallow,def,0.4,kg/kg
unmanaged_shallow,min,0.28,kg/kg
unmanaged_shallow,max,0.52,kg/kg
uncharacterised,def,0.6,kg/kg
uncharacterised,min,0.3,kg/kg
uncharacterised,max,0.96,kg/kg
open-dumped,def,0.4,kg/kg
open-dumped,min,0.28,kg/kg
open-dumped,max,0.52,kg/kg
managed,abs_min,0,kg/kg
managed_well_s-a,abs_min,0,kg/kg
managed_poorly_s-a,abs_min,0,kg/kg
managed_well_a-a,abs_min,0,kg/kg
managed_poorly_a-a,abs_min,0,kg/kg
unmanaged_deep,abs_min,0,kg/kg
unmanaged_shallow,abs_min,0,kg/kg
uncharacterised,abs_min,0,kg/kg
open-dumped,abs_min,0,kg/kg
managed,abs_max,1,kg/kg
managed_well_s-a,abs_max,1,kg/kg
managed_poorly_s-a,abs_max,1,kg/kg
managed_well_a-a,abs_max,1,kg/kg
managed_poorly_a-a,abs_max,1,kg/kg
unmanaged_deep,abs_max,1,kg/kg
unmanaged_shallow,abs_max,1,kg/kg
uncharacterised,abs_max,1,kg/kg
open-dumped,abs_max,1,kg/kg
