waste_type,moisture_regime,climate_zone,property,value,unit
msw_food,dry,boreal_temperate,def,0.06,1/yr
msw_food,dry,tropical,def,0.085,1/yr
msw_food,wet,boreal_temperate,def,0.185,1/yr
msw_food,wet,tropical,def,0.4,1/yr
msw_garden,dry,boreal_temperate,def,0.05,1/yr
msw_garden,dry,tropical,def,0.065,1/yr
msw_garden,wet,boreal_temperate,def,0.1,1/yr
msw_garden,wet,tropical,def,0.17,1/yr
msw_paper,dry,boreal_temperate,def,0.04,1/yr
msw_paper,dry,tropical,def,0.045,1/yr
msw_paper,wet,boreal_temperate,def,0.06,1/yr
msw_paper,wet,tropical,def,0.07,1/yr
msw_wood,dry,boreal_temperate,def,0.02,1/yr
msw_wood,dry,tropical,def,0.025,1/yr
msw_wood,wet,boreal_temperate,def,0.03,1/yr
msw_wood,wet,tropical,def,0.035,1/yr
msw_textiles,dry,boreal_temperate,def,0.04,1/yr
msw_textiles,dry,tropical,def,0.045,1/yr
msw_textiles,wet,boreal_temperate,def,0.06,1/yr
msw_textiles,wet,tropical,def,0.07,1/yr
msw_nappies,dry,boreal_temperate,def,0.04,1/yr
msw_nappies,dry,tropical,def,0.045,1/yr
msw_nappies,wet,boreal_temperate,def,0.06,1/yr
msw_nappies,wet,tropical,def,0.07,1/yr
msw_rubber,dry,boreal_temperate,def,0,1/yr
msw_rubber,dry,tropical,def,0,1/yr
msw_rubber,wet,boreal_temperate,def,0,1/yr
msw_rubber,wet,tropical,def,0,1/yr
msw_plastics,dry,boreal_temperate,def,0,1/yr
msw_plastics,dry,tropical,def,0,1/yr
msw_plastics,wet,boreal_temperate,def,0,1/yr
msw_plastics,wet,tropical,def,0,1/yr
msw_metal,dry,boreal_temperate,def,0,1/yr
msw_metal,dry,tropical,def,0,1/yr
msw_metal,wet,boreal_temperate,def,0,1/yr
msw_metal,wet,tropical,def,0,1/yr
msw_glass,dry,boreal_temperate,def,0,1/yr
msw_glass,dry,tropical,def,0,1/yr
msw_glass,wet,boreal_temperate,def,0,1/yr
msw_glass,wet,tropical,def,0,1/yr
msw_other,dry,boreal_temperate,def,0,1/yr
msw_other,dry,tropical,def,0,1/yr
