year,region,swds_type,property,value,unit
2006,HK,open-dumped,def,0.0,kg/kg
2006,MO,open-dumped,def,0.0,kg/kg
2006,JP,open-dumped,def,0.0,kg/kg
2006,KR,open-dumped,def,0.0,kg/kg
2006,SG,open-dumped,def,0.0,kg/kg
2006,AM,open-dumped,def,0.0,kg/kg
2006,CY,open-dumped,def,0.0,kg/kg
2006,IL,open-dumped,def,0.0,kg/kg
2006,JO,open-dumped,def,0.0,kg/kg
2006,KW,open-dumped,def,0.0,kg/kg
2006,LB,open-dumped,def,0.445783133,kg/kg
2006,PS,open-dumped,def,0.0,kg/kg
2006,SY,open-dumped,def,0.722891566,kg/kg
2006,TR,open-dumped,def,0.0,kg/kg
2006,DZ,open-dumped,def,1.0,kg/kg
2006,MA,open-dumped,def,0.989583333,kg/kg
2006,TN,open-dumped,def,0.473684211,kg/kg
2006,MG,open-dumped,def,1.0,kg/kg
2006,MU,open-dumped,def,1.0,kg/kg
2006,UG,open-dumped,def,1.0,kg/kg
2006,CM,open-dumped,def,1.0,kg/kg
2006,NE,open-dumped,def,0.0,kg/kg
2006,BG,open-dumped,def,0.0,kg/kg
2006,CZ,open-dumped,def,0.0,kg/kg
2006,HU,open-dumped,def,0.0,kg/kg
2006,PL,open-dumped,def,0.0,kg/kg
2006,RO,open-dumped,def,0.0,kg/kg
2006,SK,open-dumped,def,0.0,kg/kg
2006,DK,open-dumped,def,0.0,kg/kg
2006,EE,open-dumped,def,0.0,kg/kg
2006,FI,open-dumped,def,0.0,kg/kg
2006,IS,open-dumped,def,0.0,kg/kg
2006,IE,open-dumped,def,0.0,kg/kg
2006,LV,open-dumped,def,0.0,kg/kg
2006,LT,open-dumped,def,0.0,kg/kg
2006,NO,open-dumped,def,0.0,kg/kg
2006,SE,open-dumped,def,0.0,kg/kg
2006,GB,open-dumped,def,0.0,kg/kg
2006,BA,open-dumped,def,0.0,kg/kg
2006,HR,open-dumped,def,0.0,kg/kg
2006,GR,open-dumped,def,0.0,kg/kg
2006,IT,open-dumped,def,0.0,kg/kg
2006,MT,open-dumped,def,0.0,kg/kg
2006,ME,open-dumped,def,0.0,kg/kg
2006,PT,open-dumped,def,0.0,kg/kg
2006,RS,open-dumped,def,0.0,kg/kg
2006,SI,open-dumped,def,0.0,kg/kg
2006,ES,open-dumped,def,0.0,kg/kg
2006,MK,open-dumped,def,0.0,kg/kg
2006,AT,open-dumped,def,0.0,kg/kg
2006,BE,open-dumped,def,0.0,kg/kg
2006,FR,open-dumped,def,0.0,kg/kg
2006,DE,open-dumped,def,0.0,kg/kg
2006,LU,open-dumped,def,0.0,kg/kg
