year,region,product,property,value,unit
2019,World,sheep,def,0.0,kg/piece/year
2019,World,sheep-mature_hp_wool,def,3.8,kg/piece/year
2019,World,sheep-mature_lp_wool,def,3.8,kg/piece/year
2019,World,goat,def,0.0,kg/piece/year
2019,World,sheep,min,0.00,kg/piece/year
2019,World,sheep-mature_hp_wool,min,3.04,kg/piece/year
2019,World,sheep-mature_lp_wool,min,3.04,kg/piece/year
2019,World,goat,min,0.00,kg/piece/year
2019,World,sheep,max,0.00,kg/piece/year
2019,World,sheep-mature_hp_wool,max,4.56,kg/piece/year
2019,World,sheep-mature_lp_wool,max,4.56,kg/piece/year
2019,World,goat,max,0.00,kg/piece/year
2019,World,sheep,abs_min,0.0,kg/piece/year
2019,World,sheep-mature_hp_wool,abs_min,0.0,kg/piece/year
2019,World,sheep-mature_lp_wool,abs_min,0.0,kg/piece/year
2019,World,goat,abs_min,0.0,kg/piece/year
2019,World,sheep,abs_max,inf,kg/piece/year
2019,World,sheep-mature_hp_wool,abs_max,inf,kg/piece/year
2019,World,sheep-mature_lp_wool,abs_max,inf,kg/piece/year
2019,World,goat,abs_max,inf,kg/piece/year
