year,region,product,property,value,unit
2019,Northern America,cattle-dairy,def,28.0,kg/piece/day
2019,Western Europe,cattle-dairy,def,20.3,kg/piece/day
2019,Eastern Europe,cattle-dairy,def,10.9,kg/piece/day
2019,AUS,cattle-dairy,def,12.1,kg/piece/day
2019,Latin America,cattle-dairy,def,5.6,kg/piece/day
2019,Latin America,cattle-dairy_hp,def,9.3,kg/piece/day
2019,Latin America,cattle-dairy_lp,def,3.4,kg/piece/day
2019,ASI,cattle-dairy,def,8.9,kg/piece/day
2019,ASI,cattle-dairy_hp,def,13.8,kg/piece/day
2019,ASI,cattle-dairy_lp,def,7.3,kg/piece/day
2019,AFR,cattle-dairy,def,3.5,kg/piece/day
2019,AFR,cattle-dairy_hp,def,5.8,kg/piece/day
2019,AFR,cattle-dairy_lp,def,1.2,kg/piece/day
2019,Middle East,cattle-dairy,def,5.9,kg/piece/day
2019,Middle East,cattle-dairy_hp,def,10.6,kg/piece/day
2019,Middle East,cattle-dairy_lp,def,3.6,kg/piece/day
2019,Indian Subcontinent,cattle-dairy,def,5.2,kg/piece/day
2019,Indian Subcontinent,cattle-dairy_hp,def,7.1,kg/piece/day
2019,Indian Subcontinent,cattle-dairy_lp,def,4.6,kg/piece/day
2019,Northern America,cattle-other_mature-fem,def,3.0,kg/piece/day
2019,Northern America,cattle-other_mature-mal,def,0.0,kg/piece/day
2019,Northern America,cattle-other_calve-milk,def,0.0,kg/piece/day
2019,Northern America,cattle-other_calve-forage,def,0.0,kg/piece/day
2019,Northern America,cattle-other_growing,def,0.0,kg/piece/day
2019,Northern America,cattle-other_replacement,def,0.0,kg/piece/day
2019,Northern America,cattle-other_feedlot,def,0.0,kg/piece/day
2019,Western Europe,cattle-other_mature-mal,def,0.0,kg/piece/day
2019,Western Europe,cattle-other_replacement,def,0.0,kg/piece/day
2019,Western Europe,cattle-other_calve-milk,def,0.0,kg/piece/day
2019,Western Europe,cattle-other_calve-forage,def,0.0,kg/piece/day
2019,Eastern Europe,cattle-other_mature-fem,def,3.0,kg/piece/day
2019,Eastern Europe,cattle-other_mature-mal,def,0.0,kg/piece/day
2019,Eastern Europe,cattle-other_replacement,def,0.0,kg/piece/day
2019,Eastern Europe,cattle-other_calve-forage,def,0.0,kg/piece/day
2019,AUS,cattle-other_mature-fem,def,1.7,kg/piece/day
2019,AUS,cattle-other_mature-mal,def,0.0,kg/piece/day
2019,AUS,cattle-other_calve-forage,def,0.0,kg/piece/day
2019,Latin America,cattle-other_mature-fem,def,2.0,kg/piece/day
2019,Latin America,cattle-other_mature-mal,def,0.0,kg/piece/day
2019,Latin America,cattle-other_growing,def,0.0,kg/piece/day
2019,Latin America,cattle-other_replacement,def,0.0,kg/piece/day
2019,Latin America,cattle-other_calve-milk,def,0.0,kg/piece/day
2019,Latin America,cattle-other_calve-forage,def,0.0,kg/piece/day
2019,Latin America,cattle-other_feedlot,def,0.0,kg/piece/day
2019,ASI,cattle-other_mature-fem,def,1.5,kg/piece/day
2019,ASI,cattle-other_mature-fem-grazing,def,1.4,kg/piece/day
2019,ASI,cattle-other_mature-mal,def,0.0,kg/piece/day
2019,ASI,cattle-other_mature-mal-grazing,def,0.0,kg/piece/day
2019,ASI,cattle-other_growing,def,0.0,kg/piece/day
2019,ASI,cattle-other_calve-forage,def,0.0,kg/piece/day
2019,AFR,cattle-other_mature-fem,def,2.4,kg/piece/day
2019,AFR,cattle-other_mature-fem-grazing,def,1.2,kg/piece/day
2019,AFR,cattle-other_mature-mal,def,0.0,kg/piece/day
2019,AFR,cattle-other_draftbullock,def,0.0,kg/piece/day
2019,AFR,cattle-other_bullgrazing,def,0.0,kg/piece/day
2019,AFR,cattle-other_growing,def,0.0,kg/piece/day
2019,AFR,cattle-other_calve-forage,def,0.0,kg/piece/day
2019,Middle East,cattle-other_mature-fem,def,2.4,kg/piece/day
2019,Middle East,cattle-other_mature-mal,def,0.0,kg/piece/day
2019,Middle East,cattle-other_replacement,def,0.0,kg/piece/day
2019,Middle East,cattle-other_calve-forage,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_mature-fem,def,1.7,kg/piece/day
2019,Indian Subcontinent,cattle-other_mature-mal,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_draftbullock,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_replacement,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_calve-forage,def,0.0,kg/piece/day
2019,Latin America,cattle-other_hp_mature-fem,def,2.7,kg/piece/day
2019,Latin America,cattle-other_hp_mature-mal,def,0.0,kg/piece/day
2019,Latin America,cattle-other_hp_growing,def,0.0,kg/piece/day
2019,Latin America,cattle-other_hp_replacement,def,0.0,kg/piece/day
2019,Latin America,cattle-other_hp_calve-milk,def,0.0,kg/piece/day
2019,Latin America,cattle-other_hp_calve-forage,def,0.0,kg/piece/day
2019,Latin America,cattle-other_hp_feedlot,def,0.0,kg/piece/day
2019,Latin America,cattle-other_lp_mature-fem,def,1.8,kg/piece/day
2019,Latin America,cattle-other_lp_mature-mal,def,0.0,kg/piece/day
2019,Latin America,cattle-other_lp_growing,def,0.0,kg/piece/day
2019,Latin America,cattle-other_lp_replacement,def,0.0,kg/piece/day
2019,Latin America,cattle-other_lp_calve-milk,def,0.0,kg/piece/day
2019,Latin America,cattle-other_lp_calve-forage,def,0.0,kg/piece/day
2019,ASI,cattle-other_hp_mature-fem,def,1.9,kg/piece/day
2019,ASI,cattle-other_hp_mature-mal,def,0.0,kg/piece/day
2019,ASI,cattle-other_hp_growing,def,0.0,kg/piece/day
2019,ASI,cattle-other_hp_calve-forage,def,0.0,kg/piece/day
2019,ASI,cattle-other_lp_mature-fem-farming,def,1.4,kg/piece/day
2019,ASI,cattle-other_lp_mature-fem-grazing,def,1.4,kg/piece/day
2019,ASI,cattle-other_lp_mature-mal-farming,def,0.0,kg/piece/day
2019,ASI,cattle-other_lp_mature-mal-grazing,def,0.0,kg/piece/day
2019,ASI,cattle-other_lp_growing,def,0.0,kg/piece/day
2019,ASI,cattle-other_lp_calve-forage,def,0.0,kg/piece/day
2019,AFR,cattle-other_hp_mature-fem,def,2.9,kg/piece/day
2019,AFR,cattle-other_hp_mature-mal,def,0.0,kg/piece/day
2019,AFR,cattle-other_hp_growing,def,0.0,kg/piece/day
2019,AFR,cattle-other_hp_calve-forage,def,0.0,kg/piece/day
2019,AFR,cattle-other_lp_mature-fem,def,1.2,kg/piece/day
2019,AFR,cattle-other_lp_mature-fem-grazing,def,1.2,kg/piece/day
2019,AFR,cattle-other_lp_draftbullock,def,0.0,kg/piece/day
2019,AFR,cattle-other_lp_bullgrazing,def,0.0,kg/piece/day
2019,AFR,cattle-other_lp_growing,def,0.0,kg/piece/day
2019,AFR,cattle-other_lp_calve-forage,def,0.0,kg/piece/day
2019,Middle East,cattle-other_hp_mature-fem,def,2.8,kg/piece/day
2019,Middle East,cattle-other_hp_mature-mal,def,0.0,kg/piece/day
2019,Middle East,cattle-other_hp_replacement,def,0.0,kg/piece/day
2019,Middle East,cattle-other_hp_calve-forage,def,0.0,kg/piece/day
2019,Middle East,cattle-other_lp_mature-fem,def,2.3,kg/piece/day
2019,Middle East,cattle-other_lp_mature-mal,def,0.0,kg/piece/day
2019,Middle East,cattle-other_lp_replacement,def,0.0,kg/piece/day
2019,Middle East,cattle-other_lp_calve-forage,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_hp_mature-fem,def,2.5,kg/piece/day
2019,Indian Subcontinent,cattle-other_hp_mature-mal,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_hp_replacement,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_hp_calve-forage,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_lp_mature-fem,def,1.7,kg/piece/day
2019,Indian Subcontinent,cattle-other_lp_mature-mal,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_lp_draftbullock,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_lp_replacement,def,0.0,kg/piece/day
2019,Indian Subcontinent,cattle-other_lp_calve-forage,def,0.0,kg/piece/day
2019,Western Europe,buffalo-nondairy_mature-male,def,0.0,kg/piece/day
2019,Western Europe,buffalo-dairy,def,3.0,kg/piece/day
2019,Western Europe,buffalo-nondairy_growing,def,0.0,kg/piece/day
2019,Western Europe,buffalo-nondairy_calve,def,0.0,kg/piece/day
2019,Eastern Europe,buffalo-nondairy_mature-male,def,0.0,kg/piece/day
2019,Eastern Europe,buffalo-dairy,def,4.0,kg/piece/day
2019,Eastern Europe,buffalo-nondairy_growing,def,0.0,kg/piece/day
2019,Eastern Europe,buffalo-nondairy_calve,def,0.0,kg/piece/day
