feeding_situation,property,value,unit
stall,def,0.0,MJ/MJ
pasture,def,0.17,MJ/MJ
grazing-large-area,def,0.36,MJ/MJ
stall,min,0.000,MJ/MJ
pasture,min,0.136,MJ/MJ
grazing-large-area,min,0.288,MJ/MJ
stall,max,0.000,MJ/MJ
pasture,max,0.204,MJ/MJ
grazing-large-area,max,0.432,MJ/MJ
stall,abs_min,0.0,MJ/MJ
pasture,abs_min,0.0,MJ/MJ
grazing-large-area,abs_min,0.0,MJ/MJ
stall,abs_max,1.0,MJ/MJ
pasture,abs_max,1.0,MJ/MJ
grazing-large-area,abs_max,1.0,MJ/MJ
