activity,climate_zone,moisture_regime,property,value,unit
lagoon,temperate-cool,moist,def,0.6,kg/kg
lagoon,temperate-cool,dry,def,0.67,kg/kg
lagoon,boreal,moist,def,0.5,kg/kg
lagoon,boreal,dry,def,0.49,kg/kg
lagoon,temperate-warm,moist,def,0.73,kg/kg
lagoon,temperate-warm,dry,def,0.76,kg/kg
lagoon,tropical-montane,undefined,def,0.76,kg/kg
lagoon,tropical,wet,def,0.8,kg/kg
lagoon,tropical,moist,def,0.8,kg/kg
lagoon,tropical,dry,def,0.8,kg/kg
liquid-slurry-naturalcover,temperate-cool,moist,def,0.15,kg/kg
liquid-slurry-naturalcover,temperate-cool,dry,def,0.19,kg/kg
liquid-slurry-naturalcover,boreal,moist,def,0.09,kg/kg
liquid-slurry-naturalcover,boreal,dry,def,0.09,kg/kg
liquid-slurry-naturalcover,temperate-warm,moist,def,0.29,kg/kg
liquid-slurry-naturalcover,temperate-warm,dry,def,0.32,kg/kg
liquid-slurry-naturalcover,tropical-montane,undefined,def,0.5,kg/kg
liquid-slurry-naturalcover,tropical,wet,def,0.67,kg/kg
liquid-slurry-naturalcover,tropical,moist,def,0.64,kg/kg
liquid-slurry-naturalcover,tropical,dry,def,0.68,kg/kg
liquid-slurry-nocover,temperate-cool,moist,def,0.15,kg/kg
liquid-slurry-nocover,temperate-cool,dry,def,0.19,kg/kg
liquid-slurry-nocover,boreal,moist,def,0.09,kg/kg
liquid-slurry-nocover,boreal,dry,def,0.09,kg/kg
liquid-slurry-nocover,temperate-warm,moist,def,0.29,kg/kg
liquid-slurry-nocover,temperate-warm,dry,def,0.32,kg/kg
liquid-slurry-nocover,tropical-montane,undefined,def,0.5,kg/kg
liquid-slurry-nocover,tropical,wet,def,0.67,kg/kg
liquid-slurry-nocover,tropical,moist,def,0.64,kg/kg
liquid-slurry-nocover,tropical,dry,def,0.68,kg/kg
liquid-slurry-cover,temperate-cool,moist,def,0.15,kg/kg
liquid-slurry-cover,temperate-cool,dry,def,0.19,kg/kg
liquid-slurry-cover,boreal,moist,def,0.09,kg/kg
liquid-slurry-cover,boreal,dry,def,0.09,kg/kg
liquid-slurry-cover,temperate-warm,moist,def,0.29,kg/kg
liquid-slurry-cover,temperate-warm,dry,def,0.32,kg/kg
liquid-slurry-cover,tropical-montane,undefined,def,0.5,kg/kg
liquid-slurry-cover,tropical,wet,def,0.67,kg/kg
liquid-slurry-cover,tropical,moist,def,0.64,kg/kg
liquid-slurry-cover,tropical,dry,def,0.68,kg/kg
pit-short,temperate-cool,moist,def,0.06,kg/kg
pit-short,temperate-cool,dry,def,0.08,kg/kg
pit-short,boreal,moist,def,0.04,kg/kg
pit-short,boreal,dry,def,0.04,kg/kg
pit-short,temperate-warm,moist,def,0.13,kg/kg
