product,property,value,unit
cattle-dairy,min,0.309,MJ/day/kg
cattle-other,min,0.258,MJ/day/kg
cattle-other_mature-fem,min,0.258,MJ/day/kg
cattle-other_mature-mal,min,0.296,MJ/day/kg
cattle-other_calve-milk,min,0.258,MJ/day/kg
cattle-other_calve-forage,min,0.258,MJ/day/kg
cattle-other_growing,min,0.258,MJ/day/kg
cattle-other_feedlot,min,0.258,MJ/day/kg
cattle-other_draftbullock,min,0.296,MJ/day/kg
cattle-other_bullgrazing,min,0.296,MJ/day/kg
cattle-other_replacement,min,0.258,MJ/day/kg
cattle-other_hp_mature-fem,min,0.258,MJ/day/kg
cattle-other_hp_mature-mal,min,0.296,MJ/day/kg
cattle-other_hp_calve-milk,min,0.258,MJ/day/kg
cattle-other_hp_calve-forage,min,0.258,MJ/day/kg
cattle-other_hp_growing,min,0.258,MJ/day/kg
cattle-other_hp_feedlot,min,0.258,MJ/day/kg
cattle-other_hp_draftbullock,min,0.296,MJ/day/kg
cattle-other_hp_bullgrazing,min,0.296,MJ/day/kg
cattle-other_hp_replacement,min,0.258,MJ/day/kg
cattle-other_lp_mature-fem,min,0.258,MJ/day/kg
cattle-other_lp_mature-mal,min,0.296,MJ/day/kg
cattle-other_lp_calve-milk,min,0.258,MJ/day/kg
cattle-other_lp_calve-forage,min,0.258,MJ/day/kg
cattle-other_lp_growing,min,0.258,MJ/day/kg
cattle-other_lp_feedlot,min,0.258,MJ/day/kg
cattle-other_lp_draftbullock,min,0.296,MJ/day/kg
cattle-other_lp_bullgrazing,min,0.296,MJ/day/kg
cattle-other_lp_replacement,min,0.258,MJ/day/kg
buffalo-dairy,min,0.309,MJ/day/kg
buffalo-nondairy,min,0.258,MJ/day/kg
buffalo-nondairy_mature-male,min,0.296,MJ/day/kg
buffalo-nondairy_male-working,min,0.296,MJ/day/kg
buffalo-nondairy_male-breeding,min,0.296,MJ/day/kg
buffalo-nondairy_growing,min,0.258,MJ/day/kg
buffalo-nondairy_calve,min,0.258,MJ/day/kg
sheep-mature,min,0.174,MJ/day/kg
goat,min,0.252,MJ/day/kg
cattle-dairy,max,0.463,MJ/day/kg
cattle-other,max,0.386,MJ/day/kg
cattle-other_mature-fem,max,0.386,MJ/day/kg
cattle-other_mature-mal,max,0.444,MJ/day/kg
cattle-other_calve-milk,max,0.386,MJ/day/kg
cattle-other_calve-forage,max,0.386,MJ/day/kg
cattle-other_growing,max,0.386,MJ/day/kg
cattle-other_feedlot,max,0.386,MJ/day/kg
cattle-other_draftbullock,max,0.444,MJ/day/kg
cattle-other_bullgrazing,max,0.444,MJ/day/kg
cattle-other_replacement,max,0.386,MJ/day/kg
cattle-other_hp_mature-fem,max,0.386,MJ/day/kg
cattle-other_hp_mature-mal,max,0.444,MJ/day/kg
cattle-other_hp_calve-milk,max,0.386,MJ/day/kg
cattle-other_hp_calve-forage,max,0.386,MJ/day/kg
cattle-other_hp_growing,max,0.386,MJ/day/kg
cattle-other_hp_feedlot,max,0.386,MJ/day/kg
cattle-other_hp_draftbullock,max,0.444,MJ/day/kg
cattle-other_hp_bullgrazing,max,0.444,MJ/day/kg
cattle-other_hp_replacement,max,0.386,MJ/day/kg
cattle-other_lp_mature-fem,max,0.386,MJ/day/kg
cattle-other_lp_mature-mal,max,0.444,MJ/day/kg
cattle-other_lp_calve-milk,max,0.386,MJ/day/kg
cattle-other_lp_calve-forage,max,0.386,MJ/day/kg
cattle-other_lp_growing,max,0.386,MJ/day/kg
cattle-other_lp_feedlot,max,0.386,MJ/day/kg
cattle-other_lp_draftbullock,max,0.444,MJ/day/kg
cattle-other_lp_bullgrazing,max,0.444,MJ/day/kg
cattle-other_lp_replacement,max,0.386,MJ/day/kg
buffalo-dairy,max,0.463,MJ/day/kg
buffalo-nondairy,max,0.386,MJ/day/kg
buffalo-nondairy_mature-male,max,0.444,MJ/day/kg
buffalo-nondairy_male-working,max,0.444,MJ/day/kg
buffalo-nondairy_male-breeding,max,0.444,MJ/day/kg
buffalo-nondairy_growing,max,0.386,MJ/day/kg
buffalo-nondairy_calve,max,0.386,MJ/day/kg
sheep-mature,max,0.260,MJ/day/kg
goat,max,0.378,MJ/day/kg
cattle-dairy,abs_min,0.0,MJ/day/kg
cattle-other,abs_min,0.0,MJ/day/kg
cattle-other_mature-fem,abs_min,0.0,MJ/day/kg
cattle-other_mature-mal,abs_min,0.0,MJ/day/kg
cattle-other_calve-milk,abs_min,0.0,MJ/day/kg
cattle-other_calve-forage,abs_min,0.0,MJ/day/kg
cattle-other_growing,abs_min,0.0,MJ/day/kg
cattle-other_feedlot,abs_min,0.0,MJ/day/kg
cattle-other_draftbullock,abs_min,0.0,MJ/day/kg
cattle-other_bullgrazing,abs_min,0.0,MJ/day/kg
cattle-other_replacement,abs_min,0.0,MJ/day/kg
cattle-other_hp_mature-fem,abs_min,0.0,MJ/day/kg
cattle-other_hp_mature-mal,abs_min,0.0,MJ/day/kg
cattle-other_hp_calve-milk,abs_min,0.0,MJ/day/kg
cattle-other_hp_calve-forage,abs_min,0.0,MJ/day/kg
cattle-other_hp_growing,abs_min,0.0,MJ/day/kg
cattle-other_hp_feedlot,abs_min,0.0,MJ/day/kg
cattle-other_hp_draftbullock,abs_min,0.0,MJ/day/kg
cattle-other_hp_bullgrazing,abs_min,0.0,MJ/day/kg
cattle-other_hp_replacement,abs_min,0.0,MJ/day/kg
cattle-other_lp_mature-fem,abs_min,0.0,MJ/day/kg
cattle-other_lp_mature-mal,abs_min,0.0,MJ/day/kg
cattle-other_lp_calve-milk,abs_min,0.0,MJ/day/kg
cattle-other_lp_calve-forage,abs_min,0.0,MJ/day/kg
cattle-other_lp_growing,abs_min,0.0,MJ/day/kg
cattle-other_lp_feedlot,abs_min,0.0,MJ/day/kg
cattle-other_lp_draftbullock,abs_min,0.0,MJ/day/kg
cattle-other_lp_bullgrazing,abs_min,0.0,MJ/day/kg
cattle-other_lp_replacement,abs_min,0.0,MJ/day/kg
buffalo-dairy,abs_min,0.0,MJ/day/kg
buffalo-nondairy,abs_min,0.0,MJ/day/kg
buffalo-nondairy_mature-male,abs_min,0.0,MJ/day/kg
buffalo-nondairy_male-working,abs_min,0.0,MJ/day/kg
buffalo-nondairy_male-breeding,abs_min,0.0,MJ/day/kg
buffalo-nondairy_growing,abs_min,0.0,MJ/day/kg
buffalo-nondairy_calve,abs_min,0.0,MJ/day/kg
sheep-mature,abs_min,0.0,MJ/day/kg
goat,abs_min,0.0,MJ/day/kg
cattle-dairy,abs_max,inf,MJ/day/kg
cattle-other,abs_max,inf,MJ/day/kg
cattle-other_mature-fem,abs_max,inf,MJ/day/kg
cattle-other_mature-mal,abs_max,inf,MJ/day/kg
cattle-other_calve-milk,abs_max,inf,MJ/day/kg
cattle-other_calve-forage,abs_max,inf,MJ/day/kg
cattle-other_growing,abs_max,inf,MJ/day/kg
cattle-other_feedlot,abs_max,inf,MJ/day/kg
cattle-other_draftbullock,abs_max,inf,MJ/day/kg
cattle-other_bullgrazing,abs_max,inf,MJ/day/kg
cattle-other_replacement,abs_max,inf,MJ/day/kg
cattle-other_hp_mature-fem,abs_max,inf,MJ/day/kg
cattle-other_hp_mature-mal,abs_max,inf,MJ/day/kg
cattle-other_hp_calve-milk,abs_max,inf,MJ/day/kg
cattle-other_hp_calve-forage,abs_max,inf,MJ/day/kg
cattle-other_hp_growing,abs_max,inf,MJ/day/kg
cattle-other_hp_feedlot,abs_max,inf,MJ/day/kg
cattle-other_hp_draftbullock,abs_max,inf,MJ/day/kg
cattle-other_hp_bullgrazing,abs_max,inf,MJ/day/kg
cattle-other_hp_replacement,abs_max,inf,MJ/day/kg
cattle-other_lp_mature-fem,abs_max,inf,MJ/day/kg
cattle-other_lp_mature-mal,abs_max,inf,MJ/day/kg
cattle-other_lp_calve-milk,abs_max,inf,MJ/day/kg
cattle-other_lp_calve-forage,abs_max,inf,MJ/day/kg
cattle-other_lp_growing,abs_max,inf,MJ/day/kg
cattle-other_lp_feedlot,abs_max,inf,MJ/day/kg
cattle-other_lp_draftbullock,abs_max,inf,MJ/day/kg
cattle-other_lp_bullgrazing,abs_max,inf,MJ/day/kg
cattle-other_lp_replacement,abs_max,inf,MJ/day/kg
buffalo-dairy,abs_max,inf,MJ/day/kg
buffalo-nondairy,abs_max,inf,MJ/day/kg
buffalo-nondairy_mature-male,abs_max,inf,MJ/day/kg
buffalo-nondairy_male-working,abs_max,inf,MJ/day/kg
buffalo-nondairy_male-breeding,abs_max,inf,MJ/day/kg
buffalo-nondairy_growing,abs_max,inf,MJ/day/kg
buffalo-nondairy_calve,abs_max,inf,MJ/day/kg
sheep-mature,abs_max,inf,MJ/day/kg
goat,abs_max,inf,MJ/day/kg
