product,property,value,unit
cattle-dairy,def,0.386,MJ/day/kg
cattle-other,def,0.322,MJ/day/kg
cattle-other_mature-fem,def,0.322,MJ/day/kg
cattle-other_mature-mal,def,0.37,MJ/day/kg
cattle-other_calve-milk,def,0.322,MJ/day/kg
cattle-other_calve-forage,def,0.322,MJ/day/kg
cattle-other_growing,def,0.322,MJ/day/kg
cattle-other_feedlot,def,0.322,MJ/day/kg
cattle-other_draftbullock,def,0.37,MJ/day/kg
cattle-other_bullgrazing,def,0.37,MJ/day/kg
cattle-other_replacement,def,0.322,MJ/day/kg
cattle-other_hp_mature-fem,def,0.322,MJ/day/kg
cattle-other_hp_mature-mal,def,0.37,MJ/day/kg
cattle-other_hp_calve-milk,def,0.322,MJ/day/kg
cattle-other_hp_calve-forage,def,0.322,MJ/day/kg
cattle-other_hp_growing,def,0.322,MJ/day/kg
cattle-other_hp_feedlot,def,0.322,MJ/day/kg
cattle-other_hp_draftbullock,def,0.37,MJ/day/kg
cattle-other_hp_bullgrazing,def,0.37,MJ/day/kg
cattle-other_hp_replacement,def,0.322,MJ/day/kg
cattle-other_lp_mature-fem,def,0.322,MJ/day/kg
cattle-other_lp_mature-mal,def,0.37,MJ/day/kg
cattle-other_lp_calve-milk,def,0.322,MJ/day/kg
cattle-other_lp_calve-forage,def,0.322,MJ/day/kg
cattle-other_lp_growing,def,0.322,MJ/day/kg
cattle-other_lp_feedlot,def,0.322,MJ/day/kg
cattle-other_lp_draftbullock,def,0.37,MJ/day/kg
cattle-other_lp_bullgrazing,def,0.37,MJ/day/kg
cattle-other_lp_replacement,def,0.322,MJ/day/kg
buffalo-dairy,def,0.386,MJ/day/kg
buffalo-nondairy,def,0.322,MJ/day/kg
buffalo-nondairy_mature-male,def,0.37,MJ/day/kg
buffalo-nondairy_male-working,def,0.37,MJ/day/kg
buffalo-nondairy_male-breeding,def,0.37,MJ/day/kg
buffalo-nondairy_growing,def,0.322,MJ/day/kg
buffalo-nondairy_calve,def,0.322,MJ/day/kg
sheep-mature,def,0.217,MJ/day/kg
goat,def,0.315,MJ/day/kg
