product,property,value,unit
cattle,def,0.1,piece/piece
buffalo,def,0.1,piece/piece
sheep,def,0.077,piece/piece
goat,def,0.077,piece/piece
cattle,min,0.08,piece/piece
buffalo,min,0.08,piece/piece
sheep,min,0.06,piece/piece
goat,min,0.06,piece/piece
cattle,max,0.12,piece/piece
buffalo,max,0.12,piece/piece
sheep,max,0.09,piece/piece
goat,max,0.09,piece/piece
cattle,abs_min,0.0,piece/piece
buffalo,abs_min,0.0,piece/piece
sheep,abs_min,0.0,piece/piece
goat,abs_min,0.0,piece/piece
cattle,abs_max,inf,piece/piece
buffalo,abs_max,inf,piece/piece
sheep,abs_max,inf,piece/piece
goat,abs_max,inf,piece/piece
