product,property,value,unit
deer,def,0.22,kg/piece/year
reindeer,def,0.36,kg/piece/year
rabbit,def,0.08,kg/piece/year
furbearing_mink,def,0.68,kg/piece/year
furbearing_fox,def,0.68,kg/piece/year
ostrich,def,5.67,kg/piece/year
deer,min,0.154,kg/piece/year
reindeer,min,0.252,kg/piece/year
rabbit,min,0.056,kg/piece/year
furbearing_mink,min,0.476,kg/piece/year
furbearing_fox,min,0.476,kg/piece/year
ostrich,min,3.969,kg/piece/year
deer,max,0.286,kg/piece/year
reindeer,max,0.468,kg/piece/year
rabbit,max,0.104,kg/piece/year
furbearing_mink,max,0.884,kg/piece/year
furbearing_fox,max,0.884,kg/piece/year
ostrich,max,7.371,kg/piece/year
deer,abs_min,0.0,kg/piece/year
reindeer,abs_min,0.0,kg/piece/year
rabbit,abs_min,0.0,kg/piece/year
furbearing_mink,abs_min,0.0,kg/piece/year
furbearing_fox,abs_min,0.0,kg/piece/year
ostrich,abs_min,0.0,kg/piece/year
deer,abs_max,inf,kg/piece/year
reindeer,abs_max,inf,kg/piece/year
rabbit,abs_max,inf,kg/piece/year
furbearing_mink,abs_max,inf,kg/piece/year
furbearing_fox,abs_max,inf,kg/piece/year
ostrich,abs_max,inf,kg/piece/year
