moisture_regime,property,value,unit
wet,def,0.014,kg/kg
wet,min,0.011,kg/kg
wet,max,0.017,kg/kg
wet,abs_min,0.0,kg/kg
wet,abs_max,1.0,kg/kg
dry,def,0.005,kg/kg
dry,min,0.0,kg/kg
dry,max,0.011,kg/kg
dry,abs_min,0.0,kg/kg
dry,abs_max,1.0,kg/kg
