year,region,product,property,value,unit
2019,Northern America,cattle-dairy,def,650.0,kg/piece
2019,Western Europe,cattle-dairy,def,600.0,kg/piece
2019,Eastern Europe,cattle-dairy,def,550.0,kg/piece
2019,AUS,cattle-dairy,def,488.0,kg/piece
2019,Latin America,cattle-dairy,def,508.0,kg/piece
2019,Latin America,cattle-dairy_hp,def,520.0,kg/piece
2019,Latin America,cattle-dairy_lp,def,500.0,kg/piece
2019,ASI,cattle-dairy,def,386.0,kg/piece
2019,ASI,cattle-dairy_hp,def,485.0,kg/piece
2019,ASI,cattle-dairy_lp,def,355.0,kg/piece
2019,AFR,cattle-dairy,def,260.0,kg/piece
2019,AFR,cattle-dairy_hp,def,250.0,kg/piece
2019,AFR,cattle-dairy_lp,def,270.0,kg/piece
2019,Middle East,cattle-dairy,def,349.0,kg/piece
2019,Middle East,cattle-dairy_hp,def,510.0,kg/piece
2019,Middle East,cattle-dairy_lp,def,270.0,kg/piece
2019,Indian Subcontinent,cattle-dairy,def,285.0,kg/piece
2019,Indian Subcontinent,cattle-dairy_hp,def,350.0,kg/piece
2019,Indian Subcontinent,cattle-dairy_lp,def,265.0,kg/piece
2019,Northern America,cattle-other_mature-fem,def,580.0,kg/piece
2019,Northern America,cattle-other_mature-mal,def,820.0,kg/piece
2019,Northern America,cattle-other_calve-milk,def,700.0,kg/piece
2019,Northern America,cattle-other_calve-forage,def,700.0,kg/piece
2019,Northern America,cattle-other_growing,def,700.0,kg/piece
2019,Northern America,cattle-other_replacement,def,700.0,kg/piece
2019,Northern America,cattle-other_feedlot,def,700.0,kg/piece
2019,Western Europe,cattle-other_mature-mal,def,600.0,kg/piece
2019,Western Europe,cattle-other_replacement,def,600.0,kg/piece
2019,Western Europe,cattle-other_calve-milk,def,600.0,kg/piece
2019,Western Europe,cattle-other_calve-forage,def,600.0,kg/piece
2019,Eastern Europe,cattle-other_mature-fem,def,500.0,kg/piece
2019,Eastern Europe,cattle-other_mature-mal,def,600.0,kg/piece
2019,Eastern Europe,cattle-other_replacement,def,550.0,kg/piece
2019,Eastern Europe,cattle-other_calve-forage,def,550.0,kg/piece
2019,AUS,cattle-other_mature-fem,def,416.0,kg/piece
2019,AUS,cattle-other_mature-mal,def,467.0,kg/piece
2019,AUS,cattle-other_calve-forage,def,440.0,kg/piece
2019,Latin America,cattle-other_mature-fem,def,435.0,kg/piece
2019,Latin America,cattle-other_mature-mal,def,582.0,kg/piece
2019,Latin America,cattle-other_growing,def,505.0,kg/piece
2019,Latin America,cattle-other_replacement,def,505.0,kg/piece
2019,Latin America,cattle-other_calve-milk,def,505.0,kg/piece
2019,Latin America,cattle-other_calve-forage,def,505.0,kg/piece
2019,Latin America,cattle-other_feedlot,def,505.0,kg/piece
2019,ASI,cattle-other_mature-fem,def,376.0,kg/piece
2019,ASI,cattle-other_mature-fem-grazing,def,305.0,kg/piece
2019,ASI,cattle-other_mature-mal,def,501.0,kg/piece
2019,ASI,cattle-other_mature-mal-grazing,def,430.0,kg/piece
2019,ASI,cattle-other_growing,def,450.0,kg/piece
2019,ASI,cattle-other_calve-forage,def,450.0,kg/piece
2019,AFR,cattle-other_mature-fem,def,356.0,kg/piece
2019,AFR,cattle-other_mature-fem-grazing,def,275.0,kg/piece
2019,AFR,cattle-other_mature-mal,def,540.0,kg/piece
2019,AFR,cattle-other_draftbullock,def,540.0,kg/piece
2019,AFR,cattle-other_bullgrazing,def,540.0,kg/piece
2019,AFR,cattle-other_growing,def,320.0,kg/piece
2019,AFR,cattle-other_calve-forage,def,320.0,kg/piece
2019,Middle East,cattle-other_mature-fem,def,372.0,kg/piece
2019,Middle East,cattle-other_mature-mal,def,519.0,kg/piece
2019,Middle East,cattle-other_replacement,def,372.0,kg/piece
2019,Middle East,cattle-other_calve-forage,def,450.0,kg/piece
2019,Indian Subcontinent,cattle-other_mature-fem,def,253.0,kg/piece
2019,Indian Subcontinent,cattle-other_mature-mal,def,309.0,kg/piece
2019,Indian Subcontinent,cattle-other_draftbullock,def,309.0,kg/piece
2019,Indian Subcontinent,cattle-other_replacement,def,253.0,kg/piece
2019,Indian Subcontinent,cattle-other_calve-forage,def,350.0,kg/piece
2019,Latin America,cattle-other_hp_mature-fem,def,490.0,kg/piece
2019,Latin America,cattle-other_hp_mature-mal,def,595.0,kg/piece
2019,Latin America,cattle-other_hp_growing,def,540.0,kg/piece
2019,Latin America,cattle-other_hp_replacement,def,490.0,kg/piece
2019,Latin America,cattle-other_hp_calve-milk,def,540.0,kg/piece
2019,Latin America,cattle-other_hp_calve-forage,def,540.0,kg/piece
2019,Latin America,cattle-other_hp_feedlot,def,540.0,kg/piece
2019,Latin America,cattle-other_lp_mature-fem,def,420.0,kg/piece
2019,Latin America,cattle-other_lp_mature-mal,def,580.0,kg/piece
2019,Latin America,cattle-other_lp_growing,def,500.0,kg/piece
2019,Latin America,cattle-other_lp_replacement,def,420.0,kg/piece
2019,Latin America,cattle-other_lp_calve-milk,def,500.0,kg/piece
2019,Latin America,cattle-other_lp_calve-forage,def,500.0,kg/piece
2019,ASI,cattle-other_hp_mature-fem,def,450.0,kg/piece
2019,ASI,cattle-other_hp_mature-mal,def,550.0,kg/piece
2019,ASI,cattle-other_hp_growing,def,500.0,kg/piece
2019,ASI,cattle-other_hp_calve-forage,def,500.0,kg/piece
2019,ASI,cattle-other_lp_mature-fem-farming,def,350.0,kg/piece
2019,ASI,cattle-other_lp_mature-fem-grazing,def,305.0,kg/piece
2019,ASI,cattle-other_lp_mature-mal-farming,def,500.0,kg/piece
2019,ASI,cattle-other_lp_mature-mal-grazing,def,430.0,kg/piece
2019,ASI,cattle-other_lp_growing,def,400.0,kg/piece
2019,ASI,cattle-other_lp_calve-forage,def,400.0,kg/piece
2019,AFR,cattle-other_hp_mature-fem,def,390.0,kg/piece
2019,AFR,cattle-other_hp_mature-mal,def,540.0,kg/piece
2019,AFR,cattle-other_hp_growing,def,470.0,kg/piece
2019,AFR,cattle-other_hp_calve-forage,def,470.0,kg/piece
2019,AFR,cattle-other_lp_mature-fem,def,275.0,kg/piece
2019,AFR,cattle-other_lp_mature-fem-grazing,def,275.0,kg/piece
2019,AFR,cattle-other_lp_draftbullock,def,540.0,kg/piece
2019,AFR,cattle-other_lp_bullgrazing,def,540.0,kg/piece
2019,AFR,cattle-other_lp_growing,def,440.0,kg/piece
2019,AFR,cattle-other_lp_calve-forage,def,440.0,kg/piece
2019,Middle East,cattle-other_hp_mature-fem,def,500.0,kg/piece
2019,Middle East,cattle-other_hp_mature-mal,def,600.0,kg/piece
2019,Middle East,cattle-other_hp_replacement,def,500.0,kg/piece
2019,Middle East,cattle-other_hp_calve-forage,def,550.0,kg/piece
2019,Middle East,cattle-other_lp_mature-fem,def,330.0,kg/piece
2019,Middle East,cattle-other_lp_mature-mal,def,450.0,kg/piece
2019,Middle East,cattle-other_lp_replacement,def,330.0,kg/piece
2019,Middle East,cattle-other_lp_calve-forage,def,400.0,kg/piece
2019,Indian Subcontinent,cattle-other_hp_mature-fem,def,300.0,kg/piece
2019,Indian Subcontinent,cattle-other_hp_mature-mal,def,330.0,kg/piece
2019,Indian Subcontinent,cattle-other_hp_replacement,def,300.0,kg/piece
2019,Indian Subcontinent,cattle-other_hp_calve-forage,def,315.0,kg/piece
2019,Indian Subcontinent,cattle-other_lp_mature-fem,def,250.0,kg/piece
2019,Indian Subcontinent,cattle-other_lp_mature-mal,def,290.0,kg/piece
2019,Indian Subcontinent,cattle-other_lp_draftbullock,def,290.0,kg/piece
2019,Indian Subcontinent,cattle-other_lp_replacement,def,250.0,kg/piece
2019,Indian Subcontinent,cattle-other_lp_calve-forage,def,315.0,kg/piece
2019,Western Europe,buffalo-nondairy_mature-male,def,700.0,kg/piece
2019,Western Europe,buffalo-dairy,def,615.0,kg/piece
2019,Western Europe,buffalo-nondairy_growing,def,700.0,kg/piece
2019,Western Europe,buffalo-nondairy_calve,def,700.0,kg/piece
2019,Eastern Europe,buffalo-nondairy_mature-male,def,650.0,kg/piece
2019,Eastern Europe,buffalo-dairy,def,550.0,kg/piece
2019,Eastern Europe,buffalo-nondairy_growing,def,650.0,kg/piece
2019,Eastern Europe,buffalo-nondairy_calve,def,650.0,kg/piece
2019,Latin America,buffalo-nondairy_mature-male,def,650.0,kg/piece
