year,region,activity,property,value,unit
2016,World,csr_a_natural_gas,def,0.539,t/t
2016,World,csr_a_natural_gas,min,0.3773,t/t
2016,World,csr_a_natural_gas,max,0.7007,t/t
2016,World,csr_a_natural_gas,abs_min,0.0,t/t
2016,World,csr_a_natural_gas,abs_max,inf,t/t
2016,World,csr_a_coke_oven_gas,def,0.47,t/t
2016,World,csr_a_coke_oven_gas,min,0.329,t/t
2016,World,csr_a_coke_oven_gas,max,0.611,t/t
2016,World,csr_a_coke_oven_gas,abs_min,0.0,t/t
2016,World,csr_a_coke_oven_gas,abs_max,inf,t/t
2016,World,csr_a_light_fuel_oil,def,0.0,t/t
2016,World,csr_a_light_fuel_oil,min,0,t/t
2016,World,csr_a_light_fuel_oil,max,0.0,t/t
2016,World,csr_a_light_fuel_oil,abs_min,0.0,t/t
2016,World,csr_a_light_fuel_oil,abs_max,inf,t/t
2016,World,csr_a_heavy_fuel_oil,def,0.0,t/t
2016,World,csr_a_heavy_fuel_oil,min,0,t/t
2016,World,csr_a_heavy_fuel_oil,max,0.0,t/t
2016,World,csr_a_heavy_fuel_oil,abs_min,0.0,t/t
2016,World,csr_a_heavy_fuel_oil,abs_max,inf,t/t
2016,World,csr_b_natural_gas,def,0,t/t
2016,World,csr_b_natural_gas,min,0,t/t
2016,World,csr_b_natural_gas,max,0,t/t
2016,World,csr_b_natural_gas,abs_min,0.0,t/t
2016,World,csr_b_natural_gas,abs_max,inf,t/t
2016,World,csr_c1_natural_gas,def,0,t/t
2016,World,csr_c1_natural_gas,min,0,t/t
2016,World,csr_c1_natural_gas,max,0,t/t
2016,World,csr_c1_natural_gas,abs_min,0.0,t/t
2016,World,csr_c1_natural_gas,abs_max,inf,t/t
2016,World,csr_c1_natural_gas_co2,def,0.0,t/t
2016,World,csr_c1_natural_gas_co2,min,0,t/t
2016,World,csr_c1_natural_gas_co2,max,0.0,t/t
2016,World,csr_c1_natural_gas_co2,abs_min,0.0,t/t
2016,World,csr_c1_natural_gas_co2,abs_max,inf,t/t
2016,World,csr_c2_natural_gas,def,0,t/t
2016,World,csr_c2_natural_gas,min,0,t/t
2016,World,csr_c2_natural_gas,max,0,t/t
2016,World,csr_c2_natural_gas,abs_min,0.0,t/t
2016,World,csr_c2_natural_gas,abs_max,inf,t/t
2016,World,csr_c3_natural_gas,def,0,t/t
2016,World,csr_c3_natural_gas,min,0,t/t
2016,World,csr_c3_natural_gas,max,0,t/t
2016,World,csr_c3_natural_gas,abs_min,0.0,t/t
2016,World,csr_c3_natural_gas,abs_max,inf,t/t
2016,World,csr_c4_natural_gas,def,0,t/t
2016,World,csr_c4_natural_gas,min,0,t/t
2016,World,csr_c4_natural_gas,max,0,t/t
2016,World,csr_c4_natural_gas,abs_min,0.0,t/t
2016,World,csr_c4_natural_gas,abs_max,inf,t/t
2016,World,csr_w_nh3_natural_gas,def,0,t/t
2016,World,csr_w_nh3_natural_gas,min,0,t/t
2016,World,csr_w_nh3_natural_gas,max,0,t/t
2016,World,csr_w_nh3_natural_gas,abs_min,0.0,t/t
2016,World,csr_w_nh3_natural_gas,abs_max,inf,t/t
2016,World,atr_natural_gas,def,0,t/t
2016,World,atr_natural_gas,min,0,t/t
2016,World,atr_natural_gas,max,0,t/t
2016,World,atr_natural_gas,abs_min,0.0,t/t
2016,World,atr_natural_gas,abs_max,inf,t/t
2016,World,atr_naphtha,def,0.0,t/t
2016,World,atr_naphtha,min,0,t/t
2016,World,atr_naphtha,max,0.0,t/t
2016,World,atr_naphtha,abs_min,0.0,t/t
2016,World,atr_naphtha,abs_max,inf,t/t
2016,World,atr_lng,def,0.0,t/t
2016,World,atr_lng,min,0,t/t
2016,World,atr_lng,max,0.0,t/t
2016,World,atr_lng,abs_min,0.0,t/t
2016,World,atr_lng,abs_max,inf,t/t
2006,World,pox_anthracite,def,10.54,t/t
2006,World,pox_anthracite,min,7.378,t/t
2006,World,pox_anthracite,max,13.702,t/t
2006,World,pox_anthracite,abs_min,0.0,t/t
2006,World,pox_anthracite,abs_max,inf,t/t
2016,World,pox_anthracite,def,3.65,t/t
2016,World,pox_anthracite,min,2.56,t/t
2016,World,pox_anthracite,max,4.75,t/t
2016,World,pox_anthracite,abs_min,0.0,t/t
2016,World,pox_anthracite,abs_max,inf,t/t
2016,World,pox_oil,def,0.0,t/t
2016,World,pox_oil,min,0,t/t
2016,World,pox_oil,max,0.0,t/t
2016,World,pox_oil,abs_min,0.0,t/t
2016,World,pox_oil,abs_max,inf,t/t
2016,World,pox_light_fuel_oil,def,0.0,t/t
2016,World,pox_light_fuel_oil,min,0,t/t
2016,World,pox_light_fuel_oil,max,0.0,t/t
