year,region,activity,property,value,unit
2016,World,csr_a_natural_gas,def,7.37,MJ/t
2016,World,csr_a_natural_gas,min,5.16,MJ/t
2016,World,csr_a_natural_gas,max,9.58,MJ/t
2016,World,csr_a_natural_gas,abs_min,0.0,MJ/t
2016,World,csr_a_natural_gas,abs_max,inf,MJ/t
2019,World,csr_a_natural_gas,def,10,MJ/t
2019,World,csr_a_natural_gas,min,7.0,MJ/t
2019,World,csr_a_natural_gas,max,13.0,MJ/t
2019,World,csr_a_natural_gas,abs_min,0.0,MJ/t
2019,World,csr_a_natural_gas,abs_max,inf,MJ/t
2016,World,csr_a_coke_oven_gas,def,0.0,MJ/t
2016,World,csr_a_coke_oven_gas,min,0.0,MJ/t
2016,World,csr_a_coke_oven_gas,max,0.0,MJ/t
2016,World,csr_a_coke_oven_gas,abs_min,0.0,MJ/t
2016,World,csr_a_coke_oven_gas,abs_max,inf,MJ/t
2016,World,csr_a_light_fuel_oil,def,0.0,MJ/t
2016,World,csr_a_light_fuel_oil,min,0.0,MJ/t
2016,World,csr_a_light_fuel_oil,max,0.0,MJ/t
2016,World,csr_a_light_fuel_oil,abs_min,0.0,MJ/t
2016,World,csr_a_light_fuel_oil,abs_max,inf,MJ/t
2016,World,csr_a_heavy_fuel_oil,def,0.0,MJ/t
2016,World,csr_a_heavy_fuel_oil,min,0.0,MJ/t
2016,World,csr_a_heavy_fuel_oil,max,0.0,MJ/t
2016,World,csr_a_heavy_fuel_oil,abs_min,0.0,MJ/t
2016,World,csr_a_heavy_fuel_oil,abs_max,inf,MJ/t
2016,World,csr_a_anthracite,def,0.0,MJ/t
2016,World,csr_a_anthracite,min,0.0,MJ/t
2016,World,csr_a_anthracite,max,0.0,MJ/t
2016,World,csr_a_anthracite,abs_min,0.0,MJ/t
2016,World,csr_a_anthracite,abs_max,inf,MJ/t
2016,World,csr_a_naphtha,def,0.0,MJ/t
2016,World,csr_a_naphtha,min,0.0,MJ/t
2016,World,csr_a_naphtha,max,0.0,MJ/t
2016,World,csr_a_naphtha,abs_min,0.0,MJ/t
2016,World,csr_a_naphtha,abs_max,inf,MJ/t
2016,World,csr_b_natural_gas,def,0.0,MJ/t
2016,World,csr_b_natural_gas,min,0.0,MJ/t
2016,World,csr_b_natural_gas,max,0.0,MJ/t
2016,World,csr_b_natural_gas,abs_min,0.0,MJ/t
2016,World,csr_b_natural_gas,abs_max,inf,MJ/t
2016,World,csr_c1_natural_gas,def,0.0,MJ/t
2016,World,csr_c1_natural_gas,min,0.0,MJ/t
2016,World,csr_c1_natural_gas,max,0.0,MJ/t
2016,World,csr_c1_natural_gas,abs_min,0.0,MJ/t
2016,World,csr_c1_natural_gas,abs_max,inf,MJ/t
2016,World,csr_c1_natural_gas_co2,def,0.0,MJ/t
2016,World,csr_c1_natural_gas_co2,min,0.0,MJ/t
2016,World,csr_c1_natural_gas_co2,max,0.0,MJ/t
2016,World,csr_c1_natural_gas_co2,abs_min,0.0,MJ/t
2016,World,csr_c1_natural_gas_co2,abs_max,inf,MJ/t
2016,World,csr_c2_natural_gas,def,0.0,MJ/t
2016,World,csr_c2_natural_gas,min,0.0,MJ/t
2016,World,csr_c2_natural_gas,max,0.0,MJ/t
2016,World,csr_c2_natural_gas,abs_min,0.0,MJ/t
2016,World,csr_c2_natural_gas,abs_max,inf,MJ/t
2016,World,csr_c3_natural_gas,def,0.0,MJ/t
2016,World,csr_c3_natural_gas,min,0.0,MJ/t
2016,World,csr_c3_natural_gas,max,0.0,MJ/t
2016,World,csr_c3_natural_gas,abs_min,0.0,MJ/t
2016,World,csr_c3_natural_gas,abs_max,inf,MJ/t
2016,World,csr_c3_light_naphtha,def,0.0,MJ/t
2016,World,csr_c3_light_naphtha,min,0.0,MJ/t
2016,World,csr_c3_light_naphtha,max,0.0,MJ/t
2016,World,csr_c3_light_naphtha,abs_min,0.0,MJ/t
2016,World,csr_c3_light_naphtha,abs_max,inf,MJ/t
2016,World,csr_c3_full_range_naphtha,def,0.0,MJ/t
2016,World,csr_c3_full_range_naphtha,min,0.0,MJ/t
2016,World,csr_c3_full_range_naphtha,max,0.0,MJ/t
2016,World,csr_c3_full_range_naphtha,abs_min,0.0,MJ/t
2016,World,csr_c3_full_range_naphtha,abs_max,inf,MJ/t
2016,World,csr_c4_natural_gas,def,0.0,MJ/t
2016,World,csr_c4_natural_gas,min,0.0,MJ/t
2016,World,csr_c4_natural_gas,max,0.0,MJ/t
2016,World,csr_c4_natural_gas,abs_min,0.0,MJ/t
2016,World,csr_c4_natural_gas,abs_max,inf,MJ/t
2016,World,csr_w_nh3_natural_gas,def,0.0,MJ/t
2016,World,csr_w_nh3_natural_gas,min,0.0,MJ/t
2016,World,csr_w_nh3_natural_gas,max,0.0,MJ/t
2016,World,csr_w_nh3_natural_gas,abs_min,0.0,MJ/t
2016,World,csr_w_nh3_natural_gas,abs_max,inf,MJ/t
2016,World,atr_natural_gas,def,0.0,MJ/t
2016,World,atr_natural_gas,min,0.0,MJ/t
2016,World,atr_natural_gas,max,0.0,MJ/t
2016,World,atr_natural_gas,abs_min,0.0,MJ/t
2016,World,atr_natural_gas,abs_max,inf,MJ/t
2016,World,atr_naphtha,def,0.0,MJ/t
2016,World,atr_naphtha,min,0.0,MJ/t
2016,World,atr_naphtha,max,0.0,MJ/t
2016,World,atr_naphtha,abs_min,0.0,MJ/t
2016,World,atr_naphtha,abs_max,inf,MJ/t
2016,World,atr_lng,def,0.0,MJ/t
2016,World,atr_lng,min,0.0,MJ/t
2016,World,atr_lng,max,0.0,MJ/t
2016,World,atr_lng,abs_min,0.0,MJ/t
2016,World,atr_lng,abs_max,inf,MJ/t
2016,World,pox_oil,def,0.0,MJ/t
2016,World,pox_oil,min,0.0,MJ/t
2016,World,pox_oil,max,0.0,MJ/t
2016,World,pox_oil,abs_min,0.0,MJ/t
2016,World,pox_oil,abs_max,inf,MJ/t
2016,World,pox_light_fuel_oil,def,0.0,MJ/t
2016,World,pox_light_fuel_oil,min,0.0,MJ/t
2016,World,pox_light_fuel_oil,max,0.0,MJ/t
2016,World,pox_light_fuel_oil,abs_min,0.0,MJ/t
2016,World,pox_light_fuel_oil,abs_max,inf,MJ/t
2016,World,pox_heavy_fuel_oil,def,0.0,MJ/t
2016,World,pox_heavy_fuel_oil,min,0.0,MJ/t
2016,World,pox_heavy_fuel_oil,max,0.0,MJ/t
2016,World,pox_heavy_fuel_oil,abs_min,0.0,MJ/t
2016,World,pox_heavy_fuel_oil,abs_max,inf,MJ/t
2016,World,pox_light_naphtha,def,0.0,MJ/t
2016,World,pox_light_naphtha,min,0.0,MJ/t
2016,World,pox_light_naphtha,max,0.0,MJ/t
2016,World,pox_light_naphtha,abs_min,0.0,MJ/t
2016,World,pox_light_naphtha,abs_max,inf,MJ/t
2016,World,pox_full_range_naphtha,def,0.0,MJ/t
2016,World,pox_full_range_naphtha,min,0.0,MJ/t
2016,World,pox_full_range_naphtha,max,0.0,MJ/t
2016,World,pox_full_range_naphtha,abs_min,0.0,MJ/t
2016,World,pox_full_range_naphtha,abs_max,inf,MJ/t
2016,World,pox_lignite,def,0.0,MJ/t
2016,World,pox_lignite,min,0.0,MJ/t
2016,World,pox_lignite,max,0.0,MJ/t
2016,World,pox_lignite,abs_min,0.0,MJ/t
2016,World,pox_lignite,abs_max,inf,MJ/t
2016,World,pox_anthracite,def,280,MJ/t
2016,World,pox_anthracite,min,196,MJ/t
2016,World,pox_anthracite,max,364,MJ/t
2016,World,pox_anthracite,abs_min,0.0,MJ/t
2016,World,pox_anthracite,abs_max,inf,MJ/t
2016,World,cgt_anthracite,def,280,MJ/t
2016,World,cgt_anthracite,min,196,MJ/t
2016,World,cgt_anthracite,max,364,MJ/t
2016,World,cgt_anthracite,abs_min,0.0,MJ/t
2016,World,cgt_anthracite,abs_max,inf,MJ/t
2016,World,cct_coke_oven_gas,def,0.0,MJ/t
2016,World,cct_coke_oven_gas,min,0.0,MJ/t
2016,World,cct_coke_oven_gas,max,0.0,MJ/t
2016,World,cct_coke_oven_gas,abs_min,0.0,MJ/t
2016,World,cct_coke_oven_gas,abs_max,inf,MJ/t
2016,World,gasify_dry_biomass,def,0.0,MJ/t
2016,World,gasify_dry_biomass,min,0.0,MJ/t
2016,World,gasify_dry_biomass,max,0.0,MJ/t
2016,World,gasify_dry_biomass,abs_min,0.0,MJ/t
2016,World,gasify_dry_biomass,abs_max,inf,MJ/t
2016,World,gasify_wet_biomass,def,0.0,MJ/t
2016,World,gasify_wet_biomass,min,0.0,MJ/t
