region,waste_type,incin_type,property,value,unit
JP,msw_food,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_food,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_food,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_food,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_food,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_food,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_food,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_food,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_food,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_garden,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_garden,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_garden,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_garden,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_garden,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_garden,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_garden,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_garden,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_garden,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_paper,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_paper,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_paper,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_paper,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_paper,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_paper,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_paper,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_paper,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_paper,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_wood,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_wood,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_wood,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_wood,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_wood,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_wood,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_wood,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_wood,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_wood,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_textiles,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_textiles,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_textiles,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_textiles,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_textiles,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_textiles,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_textiles,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_textiles,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_textiles,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_nappies,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_nappies,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_nappies,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_nappies,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_nappies,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_nappies,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_nappies,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_nappies,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_nappies,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_rubber,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_rubber,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_rubber,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_rubber,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_rubber,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_rubber,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_rubber,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_rubber,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_rubber,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_plastics,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_plastics,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_plastics,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_plastics,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_plastics,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_plastics,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_plastics,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_plastics,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_plastics,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_metal,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_metal,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_metal,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_metal,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_metal,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_metal,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_metal,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_metal,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_metal,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_glass,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_glass,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_glass,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_glass,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_glass,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_glass,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_glass,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_glass,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_glass,inc_pgm_rotary,def,8.38,kg/Gg
JP,msw_other,inc_cont_stoker,def,47.0,kg/Gg
JP,msw_other,inc_cont_fluid,def,67.0,kg/Gg
JP,msw_other,inc_semi_stoker,def,41.0,kg/Gg
JP,msw_other,inc_semi_fluid,def,68.0,kg/Gg
JP,msw_other,inc_batch_stoker,def,56.0,kg/Gg
JP,msw_other,inc_batch_fluid,def,221.0,kg/Gg
JP,msw_other,inc_pgm_shaft,def,17.4,kg/Gg
JP,msw_other,inc_pgm_fluid,def,5.8,kg/Gg
JP,msw_other,inc_pgm_rotary,def,8.38,kg/Gg
JP,isw_food,inc_cont_stoker,def,100.0,kg/Gg
JP,isw_food,inc_cont_fluid,def,100.0,kg/Gg
JP,isw_food,inc_semi_stoker,def,100.0,kg/Gg
JP,isw_food,inc_semi_fluid,def,100.0,kg/Gg
JP,isw_food,inc_batch_stoker,def,100.0,kg/Gg
JP,isw_food,inc_batch_fluid,def,100.0,kg/Gg
JP,isw_food,inc_pgm_shaft,def,100.0,kg/Gg
JP,isw_food,inc_pgm_fluid,def,100.0,kg/Gg
JP,isw_food,inc_pgm_rotary,def,100.0,kg/Gg
JP,isw_textile,inc_cont_stoker,def,100.0,kg/Gg
JP,isw_textile,inc_cont_fluid,def,100.0,kg/Gg
JP,isw_textile,inc_semi_stoker,def,100.0,kg/Gg
JP,isw_textile,inc_semi_fluid,def,100.0,kg/Gg
JP,isw_textile,inc_batch_stoker,def,100.0,kg/Gg
JP,isw_textile,inc_batch_fluid,def,100.0,kg/Gg
JP,isw_textile,inc_pgm_shaft,def,100.0,kg/Gg
JP,isw_textile,inc_pgm_fluid,def,100.0,kg/Gg
JP,isw_textile,inc_pgm_rotary,def,100.0,kg/Gg
JP,isw_wood,inc_cont_stoker,def,100.0,kg/Gg
JP,isw_wood,inc_cont_fluid,def,100.0,kg/Gg
JP,isw_wood,inc_semi_stoker,def,100.0,kg/Gg
JP,isw_wood,inc_semi_fluid,def,100.0,kg/Gg
JP,isw_wood,inc_batch_stoker,def,100.0,kg/Gg
JP,isw_wood,inc_batch_fluid,def,100.0,kg/Gg
JP,isw_wood,inc_pgm_shaft,def,100.0,kg/Gg
JP,isw_wood,inc_pgm_fluid,def,100.0,kg/Gg
JP,isw_wood,inc_pgm_rotary,def,100.0,kg/Gg
JP,isw_paper,inc_cont_stoker,def,100.0,kg/Gg
JP,isw_paper,inc_cont_fluid,def,100.0,kg/Gg
JP,isw_paper,inc_semi_stoker,def,100.0,kg/Gg
JP,isw_paper,inc_semi_fluid,def,100.0,kg/Gg
JP,isw_paper,inc_batch_stoker,def,100.0,kg/Gg
JP,isw_paper,inc_batch_fluid,def,100.0,kg/Gg
JP,isw_paper,inc_pgm_shaft,def,100.0,kg/Gg
JP,isw_paper,inc_pgm_fluid,def,100.0,kg/Gg
JP,isw_paper,inc_pgm_rotary,def,100.0,kg/Gg
JP,isw_petroleum,inc_cont_stoker,def,100.0,kg/Gg
JP,isw_petroleum,inc_cont_fluid,def,100.0,kg/Gg
JP,isw_petroleum,inc_semi_stoker,def,100.0,kg/Gg
JP,isw_petroleum,inc_semi_fluid,def,100.0,kg/Gg
JP,isw_petroleum,inc_batch_stoker,def,100.0,kg/Gg
JP,isw_petroleum,inc_batch_fluid,def,100.0,kg/Gg
JP,isw_petroleum,inc_pgm_shaft,def,100.0,kg/Gg
JP,isw_petroleum,inc_pgm_fluid,def,100.0,kg/Gg
JP,isw_petroleum,inc_pgm_rotary,def,100.0,kg/Gg
JP,isw_rubber,inc_cont_stoker,def,100.0,kg/Gg
JP,isw_rubber,inc_cont_fluid,def,100.0,kg/Gg
JP,isw_rubber,inc_semi_stoker,def,100.0,kg/Gg
JP,isw_rubber,inc_semi_fluid,def,100.0,kg/Gg
JP,isw_rubber,inc_batch_stoker,def,100.0,kg/Gg
JP,isw_rubber,inc_batch_fluid,def,100.0,kg/Gg
JP,isw_rubber,inc_pgm_shaft,def,100.0,kg/Gg
JP,isw_rubber,inc_pgm_fluid,def,100.0,kg/Gg
JP,isw_rubber,inc_pgm_rotary,def,100.0,kg/Gg
JP,isw_construction,inc_cont_stoker,def,100.0,kg/Gg
JP,isw_construction,inc_cont_fluid,def,100.0,kg/Gg
JP,isw_construction,inc_semi_stoker,def,100.0,kg/Gg
JP,isw_construction,inc_semi_fluid,def,100.0,kg/Gg
JP,isw_construction,inc_batch_stoker,def,100.0,kg/Gg
JP,isw_construction,inc_batch_fluid,def,100.0,kg/Gg
