region,waste_type,incin_type,property,value,unit
World,msw_food,open_burn,def,0.71,kg/kg
World,msw_garden,open_burn,def,0.71,kg/kg
World,msw_paper,open_burn,def,0.71,kg/kg
World,msw_wood,open_burn,def,0.71,kg/kg
World,msw_textiles,open_burn,def,0.71,kg/kg
World,msw_nappies,open_burn,def,0.71,kg/kg
World,msw_rubber,open_burn,def,0.71,kg/kg
World,msw_plastics,open_burn,def,0.71,kg/kg
World,msw_metal,open_burn,def,0.71,kg/kg
World,msw_glass,open_burn,def,0.71,kg/kg
World,msw_other,open_burn,def,0.71,kg/kg
World,msw_food,open_burn,min,0.6532,kg/kg
World,msw_garden,open_burn,min,0.6532,kg/kg
World,msw_paper,open_burn,min,0.6532,kg/kg
World,msw_wood,open_burn,min,0.6532,kg/kg
World,msw_textiles,open_burn,min,0.6532,kg/kg
World,msw_nappies,open_burn,min,0.6532,kg/kg
World,msw_rubber,open_burn,min,0.6532,kg/kg
World,msw_plastics,open_burn,min,0.6532,kg/kg
World,msw_metal,open_burn,min,0.6532,kg/kg
World,msw_glass,open_burn,min,0.6532,kg/kg
World,msw_other,open_burn,min,0.6532,kg/kg
World,msw_food,open_burn,max,0.7668,kg/kg
World,msw_garden,open_burn,max,0.7668,kg/kg
World,msw_paper,open_burn,max,0.7668,kg/kg
World,msw_wood,open_burn,max,0.7668,kg/kg
World,msw_textiles,open_burn,max,0.7668,kg/kg
World,msw_nappies,open_burn,max,0.7668,kg/kg
World,msw_rubber,open_burn,max,0.7668,kg/kg
World,msw_plastics,open_burn,max,0.7668,kg/kg
World,msw_metal,open_burn,max,0.7668,kg/kg
World,msw_glass,open_burn,max,0.7668,kg/kg
World,msw_other,open_burn,max,0.7668,kg/kg
World,msw_food,open_burn,abs_min,0.0,kg/kg
World,msw_garden,open_burn,abs_min,0.0,kg/kg
World,msw_paper,open_burn,abs_min,0.0,kg/kg
World,msw_wood,open_burn,abs_min,0.0,kg/kg
World,msw_textiles,open_burn,abs_min,0.0,kg/kg
World,msw_nappies,open_burn,abs_min,0.0,kg/kg
World,msw_rubber,open_burn,abs_min,0.0,kg/kg
World,msw_plastics,open_burn,abs_min,0.0,kg/kg
World,msw_metal,open_burn,abs_min,0.0,kg/kg
World,msw_glass,open_burn,abs_min,0.0,kg/kg
World,msw_other,open_burn,abs_min,0.0,kg/kg
World,msw_food,open_burn,abs_max,1.0,kg/kg
World,msw_garden,open_burn,abs_max,1.0,kg/kg
World,msw_paper,open_burn,abs_max,1.0,kg/kg
World,msw_wood,open_burn,abs_max,1.0,kg/kg
World,msw_textiles,open_burn,abs_max,1.0,kg/kg
World,msw_nappies,open_burn,abs_max,1.0,kg/kg
World,msw_rubber,open_burn,abs_max,1.0,kg/kg
World,msw_plastics,open_burn,abs_max,1.0,kg/kg
World,msw_metal,open_burn,abs_max,1.0,kg/kg
World,msw_glass,open_burn,abs_max,1.0,kg/kg
World,msw_other,open_burn,abs_max,1.0,kg/kg
World,msw_food,inc_unspecified,def,1.0,kg/kg
World,msw_garden,inc_unspecified,def,1.0,kg/kg
World,msw_paper,inc_unspecified,def,1.0,kg/kg
World,msw_wood,inc_unspecified,def,1.0,kg/kg
World,msw_textiles,inc_unspecified,def,1.0,kg/kg
World,msw_nappies,inc_unspecified,def,1.0,kg/kg
World,msw_rubber,inc_unspecified,def,1.0,kg/kg
World,msw_plastics,inc_unspecified,def,1.0,kg/kg
World,msw_metal,inc_unspecified,def,1.0,kg/kg
World,msw_glass,inc_unspecified,def,1.0,kg/kg
World,msw_other,inc_unspecified,def,1.0,kg/kg
World,isw_food,inc_unspecified,def,1.0,kg/kg
World,isw_textile,inc_unspecified,def,1.0,kg/kg
World,isw_wood,inc_unspecified,def,1.0,kg/kg
World,isw_paper,inc_unspecified,def,1.0,kg/kg
World,isw_petroleum,inc_unspecified,def,1.0,kg/kg
World,isw_rubber,inc_unspecified,def,1.0,kg/kg
World,isw_construction,inc_unspecified,def,1.0,kg/kg
World,isw_other,inc_unspecified,def,1.0,kg/kg
World,ow_clinical,inc_unspecified,def,1.0,kg/kg
World,ow_hazard,inc_unspecified,def,1.0,kg/kg
World,sludge_dom,inc_unspecified,def,1.0,kg/kg
World,sludge_ind,inc_unspecified,def,1.0,kg/kg
World,msw_food,inc_unspecified,min,1.0,kg/kg
World,msw_garden,inc_unspecified,min,1.0,kg/kg
World,msw_paper,inc_unspecified,min,1.0,kg/kg
World,msw_wood,inc_unspecified,min,1.0,kg/kg
World,msw_textiles,inc_unspecified,min,1.0,kg/kg
World,msw_nappies,inc_unspecified,min,1.0,kg/kg
World,msw_rubber,inc_unspecified,min,1.0,kg/kg
World,msw_plastics,inc_unspecified,min,1.0,kg/kg
World,msw_metal,inc_unspecified,min,1.0,kg/kg
World,msw_glass,inc_unspecified,min,1.0,kg/kg
World,msw_other,inc_unspecified,min,1.0,kg/kg
World,isw_food,inc_unspecified,min,1.0,kg/kg
World,isw_textile,inc_unspecified,min,1.0,kg/kg
World,isw_wood,inc_unspecified,min,1.0,kg/kg
World,isw_paper,inc_unspecified,min,1.0,kg/kg
World,isw_petroleum,inc_unspecified,min,1.0,kg/kg
World,isw_rubber,inc_unspecified,min,1.0,kg/kg
World,isw_construction,inc_unspecified,min,1.0,kg/kg
World,isw_other,inc_unspecified,min,1.0,kg/kg
World,ow_clinical,inc_unspecified,min,1.0,kg/kg
World,ow_hazard,inc_unspecified,min,1.0,kg/kg
World,sludge_dom,inc_unspecified,min,1.0,kg/kg
World,sludge_ind,inc_unspecified,min,1.0,kg/kg
World,msw_food,inc_unspecified,max,1.0,kg/kg
World,msw_garden,inc_unspecified,max,1.0,kg/kg
World,msw_paper,inc_unspecified,max,1.0,kg/kg
World,msw_wood,inc_unspecified,max,1.0,kg/kg
World,msw_textiles,inc_unspecified,max,1.0,kg/kg
World,msw_nappies,inc_unspecified,max,1.0,kg/kg
World,msw_rubber,inc_unspecified,max,1.0,kg/kg
World,msw_plastics,inc_unspecified,max,1.0,kg/kg
World,msw_metal,inc_unspecified,max,1.0,kg/kg
World,msw_glass,inc_unspecified,max,1.0,kg/kg
World,msw_other,inc_unspecified,max,1.0,kg/kg
World,isw_food,inc_unspecified,max,1.0,kg/kg
World,isw_textile,inc_unspecified,max,1.0,kg/kg
World,isw_wood,inc_unspecified,max,1.0,kg/kg
World,isw_paper,inc_unspecified,max,1.0,kg/kg
World,isw_petroleum,inc_unspecified,max,1.0,kg/kg
World,isw_rubber,inc_unspecified,max,1.0,kg/kg
World,isw_construction,inc_unspecified,max,1.0,kg/kg
World,isw_other,inc_unspecified,max,1.0,kg/kg
World,ow_clinical,inc_unspecified,max,1.0,kg/kg
World,ow_hazard,inc_unspecified,max,1.0,kg/kg
World,sludge_dom,inc_unspecified,max,1.0,kg/kg
World,sludge_ind,inc_unspecified,max,1.0,kg/kg
World,msw_food,inc_unspecified,abs_min,0.0,kg/kg
World,msw_garden,inc_unspecified,abs_min,0.0,kg/kg
World,msw_paper,inc_unspecified,abs_min,0.0,kg/kg
World,msw_wood,inc_unspecified,abs_min,0.0,kg/kg
World,msw_textiles,inc_unspecified,abs_min,0.0,kg/kg
World,msw_nappies,inc_unspecified,abs_min,0.0,kg/kg
World,msw_rubber,inc_unspecified,abs_min,0.0,kg/kg
World,msw_plastics,inc_unspecified,abs_min,0.0,kg/kg
World,msw_metal,inc_unspecified,abs_min,0.0,kg/kg
World,msw_glass,inc_unspecified,abs_min,0.0,kg/kg
World,msw_other,inc_unspecified,abs_min,0.0,kg/kg
World,isw_food,inc_unspecified,abs_min,0.0,kg/kg
World,isw_textile,inc_unspecified,abs_min,0.0,kg/kg
World,isw_wood,inc_unspecified,abs_min,0.0,kg/kg
World,isw_paper,inc_unspecified,abs_min,0.0,kg/kg
World,isw_petroleum,inc_unspecified,abs_min,0.0,kg/kg
World,isw_rubber,inc_unspecified,abs_min,0.0,kg/kg
World,isw_construction,inc_unspecified,abs_min,0.0,kg/kg
World,isw_other,inc_unspecified,abs_min,0.0,kg/kg
World,ow_clinical,inc_unspecified,abs_min,0.0,kg/kg
World,ow_hazard,inc_unspecified,abs_min,0.0,kg/kg
World,sludge_dom,inc_unspecified,abs_min,0.0,kg/kg
World,sludge_ind,inc_unspecified,abs_min,0.0,kg/kg
World,msw_food,inc_unspecified,abs_max,1.0,kg/kg
World,msw_garden,inc_unspecified,abs_max,1.0,kg/kg
World,msw_paper,inc_unspecified,abs_max,1.0,kg/kg
World,msw_wood,inc_unspecified,abs_max,1.0,kg/kg
World,msw_textiles,inc_unspecified,abs_max,1.0,kg/kg
World,msw_nappies,inc_unspecified,abs_max,1.0,kg/kg
World,msw_rubber,inc_unspecified,abs_max,1.0,kg/kg
World,msw_plastics,inc_unspecified,abs_max,1.0,kg/kg
World,msw_metal,inc_unspecified,abs_max,1.0,kg/kg
World,msw_glass,inc_unspecified,abs_max,1.0,kg/kg
World,msw_other,inc_unspecified,abs_max,1.0,kg/kg
World,isw_food,inc_unspecified,abs_max,1.0,kg/kg
World,isw_textile,inc_unspecified,abs_max,1.0,kg/kg
World,isw_wood,inc_unspecified,abs_max,1.0,kg/kg
World,isw_paper,inc_unspecified,abs_max,1.0,kg/kg
World,isw_petroleum,inc_unspecified,abs_max,1.0,kg/kg
World,isw_rubber,inc_unspecified,abs_max,1.0,kg/kg
World,isw_construction,inc_unspecified,abs_max,1.0,kg/kg
World,isw_other,inc_unspecified,abs_max,1.0,kg/kg
World,ow_clinical,inc_unspecified,abs_max,1.0,kg/kg
World,ow_hazard,inc_unspecified,abs_max,1.0,kg/kg
World,sludge_dom,inc_unspecified,abs_max,1.0,kg/kg
World,sludge_ind,inc_unspecified,abs_max,1.0,kg/kg
