year,region,product,feedstocktype,property,value,unit
2006,World,ethylene,naphtha,def,3.086419753,t/t
2006,World,ethylene,naphtha,min,2.1604938271,t/t
2006,World,ethylene,naphtha,max,4.0123456789,t/t
2006,World,ethylene,naphtha,abs_min,0,t/t
2006,World,ethylene,naphtha,abs_max,inf,t/t
2006,World,ethylene,gas_oil,def,4,t/t
2006,World,ethylene,gas_oil,min,2.8,t/t
2006,World,ethylene,gas_oil,max,5.2,t/t
2006,World,ethylene,gas_oil,abs_min,0,t/t
2006,World,ethylene,gas_oil,abs_max,inf,t/t
2006,World,ethylene,ethane,def,1.245330012,t/t
2006,World,ethylene,ethane,min,0.8717310084,t/t
2006,World,ethylene,ethane,max,1.6189290156,t/t
2006,World,ethylene,ethane,abs_min,0,t/t
2006,World,ethylene,ethane,abs_max,inf,t/t
2006,World,ethylene,propane,def,2.150537634,t/t
2006,World,ethylene,propane,min,1.5053763438,t/t
2006,World,ethylene,propane,max,2.7956989242,t/t
2006,World,ethylene,propane,abs_min,0,t/t
2006,World,ethylene,propane,abs_max,inf,t/t
2006,World,ethylene,butane,def,2.267573696,t/t
2006,World,ethylene,butane,min,1.5873015872,t/t
2006,World,ethylene,butane,max,2.9478458048,t/t
2006,World,ethylene,butane,abs_min,0,t/t
2006,World,ethylene,butane,abs_max,inf,t/t
2006,World,ethylene,others,def,3.086419753,t/t
2006,World,ethylene,others,min,2.1604938271,t/t
2006,World,ethylene,others,max,4.0123456789,t/t
2006,World,ethylene,others,abs_min,0,t/t
2006,World,ethylene,others,abs_max,inf,t/t
2006,World,propylene,naphtha,def,5.952380952,t/t
2006,World,propylene,naphtha,min,4.1666666664,t/t
2006,World,propylene,naphtha,max,7.7380952376,t/t
2006,World,propylene,naphtha,abs_min,0,t/t
2006,World,propylene,naphtha,abs_max,inf,t/t
2006,World,propylene,gas_oil,def,6.944444444,t/t
2006,World,propylene,gas_oil,min,4.8611111108,t/t
2006,World,propylene,gas_oil,max,9.0277777772,t/t
2006,World,propylene,gas_oil,abs_min,0,t/t
2006,World,propylene,gas_oil,abs_max,inf,t/t
2006,World,propylene,ethane,def,62.5,t/t
2006,World,propylene,ethane,min,43.75,t/t
2006,World,propylene,ethane,max,81.25,t/t
2006,World,propylene,ethane,abs_min,0,t/t
2006,World,propylene,ethane,abs_max,inf,t/t
2006,World,propylene,propane,def,8,t/t
2006,World,propylene,propane,min,5.6,t/t
2006,World,propylene,propane,max,10.4,t/t
2006,World,propylene,propane,abs_min,0,t/t
2006,World,propylene,propane,abs_max,inf,t/t
2006,World,propylene,butane,def,6.622516556,t/t
2006,World,propylene,butane,min,4.6357615892,t/t
2006,World,propylene,butane,max,8.6092715228,t/t
2006,World,propylene,butane,abs_min,0,t/t
2006,World,propylene,butane,abs_max,inf,t/t
2006,World,propylene,others,def,5.952380952,t/t
2006,World,propylene,others,min,4.1666666664,t/t
2006,World,propylene,others,max,7.7380952376,t/t
2006,World,propylene,others,abs_min,0,t/t
2006,World,propylene,others,abs_max,inf,t/t
2006,World,butadiene,naphtha,def,20,t/t
2006,World,butadiene,naphtha,min,14,t/t
2006,World,butadiene,naphtha,max,26,t/t
2006,World,butadiene,naphtha,abs_min,0,t/t
2006,World,butadiene,naphtha,abs_max,inf,t/t
2006,World,butadiene,gas_oil,def,20,t/t
2006,World,butadiene,gas_oil,min,14,t/t
2006,World,butadiene,gas_oil,max,26,t/t
2006,World,butadiene,gas_oil,abs_min,0,t/t
2006,World,butadiene,gas_oil,abs_max,inf,t/t
2006,World,butadiene,ethane,def,43.47826087,t/t
2006,World,butadiene,ethane,min,30.434782609,t/t
2006,World,butadiene,ethane,max,56.521739131,t/t
2006,World,butadiene,ethane,abs_min,0,t/t
2006,World,butadiene,ethane,abs_max,inf,t/t
2006,World,butadiene,propane,def,20.83333333,t/t
2006,World,butadiene,propane,min,14.583333331,t/t
2006,World,butadiene,propane,max,27.083333329,t/t
2006,World,butadiene,propane,abs_min,0,t/t
2006,World,butadiene,propane,abs_max,inf,t/t
2006,World,butadiene,butane,def,22.72727273,t/t
2006,World,butadiene,butane,min,15.909090911,t/t
2006,World,butadiene,butane,max,29.545454549,t/t
2006,World,butadiene,butane,abs_min,0,t/t
2006,World,butadiene,butane,abs_max,inf,t/t
2006,World,butadiene,others,def,20,t/t
2006,World,butadiene,others,min,14,t/t
2006,World,butadiene,others,max,26,t/t
2006,World,butadiene,others,abs_min,0,t/t
2006,World,butadiene,others,abs_max,inf,t/t
2006,World,aromatics,naphtha,def,9.615384615,t/t
2006,World,aromatics,naphtha,min,6.7307692305,t/t
2006,World,aromatics,naphtha,max,12.4999999995,t/t
2006,World,aromatics,naphtha,abs_min,0,t/t
2006,World,aromatics,naphtha,abs_max,inf,t/t
2006,World,aromatics,gas_oil,def,8.064516129,t/t
2006,World,aromatics,gas_oil,min,5.6451612903,t/t
2006,World,aromatics,gas_oil,max,10.4838709677,t/t
2006,World,aromatics,gas_oil,abs_min,0,t/t
2006,World,aromatics,gas_oil,abs_max,inf,t/t
2006,World,aromatics,others,def,9.615384615,t/t
2006,World,aromatics,others,min,6.7307692305,t/t
2006,World,aromatics,others,max,12.4999999995,t/t
2006,World,aromatics,others,abs_min,0,t/t
2006,World,aromatics,others,abs_max,inf,t/t
