year,region,product,activity,feedstocktype,property,value,unit
2006,World,methanol,csr_a,natural_gas,def,100,%
2006,World,methanol,csr_a,coke_oven_gas,def,0.0,%
2006,World,methanol,csr_a,anthracite,def,0.0,%
2006,World,methanol,csr_a,naphtha,def,0.0,%
2006,World,methanol,csr_b,natural_gas,def,100,%
2006,World,methanol,csr_c1,natural_gas,def,100,%
2006,World,methanol,csr_c1,natural_gas_co2,def,0.0,%
2006,World,methanol,csr_c2,natural_gas,def,100,%
2006,World,methanol,csr_c3,natural_gas,def,100,%
2006,World,methanol,csr_c4,natural_gas,def,100,%
2006,World,methanol,csr_w_nh3,natural_gas,def,100,%
2006,World,methanol,atr,natural_gas,def,100,%
2006,World,methanol,atr,naphtha,def,0.0,%
2006,World,methanol,atr,lng,def,0.0,%
2006,World,methanol,pox,anthracite,def,100,%
2006,World,methanol,pox,oil,def,0.0,%
2006,World,methanol,pox,light_fuel_oil,def,0.0,%
2006,World,methanol,pox,heavy_fuel_oil,def,0.0,%
2006,World,methanol,pox,lignite,def,0.0,%
2006,World,methanol,cgt,anthracite,def,100,%
2006,World,methanol,cct,coke_oven_gas,def,100,%
2006,World,methanol,gasify_bio,agric_residues,def,78.1,%
2006,World,methanol,gasify_bio,forest_residues,def,12.8,%
2006,World,methanol,gasify_bio,msw,def,9.2,%
2006,World,methanol,PtM,hydrogen,def,100,%
2006,World,methanol,co2_hydrogenation,,def,100,%
2006,World,methanol,direct_co2_electrolysis,carbon_dioxide,def,100,%
2006,World,methanol,csr_a,natural_gas,min,100,%
2006,World,methanol,csr_a,coke_oven_gas,min,0.0,%
2006,World,methanol,csr_a,anthracite,min,0.0,%
2006,World,methanol,csr_a,naphtha,min,0.0,%
2006,World,methanol,csr_b,natural_gas,min,100,%
2006,World,methanol,csr_c1,natural_gas,min,100,%
2006,World,methanol,csr_c1,natural_gas_co2,min,0.0,%
2006,World,methanol,csr_c2,natural_gas,min,100,%
2006,World,methanol,csr_c3,natural_gas,min,100,%
2006,World,methanol,csr_c4,natural_gas,min,100,%
2006,World,methanol,csr_w_nh3,natural_gas,min,100,%
2006,World,methanol,atr,natural_gas,min,100,%
2006,World,methanol,atr,naphtha,min,0.0,%
2006,World,methanol,atr,lng,min,0.0,%
2006,World,methanol,pox,anthracite,min,100,%
2006,World,methanol,pox,oil,min,0.0,%
2006,World,methanol,pox,light_fuel_oil,min,0.0,%
2006,World,methanol,pox,heavy_fuel_oil,min,0.0,%
2006,World,methanol,pox,lignite,min,0.0,%
2006,World,methanol,cgt,anthracite,min,100,%
2006,World,methanol,cct,coke_oven_gas,min,100,%
2006,World,methanol,gasify_bio,agric_residues,min,78.1,%
2006,World,methanol,gasify_bio,forest_residues,min,12.8,%
2006,World,methanol,gasify_bio,msw,min,9.2,%
2006,World,methanol,PtM,hydrogen,min,100,%
2006,World,methanol,co2_hydrogenation,,min,100,%
2006,World,methanol,direct_co2_electrolysis,carbon_dioxide,min,100,%
2006,World,methanol,csr_a,natural_gas,max,100,%
2006,World,methanol,csr_a,coke_oven_gas,max,0.0,%
2006,World,methanol,csr_a,anthracite,max,0.0,%
2006,World,methanol,csr_a,naphtha,max,0.0,%
2006,World,methanol,csr_b,natural_gas,max,100,%
2006,World,methanol,csr_c1,natural_gas,max,100,%
2006,World,methanol,csr_c1,natural_gas_co2,max,0.0,%
