year,region,product,secondarytype,property,value,unit
2006,World,acrylonitrile,acetonitrile,abs_max,inf,kg/t
2006,World,acrylonitrile,acetonitrile,abs_min,0.0,kg/t
2006,World,acrylonitrile,acetonitrile,def,18.5,kg/t
2006,World,acrylonitrile,acetonitrile,max,22.2,kg/t
2006,World,acrylonitrile,acetonitrile,min,14.8,kg/t
2006,World,acrylonitrile,hydrogen_cyanide,abs_max,inf,kg/t
2006,World,acrylonitrile,hydrogen_cyanide,abs_min,0.0,kg/t
2006,World,acrylonitrile,hydrogen_cyanide,def,105.0,kg/t
2006,World,acrylonitrile,hydrogen_cyanide,max,126.0,kg/t
2006,World,acrylonitrile,hydrogen_cyanide,min,84.0,kg/t
