year,region,structure,property,value,unit
2006,US,Commercial,def,152.5,mm
2006,US,Commercial,min,100,mm
2006,US,Commercial,max,205,mm
2006,US,Commercial,abs_min,0,mm
2006,US,Commercial,abs_max,inf,mm
2006,US,Streets and highways,def,177.5,mm
2006,US,Streets and highways,min,150,mm
2006,US,Streets and highways,max,205,mm
2006,US,Streets and highways,abs_min,0,mm
2006,US,Streets and highways,abs_max,inf,mm
2006,US,Utilities,def,305,mm
2006,US,Utilities,min,305,mm
2006,US,Utilities,max,305,mm
2006,US,Utilities,abs_min,0,mm
2006,US,Utilities,abs_max,inf,mm
2006,US,Water and waste management,def,202.5,mm
2006,US,Water and waste management,min,100,mm
2006,US,Water and waste management,max,305,mm
2006,US,Water and waste management,abs_min,0,mm
2006,US,Water and waste management,abs_max,inf,mm
2006,US,Other public works,def,342.5,mm
2006,US,Other public works,min,75,mm
2006,US,Other public works,max,610,mm
2006,US,Other public works,abs_min,0,mm
2006,US,Other public works,abs_max,inf,mm
2006,US,Non-construction,def,202.5,mm
2006,US,Non-construction,min,100,mm
2006,US,Non-construction,max,305,mm
2006,US,Non-construction,abs_min,0,mm
2006,US,Non-construction,abs_max,inf,mm
2006,CN,Wall,def,240,mm
2006,CN,Wall,min,140,mm
2006,CN,Wall,max,300,mm
2006,CN,Wall,abs_min,0,mm
2006,CN,Wall,abs_max,inf,mm
2006,CN,Beam,def,220,mm
2006,CN,Beam,min,100,mm
2006,CN,Beam,max,400,mm
2006,CN,Beam,abs_min,0,mm
2006,CN,Beam,abs_max,inf,mm
2006,CN,Pillar,def,400,mm
2006,CN,Pillar,min,250,mm
2006,CN,Pillar,max,800,mm
2006,CN,Pillar,abs_min,0,mm
2006,CN,Pillar,abs_max,inf,mm
2006,CN,"Slabs (Floor), Ready-mix",def,150,mm
2006,CN,"Slabs (Floor), Ready-mix",min,60,mm
2006,CN,"Slabs (Floor), Ready-mix",max,250,mm
2006,CN,"Slabs (Floor), Ready-mix",abs_min,0,mm
2006,CN,"Slabs (Floor), Ready-mix",abs_max,inf,mm
2006,CN,"Slabs (Floor), Pre-cast concrete",def,150,mm
2006,CN,"Slabs (Floor), Pre-cast concrete",min,110,mm
2006,CN,"Slabs (Floor), Pre-cast concrete",max,180,mm
2006,CN,"Slabs (Floor), Pre-cast concrete",abs_min,0,mm
